řádný článek	一个合适的文章
vyjádření zájmu	利益表达的
předseda programového výboru	方案委员会主席
článek	第条
rozhodnutí	决定
programový výbor	程序委员会
meta-recenze	元点评
osoba	人
konference	会议
dokument	文档
recenzent	审阅者
autor který není recenzent	作者不是审阅者
osoba s účastí na konferenci	在会议的参与人
přijetí	通过
předseda	主席的
autor	作者
krátký článek	一篇短文
spolupředseda	共同主持的
člen programového výboru	方案委员会的成员
spoluautor	合著者
předseda konference	会议主席
externí recenzent	外部审查员
uživatel	用户
recenze	点评
zamítnutí	被拒绝
preference	首选项
administrátor	管理员
meta-recenzent	元-审阅者
předmětná oblast	有关地区的
člen konference	该会议的成员
přidán člen programového výboru	添加了成员的方案委员会
odeslání článku	提交一篇文章
má vyjádření zájmu	利益表达
přidělen meta-recenzent recenzentovi	分配给 meta 审阅者的审阅者
upravit vyjádření zájmu	编辑利益的表达
článek napsal	写的文章
přidělen recenzent administrátorovi	审阅者指派给管理员
nástroj pro přídělení příspěvků spuštěn kým	捐款发起的 přídělení 工具
zahájil vyjadřování zájmu recenzentů	利益表达的发起审阅者
zamítnut kým	被拒绝
spoluautor příspěvku	合作作者的贡献
podrobnosti vloženy kým	输入的详细信息
zadání kritérií recenzí kým	请输入评论的标准
přiděleno recenzentovi	分配给审阅者
označil konflikt zájmu	所谓的利益冲突
článek přečten recenzentem	阅读审阅者的文章
přidělen recenzent	分配审阅者
dokončit přidělení příspěvků konference	要完成的对会议的贡献分配
má člena konference	有会议的一个成员
vyjádření zájmu upraveno	由利益表达的
přidělení příspěvků dokončeno kým	分配完成的捐款
má spoluautora	我的合著者
článek přečten meta-recenzentem	读元审阅者的文章
má rozhodnutí	决定
má konflikt zájmu s příspěvkem	有冲突的利益与所作的贡献
pojednává o tématu	讨论主题
spustil přidělování článků konference	降低分配的会议文章
napsal článek	写这篇文章
recenze napsána kým	审查所写
má člena programového výboru	是的方案委员会成员
recenzuje článek	评论文章
napsal recenzi	写了评论
uzavřít recenzi	结束审查
vložit podrobnosti konference	插入会议详细的信息
umožnit virtuální schůzku konferenci	使虚拟会议会议
akceptovány příspěvky konference pro tisk	打印会议的公认的贡献
článek má název	这篇文章有一个名字
má email	我的电子邮件
článek má id	这篇文章有一个 id
čte článek	读这篇文章
přijato kým	谁收到了
přidělení členů programového výboru administrátorem	分配的由管理员指导委员会成员
zamítnul článek	退回的文章
virtuální schůzka konference umožněna kým	虚拟会议会议使成为可能由
vložit kritéria recenze	插入标准审查
vyjadření zájmu spuštěno kým	vyjadření 利息由触发
přidělen externí recenzent	分配给外部的审阅者
brožury vytištěny kým	由印制的小册子
tisk brožur konference	小册子印刷会议
přijal článek	公认的文章
přidat člena programového výboru	若要添加方案委员会的成员
nastavil maximální počet recenzí	设置最大数量的点评
logo konference má url	会议的标志都有一个 url
konference má recenzí na článek	会议对文章有点评
má jméno	我的名字
datum konference	该会议的日期
webová stránka konference má url	会议有一个 Web 页的 url
kamera-ready verze příspěvku	化好妆的版本所作的贡献
dokument konference	会议的文件
vydavatel	发布者
organizátor	组织者
tutoriál	教程
pozdně přihlášený zájemce o konferenci	在有关这次会议铅后期
výbor	委员会
