ملخص البحث	Résumé de recherche
الكاتب المشترك	Coauteur
مشرف	Admin
رئيس	Le Président de la
عضو المؤتمر	Conférence de membre
البحث	Recherche
وثيقة	Document
الكاتب 	Écrivain 
شخص	Gens
عضو في اللجنة العلمية	Membre du Comité scientifique
رئيس المرتبطة	Le Président des associés
رئيس اللجنة العلمية	Président du Comité scientifique
مؤتمر	Conférence
أفضلية	Préférence
مراجعة فوقية	Revue instantanée
المراجع	Références
القبول	Admission
المراجع الفوقي	Meta-références
موضوع المحور	Axe du sujet
الكاتب، الذي ليس المراجع	L'auteur, qui n'est pas fait référence
رئيس المؤتمر	Le Président de la Conférence
المستخدم	Utilisateur
مزايدة	Vente aux enchères
لاشيء	Rien
الرفض	Rejet
لجنة العلمية	Comité scientifique
قرار	Résolution
مراجعة	Examen
النسخة الكاملة من البحث	La version complète de la recherche
المراجع خارجي	Références externes
لديه عنوان	A titre
لديه اسم	A un nom
لديه التاريخ	A histoire
لديه موقع على رابط	Il a un lien de site Web
تقبل نسخة المرسلات	Accepter les messages CC
العدد الأقصى من الابحاث المسندة	Le nombre maximal des cessions de recherches
لديه الشعار في رابط	A le lien du logo
مراجعة/تعليقات لكل بحث	Révision/commentaires pour chaque recherche
لديه معرف	A l'ID
لديه عضو	A membre
قبوله من قبل	Acceptée par
قبوله من قبل 	Acceptée par 
لديه بريد الكتروني	A e-mail
يقبل	Accepte
إدخال التفاصيل حول	Entrez les détails sur le
علامة تضارب المصالح	La balise de conflits d'intérêts
مشترك في الكتابة	Écriture partagée
تمكين الاجتماع الظاهري	Activez la réunion virtuelle
يضيف	Ajoute
كتابة البحث	Recherche d'écriture
يعيين	Ensembles de
معايير مراجعة أدخلت من قبل	Révision de normes introduite par le
(... ،تم تقرير (ليكون مقبول، مرفوض	(... Le rapport (pour être acceptés, rejetés
أضافته من قبل	Ajouté par
كتابته من قبل	Rédigé par
استكمال احالة البحث	Recherche d'orientation complet
احالة أدوات البحث مشغل من قبل	Outils de moteur de recherche de référence de
بدء تقديم العطاءات المراجع	Commencer à enchérir références
لديه مزايدة	A offert
ارسال البحث	Envoyer la recherche
لديه تضارب في المصالح مع احترام	A un conflit d'intérêts dans le respect
تم تعيين	A-t-il été réglé
رفض من قبل	Rejetée par
تفاصيل مدخلة من قبل	Les données saisies par
كاتب مشترك من قبل	Coauteur
بدأ تقديم العطاءات المراجع من قبل	Renvois d'appel d'offres lancé par le
بدأ تقديم العطاءات المراجع من قبل 	Renvois d'appel d'offres lancé par le 
نسخة من البريد الالكتروني للمظاهرات مطبوعة من قبل	Une copie de l'e-mail imprimé par manifestations
تحديد مجموعة عدد أقصى من الابحاث المسندة 	Sélectionnez le nombre maximal de cessions de recherches 
تحديد مجموعة عدد أقصى من الابحاث المسندة	Sélectionnez le nombre maximal de cessions de recherches
قراءته من قبل مراجع	Lu par références
تشغيل أدوات احالة البحث	Outils de recherche de référence
تشغيل أدوات احالة البحث  	Outils de recherche de référence  
قراءته من قبل مراجع الفوقي	Lu par meta-références
المراجعة كتابية	Examen écrit
تعيينه من قبل مشرف 	Assignés par admin 
تعيينه من قبل مشرف	Assignés par admin
ضبط	Ajuster
اجتماع الظاهري ممكن من قبل	La réunion virtuelle est possible par
قراءة البحث	Lire la recherche
إدخال معايير المراجعة	Entrez les critères d'examen
تعيين من اجل	Néc
احالة البحث منتهي من قبل	Orientation recherche terminée par
لديه موضوع المحور	A le moyeu de la rubrique
تعديله من قبل	Modifié par
