документ	document
конференция	Conference
полная версия статьи	the full version of the article
член конференции	Member of the Conference
принятие	the adoption of
решение	solution
отклонение	deviation
администратор	Administrator
председатель конференции	the President of the Conference
рецензент	Reviewer
председатель	Chairman
автор	author
мета-рецензент	Meta-reviewer
член программного коммитета	as a member of the program Committee
пользователь	user
лицо	person
аннотация статьи	abstract article
соавтор	co-author
председатель программного коммитета	Chairman of the program Committee
автор не являющийся рецензентом	the author is not a reviewer
программный коммитет	Program Committee
предпочтение	preference
тематическая область	thematic area
мета-рецензия	Meta-book review
рецензия	Book review
заместитель председателя	Deputy Chairman
внешний рецензент	external reviewer
статья	Article
ставка	rate
внести критерии рецензирования	to review criteria
подать статью	submit an article
назначает рецензента	appoints reviewer
прочитано рецензентом	read reviewer
кем разершёна виртуальная встреча	by razeršëna virtual meeting
прочитано мета-рецензентом	read the meta-reviewer
кем отклонено	who rejected
кем изменена	who changed
printhardcopymailingmanifests	printhardcopymailingmanifests
кем начато размещение ставок рецензента	who started placing bets reviewer
закончил рецензию	finished review
интернет-адрес сайта	the Internet address of the Web site
адрес электронной почты	email address
максимум статей	maximum articles
идентификатор статьи	the article ID
заголовок	header
интернет-адрес логотипа	the Internet address of the logo
имя	the name
рецензенты статьи	reviewers of the article
число	the number of
принимает печатные заявки	accepts print requests
кем написано	by written
кем принято	anyone taken
внести детали конференции	to make details of the Conference
изменяет ставку	change rate
отметить конфликт интересов	Note the conflict of interest
назначена кому	assigned to
читает статью	Read article
кем запущена программа назначения статей	who is running the program destination articles
кем добавлено	by date added
назначен рецензентом	a reviewer appointed
назначен администратором	appointed by the administrator
разрешить виртуальную встречу	allow virtual meeting
назначает внешнего рецензента	appoints an external reviewer
принимает статью	accepted article
закончить назначение статей	finish the assignment of articles
кем внесены детали	who made details
пишет статью	writing an article
кем закончено назначение статей	who finished assigning articles
установить максимум статей	set the maximum articles
написать статью в соавторстве	write an article co-authored
добавляет члена программного коммитета	Adds a Member Program Committee
назначена	appointed
конфликт интересов	conflict of interest
кем введены критерии рецензирования	inducted review criteria
hardcopymailingmanifestsprintedby	hardcopymailingmanifestsprintedby
начало размещения ставок рецензента	start betting the reviewer
отклоняет статью	rejects article
пишет рецензию	write a review
приглашённый доклад	Guest report
развёрнутая аннотация	expanded abstract
семинар	Seminar
часть конференции	part of the Conference
научный совет	the Scientific Council
организация	Organization
секция	section
издатель	Publisher
принятый труд	the work of
пассивный участник конференции	passive participant of the Conference
отрецензированнй труд	otrecenzirovannj work
отклонённый труд	rejected labour
объявление конференции	announcement of the Conference
соавтор работы	co-author of work
приглашённый докладчик	guest speaker
сопредседатель	Co-Chair
1й автор работы	the first author of the work
лицо внесшее вклад в конференцию	the person marking the contributions to the Conference
оплативший участник	buying party
сборы конференции	Conference fees
участник конференции	participant of the Conference
досрочно оплативший участник	early buying party
организационная комиссия	Organization of the Board
активный участник конференции	an active participant of the Conference
член комиссии	Member of the Commission
поданый труд	podanyj work
выпуск конференции	Release Conference
требования к рецензии	requirements to the review
