řádný článek	einen richtigen Artikel
vyjádření zájmu	Interessenbekundung
předseda programového výboru	der Vorsitzende des Programmausschusses
článek	Artikel
rozhodnutí	die Entscheidung über die
programový výbor	Programmkomitee
meta-recenze	Meta-Bewertungen
osoba	die person
konference	Konferenz
dokument	Dokument
recenzent	Rezensent
autor který není recenzent	der Autor ist kein Prüfer
osoba s účastí na konferenci	die Person mit der Teilnahme an der Konferenz
přijetí	die Annahme der
předseda	der Präsident der
autor	der Autor von den
krátký článek	ein kurzer Artikel
spolupředseda	Der Ko-Vorsitzende der
člen programového výboru	Mitglied des Programmausschusses
spoluautor	Co-Autor
předseda konference	der Präsident der Konferenz
externí recenzent	externer Gutachter
uživatel	Benutzer
recenze	Bewertungen
zamítnutí	die Ablehnung des
preference	"Einstellungen"
administrátor	Administrator
meta-recenzent	Meta-Prüfer
předmětná oblast	das fragliche Gebiet
člen konference	Mitglied der Konferenz
přidán člen programového výboru	zusätzlichen Mitglied des Programmausschusses
odeslání článku	einen Artikel einreichen
má vyjádření zájmu	die Interessenbekundung
přidělen meta-recenzent recenzentovi	der Meta-Reviewer Rezensent zugewiesen
upravit vyjádření zájmu	Bearbeiten Sie den Ausdruck des Interesses
článek napsal	Artikel geschrieben von
přidělen recenzent administrátorovi	der Rezensent ist dem Administrator zugewiesen
nástroj pro přídělení příspěvků spuštěn kým	Přídělení-Tool für Beiträge von ins Leben gerufen
zahájil vyjadřování zájmu recenzentů	Interessenbekundung startete die Rezensenten
zamítnut kým	von abgelehnt
spoluautor příspěvku	Co-Autor des Beitrags
podrobnosti vloženy kým	die Angaben von
zadání kritérií recenzí kým	Geben Sie die Kriterien, die Bewertungen
přiděleno recenzentovi	ein Bearbeiter zugewiesen
označil konflikt zájmu	bezeichnet den Interessenkonflikt
článek přečten recenzentem	Artikel lesen Prüfer
přidělen recenzent	einen Bearbeiter zugewiesen
dokončit přidělení příspěvků konference	die Zuweisung von Beiträgen zur Konferenz abgeschlossen
má člena konference	hat ein Mitglied der Konferenz
vyjádření zájmu upraveno	Interessenbekundung von
přidělení příspěvků dokončeno kým	die Zuweisung von Beiträgen, die abgeschlossen
má spoluautora	mein Co-Autor
článek přečten meta-recenzentem	Artikel lesen Meta-Prüfer
má rozhodnutí	die Entscheidung über die
má konflikt zájmu s příspěvkem	hat einen Interessenkonflikt mit dem Beitrag aus der
pojednává o tématu	diskutiert
spustil přidělování článků konference	die Zuteilung der Konferenz Artikel gesenkt
napsal článek	schrieb den Artikel
recenze napsána kým	Rezension geschrieben von
má člena programového výboru	ist ein Mitglied des Programmausschusses
recenzuje článek	Bewertungen Artikel
napsal recenzi	schrieb eine Rezension
uzavřít recenzi	zum Abschluss der Überprüfung
vložit podrobnosti konference	Legen Sie die Details der Konferenz
umožnit virtuální schůzku konferenci	virtuelle Meetings Konferenz aktivieren
akceptovány příspěvky konference pro tisk	akzeptierte Beiträge der Konferenz für Druck
článek má název	der Artikel hat einen Namen
má email	Meine e-Mail
článek má id	der Artikel hat eine id
čte článek	Lesen Sie den Artikel
přijato kým	Wer erhalten
přidělení členů programového výboru administrátorem	die Verteilung der Mitglieder des Lenkungsausschusses vom administrator
zamítnul článek	Abgelehnte Artikel
