comitê de programa	Programmkomitee
coordenador do comitê de programa	Programm-Komitee-Koordinator
meta revisor	Meta Prüfer
coordenador geral do evento	General-Koordinator der Veranstaltung
conferência	Konferenz
usuário	Benutzer
autor	Autor
membro participante da conferência	Teilnehmer der Konferenz
propostas	Vorschläge
co autor	Co-Autor
coordenador da conferência	Konferenz Koordinatorin
rejeição	Ablehnung
preferência	Präferenz
coordenador associado do evento	Koordinator des Ereignisses zuordnen
aceitação	Akzeptanz
meta revisão	Meta-Bewertung
administrador	Administrator
área temática	Themenbereich
autor não revisor	Autor-Prüfer
decisão	Entscheidung
versão completa de artigo	Vollversion des Artikels
resumo do artigo	Zusammenfassung des Artikels
pessoa	Person
documento	Dokument
revisor	Rezensent
revisão	Bewertung
membro do comitê de programa	Mitglied des Ausschuss-Programms
revisor externo	externer Gutachter
artigo	Artikel
artigo escrito	Artikel geschrieben
ajustar o pedido de revisão	Passen Sie den Antrag auf Überprüfung
pedido de revisao ajustado	Antrag auf Revision Satz
critérios de revisão introduzidos por	Kriterien zu überprüfen
tem email	hat e-Mail
tem data	hat ein date
leitura de artigo	Artikel lesen
reunião virtual habilitada por	virtuelles Treffen aktiviert, indem
atribuição de um artigo finalizada por	eine Artikel-Zuordnung von beendet
escrever um artigo com	Schreiben Sie einen Artikel mit
adicionar um membro do comitê de programa	Hinzufügen eines Mitglieds des Programms Ausschuss
adicionado por	Hinzugefügt von
possui conflito de interesses	hat einen Interessenkonflikt
executar ferramentas de atribuição de artigos	Ausführen der Zuordnung Tools Artikel
possui autor	hat Autor
revisão realizada	durchgeführten Überprüfung
tem nome	haben Sie einen Namen
máximo de artigos	maximale Artikel
revisões por artigo	Bearbeitungen pro Artikel
tem título	Titel
tem site	hat website
tem código do artigo	hat Artikelcode
aceita submissões impressas	akzeptiert Einreichungen gedruckt
url	URL
ferramentas de atribuição de artigos executadas por	Werkzeuge-Artikel-Zuordnung durchgeführt von
escrito por	Geschrieben von
permitir uma reunião virtual	ein virtuelles Treffen zu ermöglichen
atribuir um revisor	Zuweisen eines Bearbeiters
leitura realizada po um revisor	Lesen statt po ein Prüfer
membro da conferência	Mitglied der Konferenz
iniciar pedidos de revisão	Überprüfungsanträge zu initiieren
atribuído para	zugewiesen
possui um membro do comitê de programa	hat ein Mitglied des Programms Ausschuss
inserir detalhes	Einfügen von Informationen
envio de artigos	Artikel senden
possui uma área	Er hat eine Fläche
possui pedido de revisão	Funktionen-Antrag auf Überprüfung
revisão final	abschließende Überprüfung
leitura realizada por um meta revisor	Lesung, gehalten von einem Bearbeiter
artigo aceito	Artikel akzeptiert
aceito por	von akzeptiert
membro do comite de programa	Mitglied des Ausschuss-Programms
pedidos de revisão iniciados por	Überprüfung Zugriffe initiierten
possui decisão	eigene Entscheidung
possui atribuição	Namensnennung hat
inserir os detalhes da conferência	Geben Sie die Details der Konferenz
finalizar as atribuições dos artigos	Abschließen der Zuschreibungen von Artikeln
artigo rejeitado por	Artikel von abgelehnt
atribuir um revisor externo	Weisen Sie eine externe Gutachter
atribuído pelo administrador	vom Administrator zugewiesen
inserir os critérios das revisões	Geben Sie die Kriterien von Revisionen
impressão de documentos de envio de volume de correio	Drucken von Dokumenten vom Senden von e-Mail-Aufkommen
rejeitar artigo	Artikel ablehnen
mala  direta	Seriendruck
marca um conflito de interesse	Markieren eines Interessenkonflikts
atribuído pelo revisor	durch den Bearbeiter zugewiesen
definição do número máximo de artigos	Festlegen der maximalen Anzahl von Artikeln
possui participante da conferência	hat Ende der Konferenz
volume da conferência	Tagungsband
anúncio de conferência	Konferenzankündigung
site da conferência	Konferenz-Website
participante pago antecipado	prepaid-Teilnehmer
comitê	Ausschuss
participante ativo da conferência	aktiver Teilnehmer der Konferenz
contribuinte à conferência	Mitwirkende zur Konferenz
contribuição à conferência	Beitrag zur Konferenz
documento da conferência	Dokument der Konferenz
parte da conferência	Teil der Konferenz
editora	Verlag
especialidade de revisão	Spezial-Bewertung
palestra convidada	eingeladener Vortrag
apresentação	Präsentation
chamada para participação	Aufruf zur Teilnahme
resumo estendido	WIP
tópico	Thema
comitê diretivo	Lenkungsausschuss
participante passivo da conferência	passiver Teilnehmer der Konferenz
chamada de trabalhos	Call für papers
coordenador geral	General-Koordinator
participante pago	Teilnehmer bezahlt
primeiro autor da contribuição	erste Autor Beitrag
participante da conferência	Teilnehmer der Konferenz
membro do comitê	Mitglied des Ausschusses
contribuição revisada	überarbeiteten Beitrag
co autor da contribuição	Co-Autor des Beitrags
contribuição escrita	schriftlichen Beitrag
workshop	Workshop
tutorial	Lernprogramm
organizador	Veranstalter
contribuição aceita	Beitrag angenommen
participante pago atrasado	Teilnehmer, die zu spät bezahlt
informações aos participantes	Informationen für Teilnehmer
contribuição submetida	eingereichten Beiträge
organizacão	Organisation
co coordenador	Co-Koordinator
contribuição de artigo completo	Beitrag der ganzen Artikel
versão final da contribuição	die endgültige Version des Beitrags
participante registrado	Teilnehmer registriert
taxa de inscrição da conferência	Konferenz-Anmeldegebühr
preferência de revisão	Präferenz zu überprüfen
datas importantes	wichtige Termine
trilha da conferência	Konferenz-track
resumo	Zusammenfassung
contribuição rejeitada	Beitrag abgelehnt
coordenador de trilha de workshop	Trail-Koordinator-workshop
comitê organizador	Organisationskomitee
anais da conferência	Tagungsband
participante de conferência	Ende der Konferenz
palestrante convidado	Gast-Dozent
possui nome	Namen hat
data de submissão de resumo	Zeitpunkt der Antragstellung Zusammenfassung
número do volume dos anais	Annalen Band Nr
data de publicação	Datum der Veröffentlichung
possui primeiro nome	Vorname hat
data de entrega da versão final de artigo	Liefertermin der endgültigen Version des Artikels
o site da conferencia é	die Konferenz-Website ist
data de início	Startdatum
dia de encerramento	Ruhetag
possui um email	hat eine email
possui sobrenome	Merkmale Familienname
localização da conferência	Ort der Konferenz
data de submissão de artigo completo	Zeitpunkt der Einreichung des vollständigen Artikel
especialidade do revisor	Reviewer's Spezialität
possui sexo	hat sex
isbn dos anais	ISBN der den Annalen
possui um coordenador geral	hat ein General-Koordinator
pertence a um volume da conferência	gehört zu einem Tagungsband
revisa	Bewertungen
possui um comitê organizador	hat ein Organisationskomitee
possui autores	Funktionen-Autoren
é submetida a	unterliegt
possui um tópico ou uma contribuição submetida	hat ein Thema oder ein Beitrag eingereicht
possui um resumo	hat eine Zusammenfassung
foi um comitê de programa de conferência	Es war ein Konferenz-Programmkomitee
possui uma especialidade de revisão	hat eine Spezialität-Überprüfung
possui um comitê	hat einen Ausschuss
possui uma revisão	hat eine Überprüfung
é um tópico de partes da conferência	Es ist ein Thema von Teilen der Konferenz
possui uma editora	hat ein Verlag
diploma de revisão	Diplom-Prüfung
data de anúncio de aceitação	Datum der Anzeige der Annahme
possui contribuições	hat Beiträge
possui um comitê diretivo	hat ein Steering Committee
convida co revisores	Einladungen co Bewertungen
