programový výbor	Comité du programme
dokument	document
autor	l'auteur de la
administrátor	Administrateur
článek	Article
rozhodnutí	la décision de la
osoba	la personne
spoluautor	co-auteure
zamítnutí	le rejet de
preference	préférences
meta-recenzent	Meta-examinateur
předmětná oblast	la zone en question
řádný článek	un bon article
předseda programového výboru	le Président du Comité du Programme
recenzent	Relecteur
autor který není recenzent	l'auteur n'est pas un critique
osoba s účastí na konferenci	la personne avec la participation à la Conférence
předseda	le Président de la
krátký článek	un court article
externí recenzent	examinateur externe
uživatel	utilisateur
recenze	Commentaires
vyjádření zájmu	manifestation d'intérêt
meta-recenze	Meta-commentaires
konference	Conférence
přijetí	l'adoption de la
spolupředseda	Coprésident de la
člen programového výboru	Membre du Comité du Programme
předseda konference	le Président de la Conférence
člen konference	Membre de la Conférence
přidán člen programového výboru	Ajout d'un membre du Comité du Programme
odeslání článku	soumettre un article
má vyjádření zájmu	la manifestation d'intérêt
přidělen meta-recenzent recenzentovi	assignés à l'examinateur de la meta-examinateur
upravit vyjádření zájmu	Modifier l'expression d'intérêt
článek napsal	Article écrit par
přidělen recenzent administrátorovi	l'examinateur est attribué à l'administrateur
nástroj pro přídělení příspěvků spuštěn kým	přídělení outil pour contributions lancé par
zahájil vyjadřování zájmu recenzentů	manifestation d'intérêt lancé les examinateurs
zamítnut kým	rejetée par
spoluautor příspěvku	co-auteure de la contribution
podrobnosti vloženy kým	les données saisies par
zadání kritérií recenzí kým	Entrez les critères qui examine
přiděleno recenzentovi	assignés à un relecteur
označil konflikt zájmu	appelé le conflit d'intérêts
článek přečten recenzentem	article lu relecteur
přidělen recenzent	assignés un relecteur
dokončit přidělení příspěvků konference	pour compléter la répartition des contributions à la Conférence
má člena konference	a un membre de la Conférence
vyjádření zájmu upraveno	manifestation d'intérêt de
přidělení příspěvků dokončeno kým	la répartition des contributions qui terminé
má spoluautora	mon co-auteur
článek přečten meta-recenzentem	article lu meta-examinateur
má rozhodnutí	la décision de la
má konflikt zájmu s příspěvkem	a un conflit d'intérêts avec la contribution de la
pojednává o tématu	aborde le sujet
spustil přidělování článků konference	abaissé la répartition des articles de la Conférence
napsal článek	auteur de l'article
recenze napsána kým	examen écrit par
má člena programového výboru	est membre du Comité du Programme
recenzuje článek	Commentaires sur l'article
napsal recenzi	a écrit un avis
uzavřít recenzi	pour conclure l'examen
vložit podrobnosti konference	Insérer les détails de la Conférence
umožnit virtuální schůzku konferenci	activez la Conférence réunions virtuelles
akceptovány příspěvky konference pro tisk	accepté des contributions de la Conférence pour l'impression
článek má název	l'article a un nom
má email	mon email
článek má id	l'article a un id
čte článek	lire l'article
přijato kým	qui l'a reçu
přidělení členů programového výboru administrátorem	la répartition des membres du Comité directeur par l'administrateur
zamítnul článek	article rejeté
virtuální schůzka konference umožněna kým	réunion virtuelle Conférence rendue possible par
vložit kritéria recenze	Insérer une révision des critères
vyjadření zájmu spuštěno kým	vyjadření intérêt déclenchée par
přidělen externí recenzent	assignés à un examinateur externe
brožury vytištěny kým	brochures imprimées par
tisk brožur konference	Conférences d'impression brochure
přijal článek	article accepté
přidat člena programového výboru	pour ajouter un membre du Comité du Programme
nastavil maximální počet recenzí	définir le nombre maximal de commentaires
logo konference má url	le logo de la Conférence a une url
konference má recenzí na článek	la Conférence a des commentaires sur l'article
má jméno	mon nom
datum konference	la date de la Conférence
webová stránka konference má url	la Conférence a une url de page Web
dokument konference	le document de la Conférence
pozdně přihlášený zájemce o konferenci	vers la fin de l'initiative sur la Conférence
zvaná přednáška	Conférence invitée
organizační výbor	Comité d'organisation
člen výboru	Membre du Comité
přijatý příspěvek	reçu par la poste
konferenční příspěvek	Contribution de la Conférence
konferenční oznámení	Annonce de conférence
rozšířený abstrakt	résumé détaillé
registrovaný zájemce o konferenci	candidats inscrits sur la Conférence
prezentace	présentation
přihlášený zájemce o konferenci	connecté en tête sur la Conférence
zamítnutý příspěvek	un message rejeté
účastník konference	participant de la Conférence
sborník konference	actes de la Conférence
pasivní účastník konference	passive participant de la Conférence
poslaný příspěvek	envoyé par la poste
hlavní autor příspěvku	l'auteur principal de la contribution
abstrakt	Résumé
sekce konference	section Conférence
kamera-ready verze příspěvku	version prête à imprimer de la contribution
vydavatel	Editeur
tutoriál	tutoriel
řádný příspěvek	un bon post
odbornost experta	l'expertise de l'expert
řídící výbor	le Comité de gestion
časně přihlášený zájemce o konferenci	au début de l'initiative sur la Conférence
poster	affiche
organizace	Organisation
řádný autor příspěvku	contribution de l'auteur bon
informace pro účastníky	informations pour les participants
konferenční poplatky	Droits d'inscription
recenzovaný příspěvek	post par les pairs
výzva k účasti na konferenci	appel à participation à la Conférence
organizátor	l'organisateur de la
výbor	le Comité de la
