Util_x,Network_x,Interpreter_x,Error Handling_x,Lang_x,i18n_x,Setup_x,Logic_x,IO_x,Security_x,Event Handling_x,App_x,Author,prNumber,Util_y,Network_y,Interpreter_y,Error Handling_y,Lang_y,i18n_y,Setup_y,Logic_y,IO_y,Security_y,Event Handling_y,App_y
1,0,0,1,0,1,0,1,0,0,1,1,Tokuhiro Matsuno, 1810 1813 571,1,1,0,1,0,1,0,1,1,0,0,1
1,0,0,1,0,1,0,1,1,0,0,1,Fr Jeremy Krieg, 1644 1667 1723,1,1,0,1,1,1,0,1,0,0,0,1
1,0,0,1,0,0,0,1,0,0,0,1,Michael Schieder, 2236,1,0,0,1,0,0,0,1,0,0,0,1
1,0,0,1,0,0,1,1,0,0,1,1,Slawomir Jaranowski, 2140,1,1,0,1,0,1,1,1,0,0,1,1
1,1,0,1,0,1,1,1,1,0,1,1,Tim van der Lippe, 1227 1228 1238 1247 1350 1565 1586 1612 1617 1635 1641 1646 1648 1680 1690 1701 1790 1807 1811 1819 1820 1832 1845 1858 1862 1878 215 286 287 288 1934 1945 389 436 444 491 492 2227 2248 2259 2277 556 557 639 2292 872 1027 1041 1219 1220,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,1,0,0,0,1,0,0,0,1,Ilmir Usmanov, 2280,1,0,0,1,0,1,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0,0,0,1,Emory Merryman, 47,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,1,0,0,1,1,0,0,0,1,Anuraag Agrawal, 1391,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,1,0,1,0,0,0,1,Jan Mosig, 2193,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,0,1,0,0,0,1,Michael Keppler, 1792,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,1,0,1,0,1,0,0,0,1,Walter Scott Johnson, 1536,1,0,0,1,0,0,0,1,0,0,0,1
1,0,0,1,0,0,1,1,0,0,1,1,Sangwoo Lee, 1434 1436 1439 1440 1458 1463,1,1,0,1,0,0,1,1,0,0,1,1
1,0,0,1,0,1,1,1,0,0,0,1,Danny Mösch, 1787,1,1,0,1,0,0,1,1,0,0,1,1
1,0,0,1,0,1,0,1,0,0,0,1,Lovro Pandžić, 38 44,1,1,0,1,0,0,1,1,0,0,1,1
1,0,0,1,0,0,0,1,0,0,0,1,Dmitriy Zaitsev, 746,1,1,1,1,0,1,1,1,1,1,1,1
1,0,0,1,0,0,0,1,0,0,0,1,Tsuyoshi Murakami, 979 985,1,1,0,1,0,1,1,1,1,0,1,1
1,1,0,1,0,0,1,1,0,0,1,1,Eitan Adler, 1906 1907,1,0,0,1,0,1,1,1,1,0,0,1
1,0,0,1,0,1,0,1,0,0,0,1,Sergey, 1762,1,0,0,0,0,1,0,1,1,0,0,0
1,0,0,0,0,1,0,1,0,0,0,1,Alex Simkin, 1620 986,1,0,0,0,0,0,1,1,1,0,1,1
1,1,0,1,0,0,0,1,0,0,1,1,Ryan Pickett, 1708,1,0,0,1,0,1,0,1,0,0,1,1
1,1,0,1,0,0,1,1,0,0,1,1,Naoki Takezoe, 1931,1,0,0,1,0,1,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0,0,0,1,Robert Chmielowiec, 1978,1,1,0,1,0,0,1,1,0,0,1,1
1,0,0,0,0,0,0,1,0,0,0,1,Andrei Silviu Dragnea, 1847 1928,1,0,0,1,0,1,1,1,0,0,1,1
1,0,0,1,0,0,0,1,0,0,0,1,Hans Joachim Desserud, 511 525 673,1,0,0,0,0,1,0,1,1,0,0,1
1,0,0,1,0,1,0,1,0,0,0,0,Roi Atalla, 434,1,0,0,1,0,0,1,1,0,0,0,1
1,0,0,1,0,1,0,1,0,0,0,1,Christoph Dreis, 1849,1,0,0,1,0,1,1,1,1,0,1,1
1,0,0,1,0,0,0,1,0,0,0,1,David J. M. Karlsen, 386,1,0,0,1,0,0,0,1,0,0,0,1
1,0,0,0,0,1,0,1,0,0,0,1,Eugene Ivakhno, 229,1,0,0,0,0,1,0,1,0,0,0,0
1,0,0,1,0,1,1,1,0,0,0,1,Charles Munger, 2306 2312 2318,1,1,1,1,0,1,0,1,1,0,0,1
1,1,0,1,0,1,0,1,0,0,1,1,Marc Philipp, 1301 1672 1821,1,0,0,1,0,1,0,1,1,0,0,1
1,0,0,1,0,1,0,1,1,0,0,1,Ariel Isaac, 301,1,0,0,1,0,1,1,1,0,0,0,1
