onderwerp	tópico
conferentievoorzitter	Presidente da conferência
coauteur	co-autor
beslissing	decisão
programmacommissie	Comité do programa
conferentielid	conferentielid
voorzitter programmacommissie	Comitê de programa do Presidente
gebruiker	usuário
acceptatie	aceitação
recensent	Revisor
document	documento
auteur	autor
metarecensent	crítico de meta
voorzitter	Presidente
bod	oferta
auteur niet-recensent	autor non-revisor
medevoorzitter	Co-presidente
artikel	Artigo
persoon	pessoa
volledig artikel	artigo completo
recentie	revisão
conferentie	Conferência
afwijzing	rejeição
programmacommissie lid	Membro do Comitê de programa
voorkeur	preferência
beheerder	Administrador
synopsis	Sinopse
externe recencent	revisor externo do Amazonas
metarecentie	metarecentie
paper id	identificação de papel
datum	Data
gebruik artikel toewijzings tool	Use a ferramenta de alocação do item
heeft coauteur	é co-autor de
heeft auteur	tem autor
hardcopy verstuurbewijs afgedrukt door	Hardcopy enviar provas impressas pelo
maak toewijzing artikel af	Criar item de alocação
toegewezen door recencent	atribuído pelo revisor de Amazon
recentie bieden begonnen door	oferta de revisão iniciada por
heeft belangenverstrengeling	tem conflitos de interesse
website url	url do site
accepteerd hardcopy submissies	aceita submissões em papel
email	Email
titel	título
logo url	url do logotipo
naam	nome
maximum aantal artikelen	número máximo de artigos
recenties per artikel	Comentários por item
aangepast door	modificado por
is toegekend	é concedido
lid van conferentie	Membro da conferência
schrijf recentie	escrever comentário
details ingevuld door	detalhes de concluída por
toekenning artikel tool gebruikt door	Ferramenta de artigo do prêmio usada pelo
eindrecentie	eindrecentie
wijs artikel af	aponte para o artigo
markeer belangenverstrengeling	destacar os conflitos de interesses
voeg programmacommissie lid toe	Adicionar membro do Comitê de programa
heeft conferentielid	tem conferentielid
gelezen door reviewer	lido pelo revisor
wijs externe recencent toe	Revisor de Amazon, para apontar para o externo
lid van programmacommissie	Membro do Comité do programa
laat virtuele vergadering toe	Deixe a reunião virtual
stel maximaal aantal artikelen in	definir o número máximo de itens na
artikel gelezen	artigo lido
toegewezen aan	atribuído a
geschreven door	escrito por
schrijf artikel	escrever artigo
toegevoegd door	adicionado por
wijs recencent toe	Adicionar ponto de revisor da Amazônia
accepteer artikel	aceitar o artigo
geaccepteerd door	aceite pela
dien artikel in	Este artigo em
heeft beslissing	decisão tem
heeft onderwerp	tem assunto
begin recentie bieden	oferta de revisão do início
vul recentie criteria in	Preencha os critérios de avaliação
toekenning artikel afgemaakt door	Artigo terminado pelo prêmio
recentie criteria ingevuld door	critérios de avaliação preenchidos pelo
heeft programmacommisie lid	Membro do Comitê de programa tem
heeft bod	tem oferta
virtuele vergadering toegelaten door	reunião virtual permitida pela
toegewezen door beheerder	atribuído pelo administrador
afgewezen door	rejeitada pelo
co-schrijf artikel	artigo co-escrever
pas bod aan	oferta única para
hardcopy verstuurbewijs	Hardcopy enviar comprovante
gelezen door metarecencent	lido por metarecencent
vul conferentie details in	detalhes completos da conferência em
commissie	Comissão
passieve conferentie deelnemer	participante da conferência passiva
geregistreerde aanvrager	candidatos registados
uitgever	Editora
laat betaalde aanvrager	tarde recorrente pagou
gewone contributie	taxa de adesão regular
afgewezen contributie	taxa de adesão rejeitados
track-workshop voorzitter	Presidente da faixa-oficina
coauteur bijdrage	contribuição de co-autor
lange synopsis	Sinopse longa
informatie voor deelnemers	informações para os participantes
conferentie aankondiging	Anúncio da conferência
poster	cartaz
drukklare contributie	taxa para impressão
commissielid	Membro do Comitê
conferentie aanvrager	requerente conferência
ingediende contributie	contribuição apresentada
gerecenseerde contributie	opinião de contribuição
workshop	oficina
oproep inzenzingen	chamada inzenzingen
conferentie document	Documento da conferência
vroeg betaalde aanvrager	início recorrente pagou
recentie voorkeur	preferência de revisão
conferentie deelnemer	participante da conferência
organisatiecommissie	Comitê de organização
conferentie kosten	Custos de conferência
betaalde aanvrager	requerente pagou
actieve conferentie deelnemer	participante ativo da conferência
organisatie	Organização
conferentie bijdrager	Colaborador de conferência
eerste auteur	primeiro autor
lezing op uitnodiging	Palestra sobre convite
snelcursus	curso intensivo
geaccepteerde contributie	taxa aceita
belangrijke data	datas importantes
organisator	Organizador
oproep tot deelname	chamada para participação
track	faixa
presentatie	apresentação
co-voorzitter	co-presidente
stuurgroep	Comitê Diretivo
recentie expertise	Perícia de revisão
geschreven contributie	contribuição escrita
conferentie contributie	Taxa de conferência
uitgenodigde spreker	oradora convidada
conferentie website	Site da conferência
conferentiebundel	Pacote de conferência
gewone auteur	autor regular
conferentie deel	Conferência
heeft een track-workshop-snelcursus onderwerp	tem um tópico de faixa-oficina-curso
heeft een uitgever	tem um editor
heeft een synopsis	tem uma sinopse
is een onderwerp van conferentie delen	compartilhar é um tema de conferência
contribueert	contribuir
heeft snelcursussen	tem snelcursussen
heeft een commissiecovoorzitter	tem um co-presidente da Comissão
heeft belangrijke data	tem datas importantes
was een stuurgroep van	era um grupo de orientação de
geeft presentaties	faz apresentações
uitgenodigd door	convidado por
recensies	Comentários
heeft delen	tem partes
was lid van	foi um dos
heeft een organisatiecommissie	tem um Comitê de organização
nodigt corecensenten uit	corecensenten convida de
is een volledig artikel submissie datum	é uma data de submissão de artigo completo
