person	osoba
gegenstandsbereich	Rozsah
gutachten	názor
externer gutachter	externí hodnotitelé
akzeptanz	přijetí
dokument	dokument
konferenzbeitrag	Konferenční příspěvek
programm-komitee	Programový výbor
präferenz	předvolba
verfasser, der kein gutachter ist	spisovatel, který je expert
meta-gutachten	Meta - stanovisko
meta-gutachten (gutachten über ein gutachten)	Meta - stanovisko (názor názor)
mitverfasser	spoluautor
teilnehmer einer konferenz	účastníci na konferenci
gutachter	Expert
benutzer	uživatel
verfasser	autor
vorsitzender	Předseda
vorsitzender der konferenz	Předseda organizačního výboru konference
gebot	velel
vorsitzender des programm-komitees	Předseda programového výboru
meta-gutachater	Meta-gutachater
stellvertretender vorsitz	Křeslo náměstka v
entscheidung	rozhodnutí
mitglied des programm-komitees	Člen programového výboru
abstrakt eines konferenzbeitrags	Abstrakt příspěvku konference
meta-gutachater (gutachter der gutachten begutachtet)	Meta-gutachater (znalecký posudek, který přehlídku)
zurückweisung	odmítnutí
vollständiger konferenzbeitrag	kompletní konferenční poplatek
administrator	Správce
konferenz	Konference
hat details eingefügt in bezug auf	vložila údaje ve vztahu k
hat die zuordnung der beiträge abgeschlossen	dokončila mapování příspěvků
hat zugewiesen	přiřadil k
druckt papierausdruck des mailing-manifests	vytisknout papírovou kopii poštovní manifestu
beitragszuordnungs-software ausgeführt von	softwarem beitragszuordnungs od
zugewiesen zu	přidělené
details eingefügt von	Podrobnosti přidal
beitragszuordnung abgeschlossen von	Zaúčtovat přiřazení dokončena
gelesen von gutachter	Přečtěte si odborníci
hat die beitrags-zuordnungssoftware ausgeführt	uskutečnil zuordnungssoftware příspěvek
hat virtuelles treffen veranlasst	virtuální setkání vedla
hat abgeglichen	má uzavřeno
mitverfasst von	autorem je
hat interessenskonflikt in bezug auf	interessenskonflikt má ve vztahu k
abgewiesen von	zamítla
geschrieben von	Zaslal
virtuelles treffen veranlasst von	virtuální setkání pod vedením
gelesen von meta-gutachter	Přečtěte si meta recenzentem
akzeptiert von	přijato od
ist mitglied des programm-komitees	je členem programového výboru
