组织者	المنظمون
研讨会	الحلقة الدراسية
会议论文集	وقائع المؤتمر
会议投稿人	المساهمين في المؤتمر
审稿人	المراجع
摘要	ملخص
指导委员会	اللجنة التوجيهية
已注册申请人	مقدمو الطلبات المسجلة
委员会	اللجنة
教程	البرنامج التعليمي
与会者	المشاركون
正规作者	المؤلف العادية
特邀报告人	المتحدثون الرئيسيون
审稿优先选择	استعراض الأولويات
主席	الرئيس
特邀报告	محادثات المدعوين
录用稿件	قسم تأجير
出版商	الناشرين
审稿专长	الخبرة استعراض الأقران
会议征稿通知	المؤتمر دعوة لتقديم أوراق
被动与会者	المشاركون السلبي
审稿意见	تعليقات
主题	الموضوع
投稿第一作者	تقديم البلاغ
长摘要	ملخص طويل
征文启事	أوراق-
会议文件	وثائق الاجتماع
论文	ورقة
联合主席	الرئيس المشترك
会议	المؤتمر
会议网站	موقع الاجتماع
书面投稿	البيان الكتابي
人员	الموظفين
主动与会者	مشاركة نشطة
组织	المنظمة
会议费用	تكاليف المؤتمر
会议卷册	مجلدات المؤتمر
投稿合作作者	نشر مؤلفين
晚付费申请人	التأخر في دفع مقدم الطلب
海报	ملصق
研讨会主席	رئيس الحلقة الدراسية
付费申请人	المدفوع لمقدم الطلب
正规投稿	المساهمين العادية
被审稿件	مخطوطة للمحاكمة
程序委员会	لجنة البرنامج
征集参与者通知	جمع إعلام المشتركين
轨道	المسارات
拒收稿件	المخطوطات المرفوضة
报告	التقرير
会议部分	الجزء
会议通知	إشعار الاجتماع
委员会成员	أعضاء اللجنة
投稿	تقديم
重要日期	التواريخ الهامة
照相制版稿件	قسم طباعة الصور الفوتوغرافية
与会者信息	معلومات الحضور
会议申请人	اجتماع مقدم الطلب
提前付费申请人	تدفع مقدما من مقدمي الطلبات
组委会	اللجنة المنظمة
有一个录用通知日期	وهناك إشعار القبول
有一个照相制版提交日期	تاريخ الإيداع بلوحة فوتوغرافية
有一个发行日题	وقد يمثل مشكلة تاريخ القضية
有一个名字	يكون اسم
有性别	ممارسة الجنس
有一个网址	وهناك عنوان
有一个全文投稿日期	تحتوي على تاريخ تقديم نص الكامل
有一个地点	موقع
有一个卷册	وهناك وحدة التخزين
有一个电子邮箱	يكون للبريد الإلكتروني
有名	الشهير
有一个研讨会教程主席	وهناك دورة دراسية الرئيس
有研讨会	الحلقة الدراسية
有重要日期	التواريخ الهامة
有一个投稿	وقد طلب
曾是一个成员	تستخدم ليكون عضوا
受邀于	وقد دعا إلى
