usuário	пользователь
rejeição	отказ
área temática	Тематическая область
versão completa de artigo	Полная версия статьи
resumo do artigo	Резюме статьи
documento	документ
revisão	Обзор
revisor externo	внешний рецензент
artigo	Статьи
membro participante da conferência	участник конференции члена
co autor	Автор Co
coordenador associado do evento	связать координатор мероприятия
aceitação	признание
meta revisão	Мета обзор
coordenador do comitê de programa	Координатор комитета программы
autor	Автор
coordenador da conferência	Координатор Конференции
preferência	предпочтения
administrador	Администратор
autor não revisor	Автор рецензент
revisor	Рецензент
comitê de programa	Программный комитет
meta revisor	Рецензент мета
coordenador geral do evento	Генеральный координатор мероприятия
conferência	Конференция
propostas	предложения
decisão	решение
pessoa	человек
membro do comitê de programa	Член Комитета программы
artigo escrito	Статья написана
ajustar o pedido de revisão	Настройка получения просьбы о пересмотре
pedido de revisao ajustado	запрос на пересмотр набора
critérios de revisão introduzidos por	критерии обзора, представленного
tem email	по электронной почте
tem data	Дата
leitura de artigo	читать статью
reunião virtual habilitada por	виртуальные совещания, включаемые
atribuição de um artigo finalizada por	Назначение статьи прекращено
escrever um artigo com	написать статью с
adicionar um membro do comitê de programa	Добавление члена программы Комитета
adicionado por	Добавил(а)
possui conflito de interesses	имеется конфликт интересов
executar ferramentas de atribuição de artigos	выполнять назначения инструменты статьи
possui autor	имеет автора
revisão realizada	обзора, проведенного
tem nome	иметь имя
máximo de artigos	Максимальная статей
revisões por artigo	изменений на статью
tem título	имеет название
tem site	имеет веб-сайт
tem código do artigo	имеет код товара
aceita submissões impressas	принимает материалы печатных
url	URL-адрес
ferramentas de atribuição de artigos executadas por	Назначение статьи инструменты, выполняемых
escrito por	Автор
permitir uma reunião virtual	Разрешить виртуальные совещания
atribuir um revisor	Назначение рецензента
leitura realizada po um revisor	чтение провел po рецензент
membro da conferência	Член Конференции
iniciar pedidos de revisão	инициировать запросы на отзыв
atribuído para	назначен
possui um membro do comitê de programa	был членом Комитета программы
inserir detalhes	Вставка сведений о
envio de artigos	Отправка статей
possui uma área	Он имеет площадь
possui pedido de revisão	особенности просьбы о пересмотре
revisão final	Окончательный обзор
leitura realizada por um meta revisor	чтение, удерживаемые рецензент
artigo aceito	Статья принята
aceito por	принято
membro do comite de programa	Член Комитета программы
pedidos de revisão iniciados por	Обзор запросы, инициированные
possui decisão	собственное решение
possui atribuição	имеет атрибуты
inserir os detalhes da conferência	Введите сведения о Конференции
finalizar as atribuições dos artigos	завершить полномочия статей
artigo rejeitado por	Статья отвергнуто
atribuir um revisor externo	назначить внешнего рецензента
atribuído pelo administrador	назначенные администратором
inserir os critérios das revisões	Введите критерии изменения
impressão de documentos de envio de volume de correio	Печать документов от отправки почты тома
rejeitar artigo	отклонить статьи
mala  direta	Слияние
marca um conflito de interesse	Марк конфликт интересов
atribuído pelo revisor	назначается рецензент
definição do número máximo de artigos	Установка максимального числа статей
possui participante da conferência	имеет окончания Конференции
anúncio de conferência	Анонс конференции
contribuinte à conferência	Участники Конференции
especialidade de revisão	специальность обзор
palestra convidada	приглашенные лекции
apresentação	Презентация
participante da conferência	участник конференции
contribuição submetida	представленных
preferência de revisão	Обзор предпочтения
contribuição rejeitada	вклад отклонил
comitê organizador	Организационный Комитет
contribuição à conferência	вклад в конференцию
parte da conferência	часть конференции
editora	Издатель
tópico	Тема
comitê diretivo	Руководящий комитет
participante pago	участник заплатил
membro do comitê	Член Комитета
contribuição revisada	пересмотренный вклад
co autor da contribuição	Автор Co вклада
workshop	мастерская
tutorial	Учебник
organizacão	Организации
co coordenador	Координатор Co
taxa de inscrição da conferência	Конференции регистрационный взнос
palestrante convidado	Приглашенный лектор
volume da conferência	Объем конференции
participante pago antecipado	участник предоплата
documento da conferência	документ Конференции
chamada para participação	призыв к участию
resumo estendido	НЗП
participante passivo da conferência	Пассивный участник конференции
coordenador geral	Генеральный координатор
contribuição escrita	письменный вклад
organizador	Организатор
contribuição aceita	вклад принимаются
participante pago atrasado	участник заплатил поздно
contribuição de artigo completo	вклад полный текст статьи
versão final da contribuição	окончательный вариант вклада
participante registrado	зарегистрированный участник
datas importantes	важные даты
resumo	Резюме
coordenador de trilha de workshop	Тропа координатор семинара
anais da conferência	Труды конференции
site da conferência	Веб-сайт конференции
comitê	Комитет
participante ativo da conferência	Активный участник конференции
chamada de trabalhos	Звонок для бумаг
primeiro autor da contribuição	вклад первого автора
informações aos participantes	Информация для участников
trilha da conferência	Трек конференции
participante de conferência	конец конференции
possui nome	имеет имя
data de submissão de resumo	Дата подачи резюме
número do volume dos anais	Номер тома летописи
data de publicação	Дата публикации
possui primeiro nome	имеет имя
data de entrega da versão final de artigo	Дата сдачи окончательного варианта статьи
o site da conferencia é	сайт конференции
data de início	Дата начала
dia de encerramento	день закрытия
possui um email	имеет электронное
possui sobrenome	особенности фамилия
localização da conferência	место проведения Конференции
data de submissão de artigo completo	Дата представления полный текст статьи
especialidade do revisor	Специальность рецензента
possui sexo	секс
isbn dos anais	ISBN анналы
possui um coordenador geral	имеет общий координатор
pertence a um volume da conferência	принадлежит к Конференции тома
revisa	Отзывы
possui um comitê organizador	имеет организационный комитет
possui autores	особенности авторов
é submetida a	подлежит
possui um tópico ou uma contribuição submetida	есть темы, или представили свой вклад
possui um resumo	имеет резюме
foi um comitê de programa de conferência	Это был программный комитет Конференции
possui uma especialidade de revisão	имеет специальности обзор
possui um comitê	имеется Комитет
possui uma revisão	имеет обзор
é um tópico de partes da conferência	Это тема частей конференции
possui uma editora	имеет издателя
diploma de revisão	диплом обзор
data de anúncio de aceitação	Дата объявления о принятии
possui contribuições	имеет вклад
possui um comitê diretivo	имеет Руководящий комитет
convida co revisores	Co предлагает Отзывы
possui um tópico de trilha para workshop e tutorial	есть тема тропа для мастерской и учебник
possui um co coordenador	есть координатор co
publica	публикует
foi um co coordenador de	Это был координатором co
é parte de volumes da conferência	является частью Конференции томов
foi atribuída uma preferência de revisão	был назначен предпочтения для обзора
foi um comitê de conferência	Это был комитет Конференции
foi um comitê diretivo de conferência	Это был Руководящий комитет Конференции
foi um membro de	был членом
contribui para a canferência	способствует canferência
é ministrada por	дается
possui datas importantes	имеет важные даты
ministra apresentações	Выступления министра
possui um comitê de programa	Программа Комитета
possui tutoriais	особенности учебники
convidado por	приглашен
possui partes	частей
pertence a uma preferência de revisão	принадлежит к предпочтения для обзора
foi um coordenador geral de	был Генеральный координатор
possui uma preferência ou especialidade de revisão	имеет предпочтения или специальности обзор
possui trilhas	К услугам гостей треков
possui membros	имеет членов
possui um coordenador de trilha de workshop e de tutorial	есть трек координатор семинара и учебник
possui uma contribuição submetida	имеет ограниченный вклад
pertence a revisores	принадлежит к Отзывы
possui workshops	особенности семинаров
é a primeira parte de	Это первая часть
