ملخص البحث	搜索摘要
الكاتب المشترك	联合作者
مشرف	管理员
رئيس	主席的
عضو المؤتمر	会员大会
البحث	搜索
وثيقة	文档
الكاتب 	作家
شخص	人
عضو في اللجنة العلمية	科学委员会的成员
رئيس المرتبطة	总统的关联
رئيس اللجنة العلمية	科学委员会主席
مؤتمر	会议
أفضلية	偏好
مراجعة فوقية	瞬间的审查
المراجع	引用
القبول	入场
المراجع الفوقي	元-参考
موضوع المحور	主题轴
الكاتب، الذي ليس المراجع	作者，不是引用
رئيس المؤتمر	会议主席
المستخدم	用户
مزايدة	拍卖
لاشيء	什么都不
الرفض	拒绝
لجنة العلمية	科学委员会
قرار	决议
مراجعة	审查
النسخة الكاملة من البحث	完整版本的研究
المراجع خارجي	外部引用
لديه عنوان	有标题
لديه اسم	有一个名字
لديه التاريخ	历史
لديه موقع على رابط	他有一个网站链接
تقبل نسخة المرسلات	接受抄送职位
العدد الأقصى من الابحاث المسندة	研究割让的最大数目
لديه الشعار في رابط	有标志链接
مراجعة/تعليقات لكل بحث	每个搜索的的审查/评论
لديه معرف	具有 ID
لديه عضو	有的成员
قبوله من قبل	接受
قبوله من قبل 	接受
لديه بريد الكتروني	具有电子邮件
يقبل	接受
إدخال التفاصيل حول	关于输入的详细信息
علامة تضارب المصالح	利益冲突标记
مشترك في الكتابة	共享写作
تمكين الاجتماع الظاهري	启用虚拟会议
يضيف	添加
كتابة البحث	写作的研究
يعيين	集
معايير مراجعة أدخلت من قبل	标准修订的介绍
(... ،تم تقرير (ليكون مقبول، مرفوض	(...是报告 (要接受、 拒绝
أضافته من قبل	通过添加
كتابته من قبل	写的
استكمال احالة البحث	完整的推荐搜索
احالة أدوات البحث مشغل من قبل	推荐搜索引擎工具的
بدء تقديم العطاءات المراجع	开始招标引用
لديه مزايدة	已出价
ارسال البحث	发送搜索
لديه تضارب في المصالح مع احترام	有冲突的利益与尊重
تم تعيين	已设置
رفض من قبل	被拒绝
تفاصيل مدخلة من قبل	输入的详细信息
كاتب مشترك من قبل	联合作者
بدأ تقديم العطاءات المراجع من قبل	通过招投标开始引用
بدأ تقديم العطاءات المراجع من قبل 	通过招投标开始引用
نسخة من البريد الالكتروني للمظاهرات مطبوعة من قبل	打印的示威活动的电子邮件的副本
تحديد مجموعة عدد أقصى من الابحاث المسندة 	选择研究割让设置的最大数目
تحديد مجموعة عدد أقصى من الابحاث المسندة	选择研究割让设置的最大数目
قراءته من قبل مراجع	通过引用读取
تشغيل أدوات احالة البحث	推荐搜索工具
تشغيل أدوات احالة البحث  	推荐搜索工具
قراءته من قبل مراجع الفوقي	读取元引用
المراجعة كتابية	书面的审查
تعيينه من قبل مشرف 	由管理员分配
تعيينه من قبل مشرف	由管理员分配
ضبط	调整
اجتماع الظاهري ممكن من قبل	虚拟会议是可能的
قراءة البحث	阅读的研究
إدخال معايير المراجعة	输入标准审查
تعيين من اجل	设置为
احالة البحث منتهي من قبل	推荐搜索完成
لديه موضوع المحور	话题中心
تعديله من قبل	改性
بحث مرفوض	搜索被拒绝
وقت إنتهاء مراجعة	最后一次修订
مسند من قبل مراجع	通过引用脚凳
طباعة نسخة من البريد الالكتروني للمظاهرات	打印示威活动的电子邮件的副本。
تاريخ مهم	历史是重要
وثيقة المؤتمر	会议文件
معلومات للمشاركين	与会者须知
مساهمة مرفوضة	所作的贡献将被拒绝
إعلان المؤتمر	会议宣言
مساهمة مرسلة	已发送的贡献
الرئيس المشترك	联合主席
منظم	主办单位
عضو  في اللجنة	委员会成员
طلب مقدم للمؤتمر	会议请求
افضلية المراجع	偏好参考
مشارك السلبي في المؤتمر	参加会议
رئيس مسار ورشة العمل	路径车间主任
المنظمة	组织
العرض التقديمي	演示文稿
نسخة جاهزة للتصوير مساهمة	复制准备好摄像头输入
مقدم الطلب مسجل	申请人注册
طلب مقدم للمؤتمر الذين دفعوا رسوم المؤتمر	支付的会议费用会议请求
دعت الحديث	特邀的演讲
الدعوة لتقديم الأبحاث	研究要求
مسار المؤتمر	路径会议
اللجنة التوجيهية	督导委员会
ملخص موسع	扩展的摘要
مساهمة منتظمة	定期的贡献
الناشر	发布者
مساهمة مقبولة	可接受的贡献
المؤتمر	会议
البرنامج التعليمي	教程
رسوم من اجل المؤتمر	会议费用
خبرة المراجع	经验参考
مساهمة للمؤتمر	对会议的贡献
اللجنة المنظمة	组委会
ورشة عمل	讲习班
المؤلف الأول للمساهمة	第一作者作出贡献
اللجنة	委员会
الكاتب المشرك في المساهمة	常见有贡献的作者
المشارك في المؤتمر	参加会议
اللجنة العلمية	科学委员会
الملخص	TS
طلب مقدم للمؤتمر الذي دفع مؤخرا رسوم المؤتمر	要求国会，最近支付会议费用
مساهمة خطية	书面的贡献
