ملخص البحث	Поиск резюме
الكاتب المشترك	Соавтор
مشرف	Администратор
رئيس	Президент
عضو المؤتمر	Члены Конференции
البحث	Поиск
وثيقة	Документ
الكاتب 	Писатель 
شخص	Люди
عضو في اللجنة العلمية	Член научного комитета
رئيس المرتبطة	Президент связанные
رئيس اللجنة العلمية	Председатель научного комитета
مؤتمر	Конференция
أفضلية	Предпочтения
مراجعة فوقية	Мгновенный обзор
المراجع	Ссылки
القبول	Прием
المراجع الفوقي	Мета ссылки
موضوع المحور	Тема оси
الكاتب، الذي ليس المراجع	Автор, который не ссылается на
رئيس المؤتمر	Председатель Конференции
المستخدم	Пользователь
مزايدة	Аукцион
لاشيء	Ничего не
الرفض	Отказ
لجنة العلمية	Научный комитет
قرار	Резолюция
مراجعة	Обзор
النسخة الكاملة من البحث	Полная версия исследования
المراجع خارجي	Внешние ссылки
لديه عنوان	Имеет титул
لديه اسم	Имя
لديه التاريخ	История
لديه موقع على رابط	Он имеет ссылку веб-сайт
تقبل نسخة المرسلات	Принимать сообщения CC
العدد الأقصى من الابحاث المسندة	Максимальное количество исследований цессии
لديه الشعار في رابط	Есть ссылка в логотипе
مراجعة/تعليقات لكل بحث	Обзор/Комментарии для каждого поиска
لديه معرف	Содержит идентификатор
لديه عضو	Член
قبوله من قبل	Принято
قبوله من قبل 	Принято 
لديه بريد الكتروني	Обладает электронной почты
يقبل	Принимает
إدخال التفاصيل حول	Введите информацию о
علامة تضارب المصالح	Конфликт интересов тег
مشترك في الكتابة	Общая запись
تمكين الاجتماع الظاهري	Разрешить виртуальные встречи
يضيف	Добавляет
كتابة البحث	Написание исследования
يعيين	Наборы
معايير مراجعة أدخلت من قبل	Пересмотр стандартов, представленный
(... ،تم تقرير (ليكون مقبول، مرفوض	(... Был доклад (принято, отклонено
أضافته من قبل	Добавил(а)
كتابته من قبل	Автор
استكمال احالة البحث	Поиск полный направления
احالة أدوات البحث مشغل من قبل	Направление поиска двигатель инструменты
بدء تقديم العطاءات المراجع	Начало торгов ссылки
لديه مزايدة	Ставку
ارسال البحث	Отправить Поиск
لديه تضارب في المصالح مع احترام	Имеется конфликт интересов с уважением
تم تعيين	Был задан
رفض من قبل	Отклонено
تفاصيل مدخلة من قبل	Сведения, введенные
كاتب مشترك من قبل	Соавтор
بدأ تقديم العطاءات المراجع من قبل	Начала торгов ссылки
بدأ تقديم العطاءات المراجع من قبل 	Начала торгов ссылки 
نسخة من البريد الالكتروني للمظاهرات مطبوعة من قبل	Копию письма, напечатанных в демонстрации
تحديد مجموعة عدد أقصى من الابحاث المسندة 	Выберите установить максимальное количество исследований цессии 
تحديد مجموعة عدد أقصى من الابحاث المسندة	Выберите установить максимальное количество исследований цессии
قراءته من قبل مراجع	Читать ссылками
تشغيل أدوات احالة البحث	Направление поиска инструментов
تشغيل أدوات احالة البحث  	Направление поиска инструментов  
قراءته من قبل مراجع الفوقي	Прочитаны мета ссылки
المراجعة كتابية	Письменный обзор
تعيينه من قبل مشرف 	Назначенные администратором 
تعيينه من قبل مشرف	Назначенные администратором
ضبط	Отрегулируйте
اجتماع الظاهري ممكن من قبل	Виртуальные совещания возможна
قراءة البحث	Читал исследования
إدخال معايير المراجعة	Введите критерии обзора
تعيين من اجل	Набор для
احالة البحث منتهي من قبل	Направление поиска завершилось
لديه موضوع المحور	Есть тема хаб
تعديله من قبل	Изменено
بحث مرفوض	Поиск запрещен
وقت إنتهاء مراجعة	Время окончания пересмотра
مسند من قبل مراجع	Подножка ссылками
طباعة نسخة من البريد الالكتروني للمظاهرات	Распечатать копию электронной почты для демонстрации
تاريخ مهم	История важна
وثيقة المؤتمر	Документ Конференции
معلومات للمشاركين	Информация для участников
مساهمة مرفوضة	Вклад будет отклонена
إعلان المؤتمر	Декларация Конференции
مساهمة مرسلة	Послал вклад
الرئيس المشترك	Председатель совместных
منظم	Организатор
عضو  في اللجنة	Член Комиссии
طلب مقدم للمؤتمر	Запрос на Конференции
افضلية المراجع	Предпочтение ссылки
مشارك السلبي في المؤتمر	Участники Конференции
رئيس مسار ورشة العمل	Руководитель мастерской путь
المنظمة	Организации
العرض التقديمي	Презентация
نسخة جاهزة للتصوير مساهمة	Вход для копирования готовые камеры
مقدم الطلب مسجل	Заявитель зарегистрирован
طلب مقدم للمؤتمر الذين دفعوا رسوم المؤتمر	Запрос на оплату платных Конференции Конференция
دعت الحديث	Приглашенные разговор
الدعوة لتقديم الأبحاث	Вызов для исследований
مسار المؤتمر	Путь к Конференции
اللجنة التوجيهية	Руководящий комитет
ملخص موسع	Расширенное резюме
مساهمة منتظمة	Регулярные взносы
الناشر	Издатель
مساهمة مقبولة	Приемлемые вклад
المؤتمر	Конференция
البرنامج التعليمي	Учебник
رسوم من اجل المؤتمر	Сборы для Конференции
خبرة المراجع	Опыт ссылки
مساهمة للمؤتمر	Вклад в конференцию
اللجنة المنظمة	Организационный Комитет
ورشة عمل	Мастерская
المؤلف الأول للمساهمة	Первый автор вносить
اللجنة	Комитет
الكاتب المشرك في المساهمة	Общий вклад писатель
المشارك في المؤتمر	Участие в Конференции
اللجنة العلمية	Научный комитет
الملخص	TS
طلب مقدم للمؤتمر الذي دفع مؤخرا رسوم المؤتمر	Запрос на конгресс, который недавно пошлины конференции
مساهمة خطية	Письменный вклад
مساهمة مراجعة	Вклад аудита
