onderwerp	Тема
coauteur	соавтор
programmacommissie	Программный комитет
conferentielid	conferentielid
document	документ
metarecensent	критик мета
bod	ставка
medevoorzitter	Сопредседатель
persoon	человек
recentie	Обзор
beheerder	Администратор
externe recencent	внешний рецензент Амазонки
synopsis	Краткий обзор
conferentievoorzitter	Председатель Конференции
beslissing	решение
voorzitter programmacommissie	Председатель Комитета по программе
gebruiker	пользователь
acceptatie	признание
recensent	Рецензент
auteur	Автор
voorzitter	Президент
auteur niet-recensent	Автор не рецензент
artikel	Статьи
volledig artikel	полный текст статьи
conferentie	Конференция
afwijzing	отказ
programmacommissie lid	Член Комитета программы
voorkeur	предпочтения
metarecentie	metarecentie
paper id	id бумаги
datum	Дата
gebruik artikel toewijzings tool	Используйте инструмент Выделение элемента
heeft coauteur	является соавтором
heeft auteur	имеет автора
hardcopy verstuurbewijs afgedrukt door	печатный отправить свидетельства напечатаны
maak toewijzing artikel af	Создайте элемент распределения
toegewezen door recencent	присвоенный Амазонки рецензента
recentie bieden begonnen door	Обзор предложение, заполняя
heeft belangenverstrengeling	есть конфликты интересов
website url	URL-адрес веб-сайта
accepteerd hardcopy submissies	принимает печатных материалов
email	Отправить по электронной почте
titel	Название
logo url	логотип URL-адрес
naam	имя
maximum aantal artikelen	Максимальное количество статей
recenties per artikel	Отзывы за единицу
aangepast door	изменена
is toegekend	награжден
lid van conferentie	Член Конференции
schrijf recentie	написать обзор
details ingevuld door	детали дополнена
toekenning artikel tool gebruikt door	Премия статья инструмент используется
eindrecentie	eindrecentie
wijs artikel af	пункт статьи
markeer belangenverstrengeling	выделить конфликты интересов
voeg programmacommissie lid toe	Добавление члена Комитета программы
heeft conferentielid	имеет conferentielid
gelezen door reviewer	читать рецензента
wijs externe recencent toe	Амазонки рецензента, чтобы указать внешний
lid van programmacommissie	Член Комитета по программе
laat virtuele vergadering toe	Пусть виртуальные совещания
stel maximaal aantal artikelen in	задать максимальное число элементов в
artikel gelezen	читать статью
toegewezen aan	назначен
geschreven door	Автор
schrijf artikel	написать статью
