meta revisión	目标审查
comité de programa	程序委员会
puja	出价
miembro del comité de programa	程序委员会成员
usuario	用户
conferencia	会议
administrador	管理员
meta revisor	Meta 审阅者
miembro de la conferencia	该会议的成员
área temática	专题区
artículo	第条
presidente del comité de programa	程序委员会主席
resumen del artículo	文章的摘要
presidente	主席
aceptar	还行
vice presidente	副总裁
preferencia	偏好
presidente de la conferencia	会议主席
autor	作者
coautor	合著者
decisión	决定
documento	文档
versión completa del artículo	这篇文章的完整版
revisor	审阅者
rechazar	拒绝
autor, no revisor	作者，没有审阅者
revisión	审查
revisor externo	外部审查员
persona	人
asigna revisor externo	分配外部审查员
es miembro del comité de programa	是委员会成员
permite reunión virtual	允许虚拟会议
envía el artículo	发送项目
inicia la puja de los artículos	开始投标的文章
asignado por el revisor	分配的审阅者
introduce criterios de revisión	进入审查标准
los criterios de revisión han sido introducidos por	通过介绍了审查标准
la puja de los revisores ha sido iniciada por	从审阅者出价已经初始化
detalles introducidos por	输入的详细信息
asigna un número máximo de artículos a	分配给项目的最大数目
rechazado por	被拒绝
redacta el artículo	写篇文章
redacta la revisión	写检讨
asignado por el administrador	由管理员分配
es miembro de la conferencia	是该会议的成员
modificada por	由修改
asignar revisor	分配审阅者
añadido por	通过添加
asignado a	分配给
tiene miembro de la conferencia	有成员会议
tiene área temática	有主题区域
gestiona las herramientas para la asignación de artículos	它管理的工具，以便分配的项目
la asignación de artículos ha sido finalizada por	已完成分配的文章
tiene autor	有作者
finaliza la asignación de artículos	结束项目的分配
tiene puja	已出价
leído por el meta revisor	阅读由审阅者元
tiene decisión	决定了
reunión virtual mediante	使用虚拟会议
lee el artículo	读这篇文章
las copias en papel de los manifiestos de envío han sido impresas por	航运舱单纸张副本已打印的
rechaza el artículo	拒绝文章
tiene coautor	合著了
modifica la puja	修改出价
las herramientas para la asignación de artículos han sido gestionadas por	有一直由管理的项目分配的工具
es coautor de un artículo	是的一篇文章的作者
url del logotipo	URL 的徽标
acepta entregas en papel	接受交付在纸上
url de la página web	Web 页的 URL
título	标题
ha sido asignado a	它已分配给
escrito por	写的
ha señalado conflicto de intereses	注意到的利益冲突
tiene miembro del comité de programa	有的程序委员会成员
tiene conflicto de intereses	有冲突的利益
añade miembro de comité de programa	添加的程序委员会委员
aceptado por	接受的
copia en papel de los manifiestos de envío	从航运舱单拷贝纸
acepta el artículo	接受第条
finaliza revisión	结束审阅
introduce detalles de la conferencia	输入会议详细的信息
leído por el revisor	由作者读
nombre	名称
correo electrónico	电子邮件
número máximo de artículos	最大项目数
fecha	日期
identificador del artículo	项目标识符
revisiones por artículo	每篇文章的修改
solicitud de envío de artículos	提交的请求
contribución por escrito	在写作中的贡献
persona que envía una contribución a la conferencia	发送到会议作出贡献的人
actas de la conferencia	会议程序
vicepresidente	副总裁
contribución regular	定期的贡献
coautor de la contribución	合作作者的贡献
presentación	演示文稿
información para los participantes	参与者的信息
comité	委员会
contribución enviada	提交的贡献
primer autor de la contribución	第一作者的贡献
participante de la conferencia	会议的参与者
fechas importantes	重要日期
comité directivo	督导委员会
