документ	文档
конференция	会议
председатель	主席
предпочтение	偏好
автор	作者
полная версия статьи	完整版本的文章
член конференции	该会议的成员
принятие	通过
мета-рецензент	元-审阅者
член программного коммитета	作为程序委员会成员
решение	解决方案
внешний рецензент	外部审查员
отклонение	偏差
пользователь	用户
лицо	人
аннотация статьи	抽象的文章
статья	第条
тематическая область	专题区
администратор	管理员
мета-рецензия	元-书评
ставка	率
соавтор	合著者
председатель программного коммитета	程序委员会主席
председатель конференции	会议主席
автор не являющийся рецензентом	作者不是审阅者
программный коммитет	程序委员会
рецензент	审阅者
рецензия	书评
заместитель председателя	副主席
внести критерии рецензирования	审查标准
подать статью	提交一篇文章
назначает рецензента	任命审阅者
прочитано рецензентом	阅读审阅者
кем разершёна виртуальная встреча	通过 razeršëna 的虚拟会议
прочитано мета-рецензентом	读元-审阅者
кем отклонено	谁拒绝了
кем изменена	谁改变了
printhardcopymailingmanifests	printhardcopymailingmanifests
кем начато размещение ставок рецензента	谁开始放置的赌注审阅者
закончил рецензию	完成的审查
интернет-адрес сайта	Web 站点的互联网地址
адрес электронной почты	电子邮件地址
максимум статей	最大文章
идентификатор статьи	文章 ID
заголовок	标题
интернет-адрес логотипа	互联网地址的标志
имя	名称
рецензенты статьи	这篇文章的审阅者
число	数目
принимает печатные заявки	接受打印请求
кем написано	通过写
кем принято	任何人采取
внести детали конференции	要使会议的详细信息
изменяет ставку	变化率
отметить конфликт интересов	注意到的利益冲突
назначена кому	分配给
читает статью	阅读文章
кем запущена программа назначения статей	谁运行程序的目的地的文章
кем добавлено	通过添加日期
назначен рецензентом	审阅者任命
назначен администратором	由管理员任命
разрешить виртуальную встречу	允许虚拟会议
назначает внешнего рецензента	任命外部的审阅者
принимает статью	公认的文章
закончить назначение статей	完成这项任务的文章
кем внесены детали	谁做的细节
пишет статью	写一篇文章
кем закончено назначение статей	谁完成分配的文章了
установить максимум статей	设置最大文章
написать статью в соавторстве	写一篇与他人合著的文章
добавляет члена программного коммитета	添加一个成员的程序委员会
назначена	任命
конфликт интересов	利益冲突
кем введены критерии рецензирования	入职的审查标准
hardcopymailingmanifestsprintedby	hardcopymailingmanifestsprintedby
начало размещения ставок рецензента	开始投注审阅者
отклоняет статью	拒绝条
пишет рецензию	写检讨
сборы конференции	会议费
участник конференции	会议的参与者
приглашение к участию	参与的邀请
информация для участников	参与者的信息
досрочно оплативший участник	早期购买方
часть конференции	会议的一部分
организационная комиссия	组织的董事会
активный участник конференции	会议的一个积极的参与者
член комиссии	委员会的成员
научный совет	科学理事会
сборник трудов конференции	会议论文集
приглашённый доклад	客人报告
организация	组织
поданый труд	podanyj 工作
выпуск конференции	发布会
развёрнутая аннотация	扩大的抽象
тема	主题
секция	节
комиссия	委员会
издатель	发布者
интернет адрес конференции	互联网地址的会议
принятый труд	工作的
пассивный участник конференции	会议的被动参与者
требования к рецензии	对进行审查的要求
отрецензированнй труд	otrecenzirovannj 工作
информационное письмо	信息的信
стенд	展位
заявитель конференции	申请人会议
председатель секции, семинара	头节的研讨会
отклонённый труд	拒绝的劳工
объявление конференции	会议的公告
обучающий курс	培训课程
соавтор работы	合著者的工作
документ конференции	会议文件
приглашённый докладчик	演讲嘉宾
семинар	研讨会
организатор	主办单位
важные даты	重要日期
компетентность рецензии	专家点评
труд конференции	劳工大会
аннотация	摘要
сопредседатель	联席主席
презентация	演示文稿
письменный труд	书面的工作
1й автор работы	工作的第一作者
полный труд	完成工作
труд в окончательной версии	在最终版本中工作
лицо внесшее вклад в конференцию	该标记对会议的贡献的人
оплативший участник	购买方
поздно оплативший участник	晚了购买方
зарегистрированный участник	注册的会员
труды	特鲁迪
является частью выпусков конференции	是问题 (s) 的一部分
принадлежит рецензентам	审阅者所拥有
части	一部分
являлся председателем секции, семинара	担任主席的这次研讨会的一节
являлся научным советом	科学理事会
авторы	作者
семинары	研讨会
указано в требованиях к рецензии	在点评的要求中指定
кем выполнена	谁执行了
являлся членом	他是的成员
рекоммендация рецензирования или компетентность	rekommendaciâ 审查或能力
рецензирует	批评
члены	成员
является темой частей конференции	是的主题部分会议吗
являлся комиссией	是委员会
кем приглашён	谁邀请
председатель секции, семинара, обучающегокурса	节、 研讨会、 obučaûŝegokursa 的头
вносит вклад	贡献
рекоммендация рецензирования	rekommendaciâ 审查
указано в выпуске конференции	表示在释放会议
является 1й частью	是的第 1 部分
подан в	在提起
тема секции, семинара, обучающего курса	节主题研讨会、 培训课程
обучающие курсы	培训课程
издаёт	出版
заместитель председателя комиссии	委员会副主席
являлся председателем комиссии	担任委员会主席
являлся организационным комитетом	是组织委员会
делает презентацию	制作演示文稿
секции	节
приглашает ко-рецензентов	请你给审阅者
председатель комиссии	委员会主席
являлся сопредседателем комиссии	他是委员会联席主席
дата подачи аннотации	摘要提交的日期
дата начала	开始日期
пол	Paul
дата окончания	结束日期
название	名称
дата издания	发行日期
дата подачи окончательной версии статьи	这篇文章的最终版本提交日期
выпуск	问题
компетентность	能力
isbn	国际标准书号
место проведения	地点
степень	程度
интернет-адрес	互联网地址的
организационный комитет	组织委员会
являлся программным комитетом	他是程序委员会
тема или поданный труд	主题或归档的工作
дата подачи полной статьи	日期的呈现完整的文章
дата объявления о приняти	在为自己的公告的日期
фамилия	最后的名字
тезисы статьи	摘要的文章
этап регистрации участников	阶段的与会者登记
страна	国家
член программного комитета	程序委员会成员
город	城市
этап результатов рецензирования	阶段结果审查
научный работник	原子吸收光谱法
этап подачи заявки	阶段归档
административный этап	行政阶段
полная	全
учащийся	学生
труд	工作
член	成员
экскурсия	游览
ассистент	助理
этап	阶段
этап рецензирования	阶段审查
участник	党
этап рабочей программы	阶段的工作方案
председатель программного комитета	程序委员会主席
этап подготовки окончательной версии	最终版本的制备
банкет	宴会
встреча	会议
тематиka	tematika
студент	学生
образовательное учреждение	教育机构
культурный этап	文化阶段
компания	公司
волонтёр	志愿者
написана	写的
место работы	工作的地方
следует	它应该是
параллельно с	与并行
максимальный выбор	最大的选择
сокращённое название	短名称
окончание	结束
досрочная регистрация	早期注册
телефон	电话
домашняя страница	主页
обучается в	他在研究了
содержит административный этап	包含行政阶段
адресует	地址
пишет	写道：
компетентен в	在主管
содержит ключевые слова	中包含的关键字
почтовый индекс	邮政编码
ндс	增值税
факс	传真
улица	街
начало	开始
контактный адрес электронной почты	联系人电子邮件地址
минимальный выбор	最小射程
замечание	发表评论
выбор по умолчанию	默认选择
контактная информация	联系信息
опубликованная статья	已发布的文章
тема медицина	为主题的医学
негосударственная организация	非政府组织
тема операционные системы	为主题的操作系统
грант на поездку	旅费资助
численный рецензионный вопрос	数值评价的问题
тема радио связь	无线电通讯的主题
тема беспроводная связь	无线通讯的主题
тема оптические компьютерные сети	光网络的主题
тема коммутация компьютерных сетей	主题切换计算机网络
место	地方
академический этап	学术阶段
тема коммуникации	交际的主题
тема сенсорные компьютерные сети	为主题的触摸式电脑网络
местонахождение комнаты для собрания	会议室的位置
информационнное письмо	informacionnnoe 信
заключительное слово	最后一句话
тема безопасность	为主题的安全
член tpc	Tpc 的成员
свободный перерыв	免费休息
академическая организация	学术组织
оценка принять	分数
статья ожидающая решения	第条作出决定之前
тема параллельные и распределённые вычисления	为主题的并行与分布式计算
неакадемчический этап	neakademčičeskij 阶段
тема теория коммуникаций	为主题的通信理论
производственная организация	生产组织
тема криптография	密码学的主题
государственная организация	国家组织
рецензионный вопрос	审查的问题
этап перерыв	阶段突破
слайды	幻灯片
приглашение	邀请
оцененные статьи	额定的文章
этап питания	在功率级
докладчик	报告员
тема измерения в компьютерных сетях	在计算机网络中测量的话题
персональная история	个人史
меню	菜单
активная статья	活动的文章
тема передача по линиям электропередач	电力线传输主题
бланк рецензирования	审查形式
тема архитектура компьютера	为主题的计算机体系结构
тема просто тест	主题只是一个测试
программа	程序
светский раут	溃败
конференц-ужин	大会晚宴
вступительное слово	一个介绍性的词
тема спутниковая и космическая связь	为主题的卫星和空间通信
тема управление компьютерными сетями	你读过这一专题管理计算机网络
оценка принять при условии	学科的分数
тема безопасность компьютерных сетей	计算机网络安全的主题
тема производительность	为主题的性能
отклонённая статья	被丢弃的文章
тема приложени компьютерных сетей	为主题的计算机网络的应用
двухуровневая конференция	两级会议
тема обработка сигналов	为主题的信号的处理
приглашение к публикации манускриптов	发布稿件的邀请
темаcad	temacad
персональная история статьи	个人历史的文章
персональная история рецензирования	个人历史的同侪审查
перерыв на питание	休息的食物
отозванная статья	撤回的条
тема промышленные компьютерные сети	为主题的工业计算机网络
место проживания	居住地
организационное собрание	会议表示欢迎
место проведения обеда	晚餐的位置
оценка отклонить	评价的拒绝
тема компьютерные сети	为主题的计算机网络
этап докладывания	第一阶段完美的报告
приглашение принять участие в рецензировании	参与评审的邀请
доклад по статье	本报告第条
тема мобильные вычисления	移动计算技术的主题
место проведения конференции	会议的地点
тема мультимедиа	多媒体的话题
секция конференции	节会议
принятая статья	通过了第条
председатель секции	科科长
спонсорство	赞助
одноуровневая конференция	一层会议
оценка рецензирования	成绩复查
тема микроэлектроника	为主题的微电子
перерыв на кофе	喝杯咖啡休息
этап конференции	会议的阶段
тема антенны	主题下载
текстовый вопрос рецензирования	文本问题根据审查
инициируется	启动
кем предоставлена	其中给出了
дата и время начала	开始日期和时间
история рецензирования	历史回顾
инициирует	同修
относится к этапу	指的是的阶段
относится к	指的是
отностится к статье	享受文章
является местом проведения	是该网站的
связанная статья	相关的文章
регистрация до	注册到
статья до	文章对
последняя дата подачи заявки	申请截止日期为
дата и время окончания	结束日期和时间
манускрипт до	手稿交给
валюта	货币
сумма	量
правила подачи заявки	应用规则
биография	传记
посетитель	位访客
принадлежит этапу	属于阶段
для этапа	阶段
кем написана	写的是什么
кем рецензируется	谁被
связанный документ	将链接的文档
предоставляет	提供
объявление	广告
оценка	得分
член агенства	成员机构
конференц-банкет	会议宴会
досрочно зарегистрированный участник	早期注册的参与者
академический институт	学术研究所
производственная секция	生产组
автор статьи	文章的作者
обработанная статья	处理后的文章
веб-сайт	Web 站点
рекламный листок	传单
председатель оргкомитета	组织委员会主席
потенциальный рецензент	潜在的审阅者
организационнное агенство	organizacionnnoe 机构
аннотация к обучающему курсу	抽象的培训课程
закреплённая статья	哪一篇文章
университет	大学
полная статья	完整的文章
член оргкомитета	组委会成员
производственная статья	制造篇文章
сборник трудов	诉讼程序
член научного совета	科学理事会的成员
секция демонстраций	节示威
статья в окончательной версии	在最终版本中的文章
светское мероприятие	一个世俗的事件
секция семинаров	节讲习班
издатель сборника трудов	出版商书作品
программный буклет	方案的小册子
секция стендов	看台一节
научно-исследовательский институт	科学研究所
доклад	报告
аннотация к приглашённому докладу	priglašënnomu 报告摘要
статья конференции	文章会议
поданая статья	第 podanaâ 条
председатель демонстраций	主席的示威游行
научное мероприятие	科学事件
председатель семинаров	研讨会主席
индивидуальная презентация	私人演示文稿
научная тема	科学主题
статья на семинаре	在研讨会的文章
нейтральная рецензия	中立的审查
мероприятие	事件
экскурсия конференции	旅游会议
стендовая статья	海报节
часть	部分
выпуск с несколькими составителями	发出多个作家
секция полных статей	整篇文章的一节
положительная рецензия	积极检讨
поздно зарегистрированный участник	晚注册的会员
председатель обучающих курсов	主席的培训课程
отрицательная рецензия	负面评论
демонстрационная статья	演示条
статья в выпуске	在这一问题的文章
кем организован	世卫组织组织了
обновлённая версия	更新后的版本
мероприятие в списке	列表中的事件
содержит ссылку в	包含的引用
организует	组织
научно организовывает	科学和组织
инверсия часть 7	反转第 7 部分
мероприятние	meropriâtnie
презентация статьи	演示文稿的文章
кем научно организовано	什么科学有序
выпуск содержит статью	刊载一篇文章
рецензия на статью	本书评论文章
технически организовано	从技术上讲举办
часть мероприятия	事件的一部分
список мероприятий	事件列表
адресует тему	主题
ссылается	引用
рецензия написана	审查所写
технически организовывает	从技术上讲组织
статья представленная как	作为提交的文章
рецензент статьи	审阅者的文章
деньги	钱
краткое вступление председателя секции	简要介绍了部分的
форма	窗体
регистрационный взнос	注册费
здание	建筑
гостиничный номер	酒店房间
взнос	贡献
технический комитет	技术委员会
прокат	出租
город спонсора	市赞助商
регистрационный взнос автор, участник, книга	注册费、 图书作者、 贡献者
моделирование	建模
микроавтобус	小巴
чаевые	小贴士
доклад докладчика	报告员的报告
получение манускрипта	收到手稿
налого на добавленную стоимость	附加价值税
член iasted	协会成员
список рассылки	邮件列表
пригласительное письмо	邀请信
транспортное средство	车辆
представление докладчика	演示者视图
даты конференции	会议日期
ресторан конференции	餐厅会议
последний срок подачи	应用程序提交的截止日期
один день докладчик	一天他
докладчик пленарного доклада	全体会议上的报告，报告员
прозрачность	透明度
принятие манускрипта	接受的手稿
студент-не докладчик	学生不是报告员
университет докладчика	大学的报告员
дом  спонсорской компании	房子赞助商公司
отправление	管理
спонсор	赞助商
пленарный доклад	全体会议上的报告
книга сборника трудов	本书收集的作品
техническое мероприятие	技术事件
отклонение манускрипта	被拒绝的手稿
автор, книга сборника трудов включены	作者，这本书是作品纳入汇编
докладчик обучающего курса	报告员的培训课程
чек	检查
пригородный автобус	郊区公交车
налог на отправление	税务管理
презентация powerpoint	powerpoint 演示文稿
видео презентация	视频演示文稿
потолочный проектор	天花板投影机
welcome address	欢迎地址
не членский регистрационный взнос	无需会员费
дом докладчика	众议院议长
город докладчика	市记者
работник-не докладчик	雇员不是报告员
информационная форма об авторе	关于作者的信息请求表单
не доскладчик	不 doskladčik
страна докладчика	国别报告员
главный оффис	主要办事处
последний срок окончательной версии манускрипта	截止日期为最后版本的手稿的
первоначальный манускрипт	原始手稿
часовой пояс	时区
светская программа	世俗的程序
автор, диск сборника трудов включёны	作者，作品所包含光盘
аудиовизуальное оборудование	视听设备
публикация	出版物
податель в гостинице	在酒店的送礼者
не член iasted	不是协会的成员
карта	地图
conference hiker	会议的徒步旅行者
житкокристаллический проектор	Žitkokristalličeskij 投影仪
делегат	委托
окончательный манускрипт	最后的手稿
cтрана спонсора	国家赞助商
последний срок бронирования гостиницы	酒店预订截止日期
дневной тур	下午游
банковский перевод	银行转帐
подача	饲料
диск сборника трудов	裁谈会汇编的作品
налог	税收
одноместный гостиничный номер	酒店单人间
мероприятие после конференции	在会议后的事件
автомобиль	汽车
коктейль-вечеринка	鸡尾酒会
мероприятие конференции	事件会议
город конференции	城市会议
регистрационный взнос aвтор, участник	作者注册费、 参展商
ужин-банкет	晚餐宴会
сертификат участия	证书的参与
кредитная карта	信用卡
гостиничный регистрационный бланк	酒店注册表单
kонференц-зал	会议室
вступление	条目
гостиница конференции	酒店会议
страна конференции	国家会议
не авторский регистрационный взнос	没有作者注册费
проигрыватель видео кассет	盒式磁带的视频播放器
последний срок регистрации	报名截止日期
город экскурсии	城市观光游
один день конференции	一天的会议
такси	出租车
виза	签证
день экскурсии	天的游览
студенческий регистрационный взнос	学生注册费
гостиничный взнос	酒店费用
компьютер	计算机
симуляция	仿真
взнос за дополнительную поездку	额外的旅行的费用
регистрационный бланк	注册表单
комната секции	卫生间隔断
работник-докладчик	工人报告员
членский регистрационный взнос	会员注册费
предмет	视图
здание конференции	建筑会议
время	时间
регистрация	注册
последний срок	截止日期为
исследование	研究
последний срок уведомления о принятии	接受的通知的截止日期
документ об оплате	付款证明
двуспальный гостиничный номер	酒店大床房
аэропорт конференции	机场会议
студент-докладчик	学生记者
мероприятие до конференции	事件-会议
слушатель	侦听器
кем посылается	谁是送
занимает	需要
связан с	与关联
используется	使用
до	达
запланировано на	预定
кем подписывается	谁赞成
присутствует во время	目前在期间
получает	获取
производится из	从生产
происходить после	发生后
посылает	发送
кем оплачивается	谁是付
чем оплачивается	比付
кем пишется	写的是什么
оборудован	功能
оплачивает	用者自付
кем посещается	谁被参观
требуется для	是必需的
используется для	用来
даёт	给出了
кем используется	谁在使用
готовит	准备
кем готовится	谁来准备
находится в	是在
кем представлен	提出了一种由
докладывает в	报告中
где оплачивается	凡应付帐款
кому представлен	谁提交了
чем занимается	什么呢
происходить до	发生之前
за что оплачивается	什么是支付
посылается после	发送后
пристутствует в	在 pristutstvuet
разработан для	为设计
происходит в	发生在
посылается до	发送到
подписывает	迹象
требует	要求
программный комитет	程序委员会
вебмастер	网站管理员
регистрация sigkdd членов	旗舰会员注册
конференц-зал	会议大厅
награда	奖
платиновый спонсор	白金赞助商
комитет по наградам за лучшую статью	最佳文章奖委员会
бронзовый спонсор	铜牌赞助商
регистация студентов	学生注册
награда за лучшую научную статью	最佳论文奖
член организационного комитета	组委会成员
регистрация sigmod членов	数据成员注册
регистрация не членов	成员的登记
последний срок подачи статей	文章提交截止日期
acm sigkdd	acm
последний срок уведомления авторов	截止日期为作者的通知的
награда за лучшую прикладную статью	奖最佳应用文章
автор статьи студент	学生文章的作者
последний срок подачи аннотаций	摘要提交截止日期
спонсорский взнос	赞助费
спонсор награды за лучшую студенческую статью	赞助最佳学生论文奖
золотой спонсор	黄金赞助商
серебрянный спонсор	银牌赞助商
программный председатель	程序的椅子
комитет	委员会
гостиница	酒店
экспонент	参展商
награда за лучшую студенческую статью	最佳学生论文奖
национальность	国籍的
цена	价格：
отправить до	发送到
оплачивается	支付
начало конференции	会议开始
кем разработан	谁设计
название конференции	会议标题
окончание конференции	会议结束
имя спонсора	赞助商的名称
поиск	搜索
отправить	发送
кем найден	任何人发现
уведомляет до	应将通知
кем награждён	谁授予
поддерживается	支持
платит	用者自付
может остановиться в	可以留在
поддерживает	支持
презентуется	提出了
дизайн	设计
hiker	徒步旅行者
