person	persoon
meta review	Meta-overzicht
full version of paper	volledige versie van papier
abstract of paper	samenvatting van papier
adminstrator	adminstrator
subject area	Onderwerpsgebied
external reviewer	externe revisor
review	beoordeling
rejection	afwijzing
meta reviewer	Meta revisor
decision	besluit
document	document
conference chair	conferentiestoel
co author	co auteur
preference	voorkeur
associated chair	bijbehorende stoel
member of program committee	lid van het programma Comité
reviewer	revisor
conference	Conferentie
chairman	Voorzitter
paper	papier
author who is not a reviewer	Auteur die niet een revisor is
author	Auteur
program committee	programma Comité
chair of program committee	stoel van programma Comité
acceptance	aanvaarding
bid	bod
member of conference	lid van de conferentie
user	gebruiker
has title	titel heeft
reviews per paper	Beoordelingen per papier
details entered by	ingebracht door Details
hardcopy of mailing manifests printed by	hardcopy van mailing manifesten gedrukt door
read paper	lezen van papier
written by	geschreven door
set maximal number of assigned paper	maximale aantal toegewezen papier instellen
submit paper	document voorleggen
read by meta reviewer	gelezen door meta revisor
has member	lid heeft
has name	naam
has website at url	heeft website op url
has date	datum
maximal number of assigned papers	maximale aantal toegewezen papers
accepts hardcopy submissions	accepteert hardcopy inzendingen
has id	id heeft
has logo at url	heeft logo op url
has email	heeft e-mail
review criteria entered by	ingebracht door criteria herzien
mark conflict of interest	Mark belangenconflict
accepts	accepteert
assigned by reviewer	toegewezen door de revisor
start reviewer bidding	Start revisor bieden
add	toevoegen
has bid	heeft geboden
assign	toewijzen
rejected by	verworpen door
co written by	geschreven door co
virtual meeting enabled by	virtuele vergadering ingeschakeld door
co write	Co schrijven
added by	toegevoegd door
has subject area	heeft onderwerpsgebied
paper assignment finalized by	papier toewijzing door gebeëindigd
adjust	aanpassen
assigned by admin	toegewezen door admin
end reviewing time	Redigeren eindtijd
enter review criteria	beoordeling criteria invoeren
reject paper	verwerpen papier
read by reviewer	gelezen door de revisor
has been assigned	is toegekend
write paper	papier schrijven
reviewer bidding started by	revisor bieden gestart door
run paper asignmedt tools	papier asignmedt hulpprogramma's uitvoeren
accepted by	aanvaard door
has conflict of interest with respect to	belangenconflict met betrekking tot heeft
assigned to	toegewezen aan
enable virtual meeting	virtuele vergadering inschakelen
enter details on	Geef details op
has been decided (to be accepted rejected )	is vastgesteld (om te worden goedgekeurd afgewezen)
print hardcopy mailing manifests	hardcopy mailing manifesten afdrukken
write review	Schrijf review
paper assignment tools run by	papier toewijzing's uitgevoerd door
finalize paper assignment	finaliseren papier toewijzing
adjusted by	aangepast door
co chair	co-voorzitter
conference announcement	Conferentie aankondiging
applicant for conference	aanvrager voor conferentie
submitted contribution	ingezonden bijdrage
conference contribution	Conferentie-bijdrage
organizer	organisator
proceedings of conference	werkzaamheden van de conferentie
track of conference	spoor van conferentie
rejected contribution	geweigerde bijdrage
invited talk	uitgenodigde talk
first author of contribution	eerste auteur van bijdrage
important date	belangrijke datum
preference of reviewer	voorkeur van revisor
organizing committee	organisatiecomité
call for paper	oproep voor papier
web of conference	Web van conferentie
organization	organisatie
written contribution	schriftelijke bijdrage
reviewed contribution	herziene bijdrage
applicant for conference who lately paid conference fee	kandidaat voor de conferentie die de laatste tijd betaald conferentie
part of conference	deel van de conferentie
passive participant of conference	passieve deelnemer van conferentie
accepted contribution	aanvaarde bijdrage
contributor for conference	Inzender voor conferentie
steering committee	stuurgroep
topic	onderwerp
chair of workshop track	stoel van workshop track
active participant of conference	actieve deelnemer van de conferentie
committee	Comité
poster	poster
expertise of reviewer	expertise van de revisor
conference serie	Conferentie serie
conference document	Conferentie document
publisher	Uitgever
applicant for conference who paid conference fee	kandidaat voor de conferentie die conferentie vergoeding betaald
member of committee	lid van de Commissie
chair	stoel
co author of contribution	co auteur van bijdrage
participant of conference	deelnemer aan de conferentie
workshop	Workshop
tutorial	zelfstudie
regular contribution	regelmatige bijdrage
camera ready version of contribution	camera klaar versie van bijdrage
presentation	presentatie
applicant for conference who early paid conference fee	kandidaat voor de conferentie die vroeg conferentie betaald
