programový výbor	Программный комитет
dokument	документ
autor	Автор
administrátor	Администратор
článek	Статьи
rozhodnutí	решение
osoba	человек
spoluautor	соавтор
zamítnutí	отказ от
preference	предпочтения
meta-recenzent	Мета рецензент
předmětná oblast	Данный район
řádný článek	надлежащей статьи
předseda programového výboru	Председатель Комитета по программе
recenzent	Рецензент
autor který není recenzent	Автор не является рецензентом
osoba s účastí na konferenci	человек с участием на Конференции
předseda	Президент
krátký článek	короткая статья
externí recenzent	внешний рецензент
uživatel	пользователь
recenze	Отзывы
vyjádření zájmu	выражение интереса
meta-recenze	Мета Отзывы
konference	Конференция
přijetí	принятие
spolupředseda	Сопредседателем
člen programového výboru	Член Комитета по программе
předseda konference	Председатель Конференции
člen konference	Член Конференции
přidán člen programového výboru	добавлен член Комитета по программе
odeslání článku	Отправить статью
má vyjádření zájmu	выражение интереса
přidělen meta-recenzent recenzentovi	назначен рецензент мета рецензент
upravit vyjádření zájmu	Измените выражение интереса
článek napsal	Статья написана
přidělen recenzent administrátorovi	Рецензент назначается администратору
nástroj pro přídělení příspěvků spuštěn kým	přídělení инструмент для взносов, запущенных
zahájil vyjadřování zájmu recenzentů	выражение интереса запустила рецензентов
zamítnut kým	отклонено
spoluautor příspěvku	соавтор вклада
podrobnosti vloženy kým	детали вошел
zadání kritérií recenzí kým	Введите критерии, которые Отзывы
přiděleno recenzentovi	назначен рецензент
označil konflikt zájmu	называется конфликт интересов
článek přečten recenzentem	Рецензент статьи
přidělen recenzent	назначен рецензент
dokončit přidělení příspěvků konference	для завершения распределения взносов на Конференции
má člena konference	был членом Конференции
vyjádření zájmu upraveno	выражение интереса
přidělení příspěvků dokončeno kým	распределения взносов, которые завершили
má spoluautora	мой соавтор
článek přečten meta-recenzentem	Статья читать мета рецензент
má rozhodnutí	решение
má konflikt zájmu s příspěvkem	имеется конфликт интересов с вкладом
pojednává o tématu	обсуждается тема
spustil přidělování článků konference	опустил распределение статей конференции
napsal článek	Написал статью
recenze napsána kým	Обзор написан
má člena programového výboru	является членом Комитета по программе
recenzuje článek	обзоры статьи
napsal recenzi	Написал обзор
uzavřít recenzi	завершить обзор
vložit podrobnosti konference	Вставка сведений о Конференции
umožnit virtuální schůzku konferenci	Разрешить виртуальные совещания Конференции
akceptovány příspěvky konference pro tisk	принятые вклад Конференции для печати
článek má název	в статье есть имя
má email	мой адрес электронной почты
článek má id	в статье есть id
čte článek	читать статью
přijato kým	кто получил
přidělení členů programového výboru administrátorem	распределение членов Руководящего комитета Администратор
zamítnul článek	Отклоненные статьи
virtuální schůzka konference umožněna kým	виртуальное совещание Конференции стало возможным благодаря
vložit kritéria recenze	Вставить обзор критериев
vyjadření zájmu spuštěno kým	vyjadření интереса, вызванного
přidělen externí recenzent	назначен для внешнего рецензента
brožury vytištěny kým	брошюры, печать
tisk brožur konference	печати буклет конференции
přijal článek	принятые статьи
přidat člena programového výboru	Добавление члена Комитета по программе
nastavil maximální počet recenzí	Установите максимальное количество отзывов
logo konference má url	логотип конференции имеет URL-адрес
konference má recenzí na článek	Конференция имеет Отзывы на статьи
má jméno	мое имя
datum konference	Дата проведения Конференции
webová stránka konference má url	Конференция имеет URL-адрес веб-страницы
zvaná přednáška	приглашенные лекции
organizační výbor	Организационный Комитет
člen výboru	Член Комитета
