puja	oferta
aceptar	Razoável
autor	autor
versión completa del artículo	versão completa do artigo
meta revisión	revisão do objetivo
miembro del comité de programa	Membro do Comitê de programa
conferencia	Conferência
administrador	Administrador
miembro de la conferencia	Membro da conferência
área temática	área temática
decisión	decisão
documento	documento
revisor	Revisor
revisor externo	revisor externo
meta revisor	Revisor de meta
artículo	Artigo
presidente del comité de programa	Presidente do Comité de programa
resumen del artículo	Resumo do artigo
vice presidente	Vice-Presidente
presidente de la conferencia	Presidente da conferência
coautor	co-autor
autor, no revisor	autor, nenhum revisor
comité de programa	Comitê de programa
usuario	usuário
presidente	Presidente
preferencia	preferência
rechazar	rejeitar
revisión	revisão
persona	pessoa
asigna revisor externo	atribuir revisor externo
es miembro del comité de programa	é membro do Comité de programa
permite reunión virtual	permite encontro virtual
envía el artículo	envia o item
inicia la puja de los artículos	começa a licitação de artigos
asignado por el revisor	atribuído pelo revisor
introduce criterios de revisión	entra em critérios de avaliação
los criterios de revisión han sido introducidos por	critérios de avaliação foram introduzidos por
la puja de los revisores ha sido iniciada por	Iniciado por lances de revisores
detalles introducidos por	detalhes inseridos pelo
asigna un número máximo de artículos a	atribui um número máximo de itens a
rechazado por	rejeitada pelo
redacta el artículo	escrever artigo
redacta la revisión	escrever comentário
asignado por el administrador	atribuído pelo administrador
es miembro de la conferencia	é membro da conferência
modificada por	modificado por
asignar revisor	atribuir o revisor
añadido por	adicionado por
asignado a	atribuído a
tiene miembro de la conferencia	tem membro conferência
tiene área temática	tem uma área de assunto
gestiona las herramientas para la asignación de artículos	Ele gerencia as ferramentas necessárias para a alocação de itens
la asignación de artículos ha sido finalizada por	a atribuição dos artigos foi concluída pela
tiene autor	tem autor
finaliza la asignación de artículos	termina a alocação de itens
tiene puja	tem oferta
leído por el meta revisor	lido pelo revisor meta
tiene decisión	decisão tem
reunión virtual mediante	usando a reunião virtual
lee el artículo	Leia o artigo
las copias en papel de los manifiestos de envío han sido impresas por	os transporte manifestos papel exemplares foram impressos por
rechaza el artículo	rejeita o artigo
tiene coautor	é co-autor
modifica la puja	modifica a oferta
las herramientas para la asignación de artículos han sido gestionadas por	ferramentas para a alocação de itens foram gerenciadas por
es coautor de un artículo	é co-autor de um artigo
url del logotipo	URL do logotipo
acepta entregas en papel	Aceita entregas em papel
url de la página web	URL da página da web
título	título
ha sido asignado a	Ele tem sido atribuído a
escrito por	escrito por
ha señalado conflicto de intereses	notável conflito de interesses
tiene miembro del comité de programa	tem o membro do Comitê de programa
tiene conflicto de intereses	tem conflito de interesses
