документ	document
конференция	Conférence
полная версия статьи	la version complète de l'article
член конференции	Membre de la Conférence
принятие	l'adoption de
решение	solution
отклонение	déviation
администратор	Administrateur
председатель конференции	le Président de la Conférence
рецензент	Relecteur
председатель	Président
автор	auteur
мета-рецензент	Meta-examinateur
член программного коммитета	en tant que membre du Comité de programme
пользователь	utilisateur
лицо	personne
аннотация статьи	article Résumé
соавтор	co-auteure
председатель программного коммитета	Président du Comité de programme
автор не являющийся рецензентом	l'auteur n'est pas un critique
программный коммитет	Comité du programme
предпочтение	préférence
тематическая область	domaine thématique
мета-рецензия	Critique de Meta-livre
рецензия	Critique de livre
заместитель председателя	Vice-Président
внешний рецензент	examinateur externe
статья	Article
ставка	taux
внести критерии рецензирования	d'examiner les critères
подать статью	soumettre un article
назначает рецензента	nomme un relecteur
прочитано рецензентом	lire la critique
кем разершёна виртуальная встреча	par razeršëna réunion virtuelle
прочитано мета-рецензентом	lire le meta-examinateur
кем отклонено	qui est rejetée
кем изменена	qui a changé
printhardcopymailingmanifests	printhardcopymailingmanifests
кем начато размещение ставок рецензента	qui a commencé plaçant relecteur de Paris
закончил рецензию	examen terminé
интернет-адрес сайта	l'adresse Internet du site Web
адрес электронной почты	adresse de courriel
максимум статей	articles maximum
идентификатор статьи	l'ID de l'article
заголовок	en-tête
интернет-адрес логотипа	l'adresse Internet du logo
имя	le nom
рецензенты статьи	commentateurs de l'article
число	le nombre de
принимает печатные заявки	accepte les demandes d'impression
кем написано	écrit par
кем принято	toute personne prise
внести детали конференции	pour faire les détails de la Conférence
изменяет ставку	taux de change
отметить конфликт интересов	Remarque les conflits d'intérêts
назначена кому	assignés à
читает статью	Lire l'article
кем запущена программа назначения статей	qui dirige le programme articles de destination
кем добавлено	par date d'ajout
назначен рецензентом	un évaluateur nommé
назначен администратором	nommé par l'administrateur
разрешить виртуальную встречу	permettre la rencontre virtuelle
назначает внешнего рецензента	nomme un examinateur externe
принимает статью	article accepté
закончить назначение статей	terminer l'affectation des objets
кем внесены детали	qui a fait de détails
пишет статью	rédiger un article
кем закончено назначение статей	qui affecté des articles
установить максимум статей	définir les articles maximum
написать статью в соавторстве	écrire un article co-écrit
добавляет члена программного коммитета	Ajoute un Comité de programme de membre
назначена	nommé
конфликт интересов	conflits d'intérêts
кем введены критерии рецензирования	critères d'examen intronisé
hardcopymailingmanifestsprintedby	hardcopymailingmanifestsprintedby
начало размещения ставок рецензента	commencer à parier de l'examinateur
отклоняет статью	rejette l'article
пишет рецензию	Ajouter un commentaire
приглашённый доклад	Rapport de commentaires
развёрнутая аннотация	Résumé étendu
семинар	Séminaire
часть конференции	partie de la Conférence
научный совет	le Conseil scientifique
организация	Organisation
секция	section
издатель	Editeur
принятый труд	les travaux de
пассивный участник конференции	passive participant de la Conférence
отрецензированнй труд	otrecenzirovannj travail
отклонённый труд	travail rejeté
объявление конференции	annonce de la Conférence
соавтор работы	co-auteure de travail
приглашённый докладчик	Conférencier invité
сопредседатель	Coprésident
1й автор работы	le premier auteur de l'ouvrage
лицо внесшее вклад в конференцию	la personne marquant les contributions à la Conférence
оплативший участник	achat de groupe
сборы конференции	Droits d'inscription
участник конференции	participant de la Conférence
досрочно оплативший участник	Acheter tôt parti
организационная комиссия	Organisation du Conseil d'administration
активный участник конференции	un participant actif de la Conférence
член комиссии	Membre de la Commission
поданый труд	podanyj travail
выпуск конференции	Libération Conférence
требования к рецензии	exigences pour l'examen
стенд	stand
документ конференции	Document de conférence
труд конференции	Conférence du travail
аннотация	Résumé
письменный труд	travail écrit
полный труд	oeuvre complète
зарегистрированный участник	membres inscrits
приглашение к участию	invitation à participer
информация для участников	informations pour les participants
сборник трудов конференции	Actes du colloque
тема	Thème
комиссия	Commission
интернет адрес конференции	l'adresse Internet de la Conférence
информационное письмо	lettre d'information
заявитель конференции	demandeur Conférence
председатель секции, семинара	Chef de section, séminaire
обучающий курс	cours de formation
организатор	Organisateur
важные даты	dates importantes
компетентность рецензии	Commentaires de l'expertise
презентация	présentation
труд в окончательной версии	travailler dans la version finale
поздно оплативший участник	achat tard parti
труды	Trudy
является частью выпусков конференции	fait partie de la question (s) de la Conférence
принадлежит рецензентам	possédé par les examinateurs
части	une partie de la
являлся председателем секции, семинара	a été président de la section du séminaire
являлся научным советом	un Conseil scientifique
авторы	auteurs
семинары	séminaires
указано в требованиях к рецензии	précisées dans les exigences des clients
кем выполнена	qui a réalisé
являлся членом	Il était membre de la
рекоммендация рецензирования или компетентность	examen de rekommendaciâ ou de la compétence
рецензирует	critique
члены	les membres de la
является темой частей конференции	est le thème de conférences des parties
являлся комиссией	a la Commission
кем приглашён	qui inviter
председатель секции, семинара, обучающегокурса	Chef de section, séminaire, obučaûŝegokursa
вносит вклад	contribue à
рекоммендация рецензирования	rekommendaciâ examen
указано в выпуске конференции	indiqué dans le communiqué de la Conférence
является 1й частью	est la 1ère partie de la
подан в	Classé dans
тема секции, семинара, обучающего курса	section thème, séminaire, stage
обучающие курсы	cours de formation
издаёт	publie
заместитель председателя комиссии	le vice-président de la Commission
являлся председателем комиссии	a été président de la Commission
являлся организационным комитетом	a le Comité d'organisation
делает презентацию	faire une présentation
секции	section
приглашает ко-рецензентов	vous invite aux examinateurs
председатель комиссии	le Président de la Commission
являлся сопредседателем комиссии	Il a été coprésident de la Commission
дата подачи аннотации	Date de soumission des résumés
дата начала	date de début
пол	Paul
дата окончания	date de fin
название	le nom
дата издания	Date d'émission
дата подачи окончательной версии статьи	la date de dépôt de la version finale de l'article
выпуск	question
компетентность	compétence
isbn	ISBN
место проведения	lieu de rendez-vous
степень	le degré de
интернет-адрес	l'adresse Internet de la
организационный комитет	le Comité organisateur
являлся программным комитетом	Il était le Comité de programme
тема или поданный труд	thème ou travail déposée
дата подачи полной статьи	Date de présentation de l'article complet
дата объявления о приняти	Date de l'annonce sur la prise
фамилия	nom de famille
экскурсия	excursion
участник	Parti
город	Ville
этап	stade
образовательное учреждение	établissement d'enseignement
этап регистрации участников	étape de l'enregistrement des participants
этап рабочей программы	étape du programme de travail
председатель программного комитета	le Président du Comité de programme
полная	complet
член	Membres
этап рецензирования	examen de la scène
тематиka	tematika
культурный этап	la phase culturelle
учащийся	étudiant
труд	travail
встреча	réunion
компания	société
тезисы статьи	Résumés des articles
член программного комитета	Membre du Comité de programme
этап результатов рецензирования	résultats de la phase d'examen
научный работник	AAS
студент	étudiant
страна	pays
административный этап	la phase administrative
этап подачи заявки	dépôt de scène
ассистент	Assistant
этап подготовки окончательной версии	préparation de la version finale
банкет	Banquet
волонтёр	bénévoles
написана	Rédigé par
место работы	lieu de travail
следует	Il devrait être
параллельно с	en parallèle avec le
максимальный выбор	maximum de choix
сокращённое название	nom court
окончание	fin
досрочная регистрация	Date d'inscription hâtive
телефон	Téléphone
домашняя страница	page d'accueil
обучается в	Il a étudié à la
содержит административный этап	contient la phase administrative
адресует	adresses
пишет	a écrit
компетентен в	compétente en
содержит ключевые слова	contient des mots-clés
почтовый индекс	Code postal
ндс	TVA
факс	Télécopieur
улица	Rue
начало	Début
контактный адрес электронной почты	adresse email de contact
минимальный выбор	plage minimale
замечание	Commentaire
выбор по умолчанию	sélection par défaut
негосударственная организация	organisation non gouvernementale
тема операционные системы	le thème des systèmes d'exploitation
грант на поездку	Bourse de voyage
тема коммуникации	le thème de la communication
тема сенсорные компьютерные сети	le thème des réseaux d'ordinateurs tactiles
местонахождение комнаты для собрания	Location de salles pour réunions
информационнное письмо	lettre d'informacionnnoe
академическая организация	Organisation académique
производственная организация	Organisation de la production
рецензионный вопрос	examiner la question
слайды	diapositives
докладчик	Rapporteur
активная статья	un article actif
тема просто тест	le thème est juste un test
программа	programme
светский раут	déroute
конференц-ужин	Dîner-conférence
тема спутниковая и космическая связь	le thème des communications par satellite et de l'espace
тема управление компьютерными сетями	vous avez lu la rubrique gérer des réseaux informatiques
оценка принять при условии	Note au sujet
тема приложени компьютерных сетей	le thème des applications de réseaux informatiques
темаcad	temacad
персональная история рецензирования	antécédents personnels d'examen par les pairs
место проведения обеда	emplacement du dîner
этап докладывания	la phase rapports parfait
тема мультимедиа	rubrique multimédia
принятая статья	a adopté l'article
перерыв на кофе	Pause café
текстовый вопрос рецензирования	Revue de question sur la base de texte
тема беспроводная связь	le thème de la communication sans fil
тема оптические компьютерные сети	le thème des réseaux optiques
академический этап	phase académique
свободный перерыв	pause gratuit
статья ожидающая решения	Article en attente de décision
приглашение	invitation
этап питания	l'étage de puissance
