programový výbor	Comitê de programa
dokument	documento
autor	o autor do
administrátor	Administrador
článek	Artigo
rozhodnutí	a decisão do
osoba	a pessoa
spoluautor	co-autor
zamítnutí	a rejeição de
preference	preferências
meta-recenzent	meta-revisor
předmětná oblast	a área em questão
řádný článek	um bom artigo
předseda programového výboru	o Presidente do Comitê de programa
recenzent	Revisor
autor který není recenzent	o autor não é um revisor
osoba s účastí na konferenci	a pessoa com a participação na conferência
předseda	o Presidente da
krátký článek	um artigo curto
externí recenzent	revisor externo
uživatel	usuário
recenze	Comentários
vyjádření zájmu	manifestação de interesse
meta-recenze	meta-comentários
konference	Conferência
přijetí	a adopção do
spolupředseda	Co-presidente da
člen programového výboru	Membro do Comitê de programa
předseda konference	o Presidente da conferência
člen konference	Membro da conferência
přidán člen programového výboru	Adicionado membro do Comitê de programa
odeslání článku	enviar um artigo
má vyjádření zájmu	a expressão de interesse
přidělen meta-recenzent recenzentovi	atribuído para o revisor de meta-revisor
upravit vyjádření zájmu	Editar a expressão de interesse
článek napsal	Artigo escrito por
přidělen recenzent administrátorovi	o revisor é atribuído ao administrador
nástroj pro přídělení příspěvků spuštěn kým	přídělení ferramenta para contribuições lançado pela
zahájil vyjadřování zájmu recenzentů	manifestação de interesse lançou os revisores
zamítnut kým	rejeitada pelo
spoluautor příspěvku	co-autor de contribuição
podrobnosti vloženy kým	os detalhes inseridos pelo
zadání kritérií recenzí kým	Insira os critérios que os clientes
přiděleno recenzentovi	atribuído a um revisor
označil konflikt zájmu	chamado o conflito de interesses
článek přečten recenzentem	artigo lido revisor
přidělen recenzent	atribuído um revisor
dokončit přidělení příspěvků konference	para completar a repartição das contribuições para a conferência
má člena konference	tem um membro da conferência
vyjádření zájmu upraveno	manifestação de interesse por
přidělení příspěvků dokončeno kým	a repartição das contribuições que completou
má spoluautora	meu co-autor
článek přečten meta-recenzentem	artigo Leia meta-revisor
má rozhodnutí	a decisão do
má konflikt zájmu s příspěvkem	tem um conflito de interesses com a contribuição da
pojednává o tématu	discute o tema
spustil přidělování článků konference	baixou a atribuição dos artigos de conferência
napsal článek	escreveu o artigo
recenze napsána kým	Resenha escrita por
má člena programového výboru	é um membro do Comitê de programa
recenzuje článek	artigo de clientes
napsal recenzi	Escrevi uma resenha
uzavřít recenzi	para concluir a revisão
vložit podrobnosti konference	Insira os detalhes da conferência
umožnit virtuální schůzku konferenci	permitir a conferência de reuniões virtuais
akceptovány příspěvky konference pro tisk	aceites contribuições da conferência para impressão
článek má název	o artigo tem um nome
má email	meu email
článek má id	o artigo tem um id
čte článek	Leia o artigo
přijato kým	Quem recebeu
přidělení členů programového výboru administrátorem	a alocação dos membros do Comité director pelo administrador
zamítnul článek	artigo rejeitado
virtuální schůzka konference umožněna kým	reunião virtual conferência possibilitados pela
vložit kritéria recenze	Inserir uma revisão de critérios
vyjadření zájmu spuštěno kým	vyjadření interesse desencadeada por
přidělen externí recenzent	atribuído a um revisor externo
brožury vytištěny kým	folhetos imprimidos por
tisk brožur konference	conferências de impressão de livreto
přijal článek	artigo aceito
přidat člena programového výboru	para adicionar um membro do Comitê de programa
nastavil maximální počet recenzí	definir o número máximo de clientes
logo konference má url	o logotipo da conferência tem um url
konference má recenzí na článek	a conferência tem comentários sobre o artigo
má jméno	o meu nome
datum konference	a data da conferência
webová stránka konference má url	a conferência tem um url de página da Web
dokument konference	o documento da conferência
pozdně přihlášený zájemce o konferenci	no final da pista sobre a conferência
zvaná přednáška	palestra convidada
organizační výbor	Comitê Organizacional
člen výboru	Membro do Comitê
přijatý příspěvek	recebido pelo correio
konferenční příspěvek	Contribuição de conferência
konferenční oznámení	Anúncio da conferência
rozšířený abstrakt	resumo alargado
registrovaný zájemce o konferenci	candidatos registados sobre a conferência
prezentace	apresentação
přihlášený zájemce o konferenci	logado com a liderança sobre a conferência
zamítnutý příspěvek	um post rejeitado
účastník konference	participante da conferência
sborník konference	Atas da conferência
pasivní účastník konference	passivo participante da conferência
poslaný příspěvek	enviado por correio
hlavní autor příspěvku	o principal autor da contribuição
abstrakt	Resumo
sekce konference	seção de conferência
kamera-ready verze příspěvku	envio das versões finais da contribuição
vydavatel	Editora
tutoriál	tutorial
řádný příspěvek	um bom post
odbornost experta	a experiência do perito
řídící výbor	o Comité de gestão
časně přihlášený zájemce o konferenci	no início, a liderança sobre a conferência
poster	cartaz
organizace	Organização
řádný autor příspěvku	contribuição do autor adequada
informace pro účastníky	informações para os participantes
konferenční poplatky	Taxas de conferência
recenzovaný příspěvek	post de mesmo nível
výzva k účasti na konferenci	chamada para participação na conferência
organizátor	o organizador da
výbor	o Comité do
důležité termíny	datas importantes
preference experta	especialista em preferências
workshop	oficina
téma	Tema
konferenční akce	Ação da conferência
výzva na psaní článku	chamada para a escrita do artigo
zájemce o konferenci	os interessados em conferência
psaný příspěvek	post escrito
aktivní účastník konference	um participante ativo da conferência
webové stránky konference	site da conferência
přispěvatel konference	Colaborador de conferência
předseda workshopu	o Presidente da oficina
zvaný přednášející	chamado o palestrante
má tutoriál	meu tutorial
být programovým výborem konference	ser o Comitê de programação da conferência
pozvat spolurecenzenta	convidar spolurecenzenta
má workshop	minha oficina
být předsedou workshopu čeho	ser o Presidente da oficina, o que
posláno kam	Postado por onde
má člena	é um membro do
má recenzní posudek	Meu depoimento de revisão
důležitý den konference	um dia importante da conferência
prezentoval	apresentado o
být organizačním výborem konference	ser o comitê organizador da conferência
konference má řídicí výbor	Comitê de conferência
být výborem konference	Comitê de conferência
být řídicím výborem konference	ser o Comitê de conferência
má předsedu workshopu	o Presidente da oficina
tématem nebo odeslaným příspěvkem je	ArgumentException: The incoming token has expired. Get a new access token from the Authorization Server. : ID=5005.V2_Json.Translate.238098D2
přispěl konferenci	ArgumentException: The incoming token has expired. Get a new access token from the Authorization Server. : ID=5641.V2_Json.Translate.2403A93F
konference má výbor	ArgumentException: The incoming token has expired. Get a new access token from the Authorization Server. : ID=3444.V2_Json.Translate.238AE7E8
být předsedou výboru	ser o Presidente da Comissão
má téma workshopu	o tema do workshop
recenzuje příspěvek	post comentários
téma sekce konference	o tema da seção de conferência
částí konference	parte da conferência
má část	minha parte a
má abstrakt	Tem um resumo
preference nebo odbornost recenzenta	preferência ou especialidade do revisor
téma svázané s preferovaným tématem	tema ligado ao tema preferencial
být členem výboru	ser um membro do Comitê
konference má programový výbor	Comitê de programa da conferência
publikuje	publica o
má sekci	tem uma seção
má příspěvek	meu post
byl přiřazen zájem recenzenta	Ele foi designado para o interesse do revisor
preference či odbornost koho	preferência ou conhecimentos que
má důležitý den	foi um dia importante
prezentováno kým	apresentado por
má odeslaný příspěvek	enviou uma contribuição
má  recenzi	Minha resenha
má spolupředsedu výboru	sua Comissão tem
první částí dokumentu	a primeira parte do documento
být spolupředsedou výboru	para ser um co-presidente do Comitê
konference má organizační výbor	a Comissão organizadora da conferência tem
číslo svazku sborníku	o número do volume dos anais da conferência
má název	tem um nome
příjmení	último nome
pohlaví	sexo
má autora	tem o autor
pozván recenzentem	revisor convidado
vydavatelem sborníku je	o editor do processo é a
má předsedu výboru	o Presidente da Comissão
stupeň preference recenze	o grau de preferência de clientes
url webových stránek konference	URL do site da conferência
publikováno dne	Postado em
