conference announcement	إعلان مؤتمر
co chair	الرئيس المشارك
person	الشخص
contributor for conference	المساهم للمؤتمر
applicant for conference	مقدم للمؤتمر
steering committee	اللجنة التوجيهية
submitted contribution	مساهمة مقدم
participant of conference	مشارك مؤتمر
contribution	مساهمة
reviewer	المراجع
conference	المؤتمر
conference contribution	مساهمة المؤتمر
topic	الموضوع
workshop	ورشة عمل
organizer	منظم
tutorial	البرنامج التعليمي
proceedings of conference	وقائع المؤتمر
regular contribution	مساهمة منتظمة
call for paper	دعوة للورق
track of conference	المسار للمؤتمر
active participant	مشارك نشط
chair of workshop track	كرسي للمسار حلقة العمل
active participant of conference	مشاركة نشطة في المؤتمر
camera ready version of contribution	إصدار الكاميرا جاهزة للمساهمة
committee	اللجنة
presentation	العرض التقديمي
web of conference	من مؤتمر ويب
poster	ملصق
expertise of reviewer	خبرة مراجع
conference serie	المؤتمر الدوري الإيطالي
review	استعراض
conference document	وثيقة المؤتمر
rejected contribution	مساهمة المرفوضة
paper	ورقة
applicant for conference who early paid conference fee	طالب المؤتمر الذين دفعوا رسوم المؤتمر مبكرا
extended abstract	الخلاصة الموسعة
invited talk	الحديث المدعوين
call for participation	دعوة للمشاركة
publisher	الناشر
program committee	لجنة البرنامج
information for participants	معلومات للمشاركين
organization	المنظمة
document	الوثيقة
first author of contribution	البلاغ الأول لمساهمة
registered applicant	مقدم الطلب المسجل
applicant for conference who paid conference fee	طالب المؤتمر الذين دفعوا رسوم المؤتمر
member of committee	عضو اللجنة
abstract	خلاصة
written contribution	مساهمة كتابية
important date	موعد هام
announcement	إعلان
invited speaker	متكلم مدعو
reviewed contribution	استعراض مساهمة
fee for conference	رسوم المؤتمر
preference of reviewer	الأفضلية للمراجع
applicant for conference who lately paid conference fee	طالب مؤتمر منظمة الصحة العالمية في الآونة الأخيرة دفعت رسوم المؤتمر
serie	الدوري الإيطالي
chair	كرسي
co author of contribution	صاحب شركة مساهمة
author of contribution	مؤلف مساهمة
passive participant	مشارك سلبي
part of conference	جزء من المؤتمر
