ملخص البحث	Resumen de la búsqueda
الكاتب المشترك	Coautor
مشرف	Admin
رئيس	El Presidente de la
عضو المؤتمر	Conferencia de miembros
البحث	Búsqueda de
وثيقة	Documento
الكاتب 	Escritor 
شخص	Personas
عضو في اللجنة العلمية	Miembro del Comité científico
رئيس المرتبطة	Presidente de asociados
رئيس اللجنة العلمية	Presidente del Comité científico
مؤتمر	Conferencia
أفضلية	Preferencia de
مراجعة فوقية	Revisión instantánea
المراجع	Referencias
القبول	Admisión
المراجع الفوقي	Meta-referencias
موضوع المحور	Eje tema
الكاتب، الذي ليس المراجع	Hace referencia el autor, que no es
رئيس المؤتمر	El Presidente de la Conferencia
المستخدم	Usuario
مزايدة	Subasta
لاشيء	Nada
الرفض	Rechazo
لجنة العلمية	Comité científico
قرار	Resolución
مراجعة	Informe
النسخة الكاملة من البحث	La versión completa de la investigación
المراجع خارجي	Referencias externas
لديه عنوان	Tiene título
لديه اسم	Tiene un nombre
لديه التاريخ	Tiene historia
لديه موقع على رابط	Tiene un enlace al sitio web
تقبل نسخة المرسلات	Aceptar entradas CC
العدد الأقصى من الابحاث المسندة	El número máximo de cesiones de investigaciones
لديه الشعار في رابط	Tiene el enlace del logo
مراجعة/تعليقات لكل بحث	Revisión y comentarios para cada búsqueda
لديه معرف	Tiene el identificador
لديه عضو	Tiene un miembro
قبوله من قبل	Aceptado por
قبوله من قبل 	Aceptado por 
لديه بريد الكتروني	Tiene correo electrónico
يقبل	Acepta
إدخال التفاصيل حول	Entrar en detalles acerca de la
علامة تضارب المصالح	La etiqueta de conflicto de intereses
مشترك في الكتابة	Escritura compartida
تمكين الاجتماع الظاهري	Reunión virtual
يضيف	Agrega
كتابة البحث	Investigación de la escritura
يعيين	Conjuntos de
معايير مراجعة أدخلت من قبل	Revisión de las normas introducida por el
(... ،تم تقرير (ليكون مقبول، مرفوض	(... Fue el informe (para ser aceptado, rechazado
أضافته من قبل	Añadida por
كتابته من قبل	Escrito por
استكمال احالة البحث	Búsqueda de remisión completa
احالة أدوات البحث مشغل من قبل	Herramientas de motor de búsqueda de referencias por
بدء تقديم العطاءات المراجع	Empezar haciendo una oferta referencias
لديه مزايدة	Ha pujado
ارسال البحث	Enviar búsqueda
لديه تضارب في المصالح مع احترام	Tiene un conflicto de intereses con respecto
تم تعيين	Sido ajustado
رفض من قبل	Rechazado por
تفاصيل مدخلة من قبل	Los datos introducidos por
كاتب مشترك من قبل	Coautor
بدأ تقديم العطاءات المراجع من قبل	Referencias de licitación Iniciado por
بدأ تقديم العطاءات المراجع من قبل 	Referencias de licitación Iniciado por 
نسخة من البريد الالكتروني للمظاهرات مطبوعة من قبل	Una copia del correo electrónico imprimido por manifestaciones
تحديد مجموعة عدد أقصى من الابحاث المسندة 	Seleccione el número máximo de cesiones de investigaciones 
تحديد مجموعة عدد أقصى من الابحاث المسندة	Seleccione el número máximo de cesiones de investigaciones
قراءته من قبل مراجع	Leído por referencias
تشغيل أدوات احالة البحث	Herramientas de búsqueda de referencia
تشغيل أدوات احالة البحث  	Herramientas de búsqueda de referencia  
قراءته من قبل مراجع الفوقي	Leído por meta-referencias
المراجعة كتابية	Informe escrito
تعيينه من قبل مشرف 	Asignado por el administrador 
تعيينه من قبل مشرف	Asignado por el administrador
ضبط	Ajustar
اجتماع الظاهري ممكن من قبل	El encuentro virtual es posible por
قراءة البحث	Lea las investigaciones
إدخال معايير المراجعة	Introduzca criterios de revisión
تعيين من اجل	Establecido para
احالة البحث منتهي من قبل	Terminado por la búsqueda de referencia
لديه موضوع المحور	Tiene el eje tema
تعديله من قبل	Modificado por el
بحث مرفوض	La búsqueda se niega
وقت إنتهاء مراجعة	El tiempo del final de la revisión
مسند من قبل مراجع	Reposapiés de referencias
طباعة نسخة من البريد الالكتروني للمظاهرات	Imprimir una copia del correo electrónico para las demostraciones
تاريخ مهم	La historia es importante
وثيقة المؤتمر	Documento de la Conferencia
معلومات للمشاركين	Información para los participantes
مساهمة مرفوضة	Se rechaza la contribución
إعلان المؤتمر	Declaración de la Conferencia
مساهمة مرسلة	El aporte enviado
الرئيس المشترك	Presidente de la Junta
منظم	Organizador
عضو  في اللجنة	Miembro de la Comisión
طلب مقدم للمؤتمر	Solicitud de conferencia
افضلية المراجع	Referencia de preferencia
مشارك السلبي في المؤتمر	Participantes en la Conferencia
رئيس مسار ورشة العمل	El jefe del taller de camino
المنظمة	Organización
العرض التقديمي	Presentación
نسخة جاهزة للتصوير مساهمة	Entrada de la cámara copia listo
مقدم الطلب مسجل	Solicitante está registrado
طلب مقدم للمؤتمر الذين دفعوا رسوم المؤتمر	Solicitud de honorarios pagados Conferencia Conferencia
دعت الحديث	Charla invitado
الدعوة لتقديم الأبحاث	Convocatoria de investigación
مسار المؤتمر	Conferencia de camino
اللجنة التوجيهية	El Comité de dirección
ملخص موسع	Un resumen
مساهمة منتظمة	Contribución regular
الناشر	Editorial
مساهمة مقبولة	Contribución aceptable
المؤتمر	Conferencia
البرنامج التعليمي	Tutorial
رسوم من اجل المؤتمر	Honorarios de la Conferencia
خبرة المراجع	Experiencia referencias
مساهمة للمؤتمر	Contribución a la Conferencia
اللجنة المنظمة	Comité Organizador
ورشة عمل	Taller
المؤلف الأول للمساهمة	El primer autor para contribuir a
اللجنة	Comité
الكاتب المشرك في المساهمة	Colaborador de común
المشارك في المؤتمر	Participar en la Conferencia
اللجنة العلمية	El Comité científico
الملخص	TS
طلب مقدم للمؤتمر الذي دفع مؤخرا رسوم المؤتمر	Una solicitud al Congreso, que recientemente pagó cuotas de la Conferencia
مساهمة خطية	Una contribución escrita
مساهمة مراجعة	Auditoría de la contribución
متحدث المدعو	Orador invitado
جزء من المؤتمر	Parte de la Conferencia
مساهمة المؤتمر	Contribución de la Conferencia
الموضوع	Tema
سلسله المؤتمر	Ciclo de conferencias
كاتب المساهمة	Colaborador
مقدم الطلب المؤتمر الذي دفع في وقت مبكر رسوم المؤتمر	Conferencia de solicitante que solicita inscripción temprana en la Conferencia
شبكة الإنترنت العنكبوتية للمؤتمر	Araña Web Conferencia
دعوة للمشاركة	Invitación a participar
ملصق	Cartel
محضر المؤتمر	Actas del Congreso
مشارك ايجابي في المؤتمر	Un positivo participante en la Conferencia
لديه اللقب	Tiene título
تاريخ ارسال البحث كامل	La fecha de envío el look entero
اليوم محطة	Hoy en día la estación
لديه الجنس	Tiene relaciones sexuales
موقع المؤتمر	Página Web del Congreso
 موقع شبكة الإنترنت العنكبوتية للمؤتمرهو	 Llmo'tmerho sitio Web de araña
موقع شبكة الإنترنت العنكبوتية للمؤتمرهو	Llmo'tmerho sitio Web de araña
درجة خبرة المراجع	Grado experiencia referencias
isbn محضر	Los minutos del isbn
لديه الاسم الأول	Tiene un nombre
رقم حجم المحضر	Expediente número volumen
انها اللجنة العلمية للمؤتمر	Es el Comité científico
لديه البرنامج التعليمي	Tiene tutorial
لجنة المؤتمر هي	El Comité de conferencia
لديه جزء	Tiene parte
لديه تاريخ مهم	Tiene una fecha importante
لديه موضوع ورشة عمل	Tiene el tema del taller
مدعو من المراجع	Revisor invitado
تاريخ ارسال الملخصات	Fecha de presentación de resúmenes
درجة تفضيل مراجعة	El grado de revisión de preferencia
تاريخ الارسال بعد إجراء التعديل	Fecha de envío después de redimensionamiento
تاريخ البداية	Fecha de inicio
تاريخ إخطار القبول	La fecha de la notificación de aceptación
نشرت بتاريخ	Publicado en el
لديه رئيس اللجنة	Tiene el Presidente de la Comisión
يساهم في المؤتمر	Participar en la Conferencia
لديه رئيس مشترك لللجنة	Tiene un Presidente de Comité conjunto
لديه الكاتب	Tiene el autor
هو الرئيس المشترك للجنة	Presidente de la Comisión de empalme
مساهمة المراجعة	Auditoría de la contribución
يجعل العرض التقديمي	Presentación
هي لجنة المؤتمر	Son la Comisión de la Conferencia
مرسلة إلى	Enviado a
لديه ملخص	Tiene Resumen
اللجنة المنظمة للمؤتمر هي	El Comité Organizador de la Conferencia
اللجنة التوجيهية للمؤتمر	El Comité Directivo de la Conferencia
ينشر	Publicado
لديه مراجعة	Tiene la revisión
مقدم من قبل	Enviado por
تم تسنيد افضلية المراجعة	Auditoría de la titularización es la prioridad
اللجنة المنظمة للمؤتمر	El Comité Organizador de la Conferencia
لديه مساهمة	Tiene una contribución
لديه موضوع أو مساهمة مرسلة	Ha enviado el tema o las contribuciones por
يدعو المراجع المشترك	Pide referencias comunes
هو عضو في	Es miembro de la
لديه رئيس ورشة عمل	Tiene el Presidente del taller
موضوع هو جزء من مؤتمر	El tema es parte de la Conferencia
لديه ورشة عمل	Tiene un taller de
تاريخ مهم من سلسلة المؤتمر	Fecha de la serie de conferencias
لديه مساهمة مرسلة	Ha enviado contribución
موضوع مرتبط بافضلية المراجعة	Tema asociado a la revisión de la prioridad
لديه خبرة المراجعة	Experiencia en auditoría
افضلية أو خبرة المراجعة هي	Auditoría de preferencia o experiencia
هو الجزء الأول من	Es la primera parte de la
انه رئيس ورشة عمل ل	Fue Presidente del taller
لديه المسار	Tiene un camino
منشر المحضر هو	Registro del estante de secado es
هو رئيس الجنة	Es la cabeza del paraíso
الجنة العلمية للمؤتمرهي	Llmo'tmerhi Comité científico
أفضلية أو خبرة المراجع	Referencias de preferencia o experiencia
اللجنة التوجيهية للمؤتمر هي	El Comité Directivo de la Conferencia es
الجامعة	Universidad
مشارك	Participante
الحدث	Evento
رحلة	Viaje
حدث تسجيل الحدث المشاركين	Participantes de evento de registro de eventos
حدث عملي	Mi evento
مساهمة	Contribución
المشرف	Admin
منظمة	Organización
حدث إرسال نسخة بعد اجراء التعديل جاهزة للتصوير	Copiar evento después de redimensionamiento para fotografía
شخص مشارك مع المؤتمر	Personas asocian con la Conferencia
الشركة	Empresa
طالب	Estudiante
المساعد	Plugin
المدينة	Ciudad
حدث المراجعة	Evento de auditoría
حدث نتائج المراجعة 	Resultados de la auditoría de evento 
الكاتب	Escritor
مأدبة	Banquete
الحدث الإداري	Evento administrativo
بحث قصير	Una breve búsqueda
عامل العلم	Trabajador de la ciencia
حدث الارسال	Enviar evento
بحث	Búsqueda de
مشارك منتظم في المؤتمر	Participante regular en la Conferencia
متطوع في المؤتمر	Conferencia de voluntariado
الحدث الاجتماعي	Evento social
لاشيئ	Nada
طالب مشارك في المؤتمر	Estudiantes que participan en la Conferencia
بلد	País
استقبال	Recepción
رئيس اللجنة الغلمية	El Presidente de la Comisión alghalmih
المشارك في المؤتمر لديه التسجيل مبكر	Conferencia inscripción temprana ha
لديه الرمز البريدي	Tiene un código postal
تحديد أقل عدد من الحدث	Determinar el número mínimo de eventos
بدء يوم الحدث	Día de inicio del evento
لديه الفاكس	Tiene un fax
لديه ملاحظة	Tiene una nota
لديه قيمة ضريبة مضافة	Tiene un valor agregado impuesto
تحديد العدد الأقصى من الحدث	Especificar el número máximo de eventos
البقاء في الشارع	Permanecer en la calle
لديه الهاتف	Tiene teléfono
لديه الصفحة الرئيسية	Tiene el país
لديه كلمات البحث	Tiene una búsqueda por palabra clave
بتوازي مع	En paralelo con la
دراسة في الجامعة	Un estudio en la Universidad
لديه الحدث الإداري ذات الصلة	Tiene un evento administrativo relacionado
كتب من قبل الكاتب	Libros por autor
المراجعين	Revisores
متستخدمة من قبل	Por mtstkhdmh
البقاء في البلد	Permanecer en el país
يتعامل مع الموضوع	Sobre el tema
لديه عنوان قصير	Tiene una URL corta
لديه عنوان 	Tiene título 
لديه اتصال البريد الإلكتروني	Tiene un correo de contacto
انتهاء يوم الحدث	Al final del día del evento
حدث يقام في	Evento se celebra en
تحديد عدد الخيار الافتراضي من الحدث	Seleccione el número de la opción por defecto del evento
تحديد عدد الخيار الافتراضي من الحدث 	Seleccione el número de la opción por defecto del evento 
خبير في الموضوع	Un experto en el tema
يتبع	Siga
لديه موضوع	Tiene sujeto
البقاء في المدينة	Quedarse en la ciudad
يكتب المساهمة	Escribir una contribución
مقدمة موجزة لرئيس الجلسة	Breve introducción del moderador
بيت المقدم	Casa coronel
منزل شركة كونها الراعي	Inicio empresa siendo un pastor
دولة المقدم	El estado proporcionado
ليس عضوا في iasted	No es miembro de la iasted
طالب  غير متحدث	Estudiante no ponente
غرفة الجلسة	Sala de reuniones
المدينة حيث ينعقد المؤتمر	La ciudad donde la Conferencia
المستمع	Escucha
مقدمة	Introducción
رئيس الجلسة	Silla
سيارات الأجرة	Taxis
الموعد النهائي لتقديم النصي الكاميرا جاهزة	El plazo de presentación de script listo cámara
العامل الغير المتحدث	Altavoz no laborable
أيام المؤتمر	Días de conferencia
 كوكتيل الاستقبال 	 Cóctel de recepción 
جهاز عرض الإسقاط الضوئي شاشات الكريستال السائل	Proyección óptica proyector LCD
غرف الفندق المفردة	Habitaciones individuales
وثيقة الدفع	Documento de pago
الحاسوب	Computadora
اللجنة التقنية	El Comité técnico
نشاط	Actividad
رسم لرحلة اضافية	Cargo por vuelo adicional
الموعد النهائي لحجز الفنادق	Fecha límite para reserva de hotel
رسوم التسجيل للعضو	Matrícula para el miembro
طالب المحاضر	Expedientes de los estudiantes
ضريبة المغادرة	Impuesto de salida
النشاط البحثي	Actividad de investigación
قيمة المضافة للضرائب	Impuesto al valor agregado
الصك	Instrumento
كتابر المحضر	Expediente Ktaber
الارسال	Transmisor
جلسة	Período de sesiones
سيارة	Coche
المؤلف الذي سيستلم إجراءات وكتاب	El autor recibirá el libro de actas
جولة ليوم كامل	Tour de día completo
جهاز عرض ضوئي	Proyector
مقدمة المتحدث	Introducción de altavoz
نشر	Editorial
تحويل مصرفي	Transferencia de Banco
المعدات السمعية والبصرية	Equipo audiovisual
المتحدث الذي يقدم البرنامج التعليمي	El altavoz ofrece tutorial
العامل المحاضر	Registros de trabajo
آخر موعد لإخطار القبول	El plazo para la notificación de aceptación
آخر موعد للتسجيل	Plazo de inscripción
الشفافية العامة	Transparencia pública
بطاقة الائتمان	Tarjeta de crédito
رسوم التسجيل مدفوعة من قبل الكاتب الحاضر من اجل استلام محضر الابحاث على شكل كتاب	Matrícula pagada por el escritor presente a recibir las actas de investigación en forma de libro
مبنى المؤتمرات	Edificio Conferencia
المدينة حيث يأتي منها الراعي	La ciudad de donde viene el pastor
قاعة المؤتمر	Sala de conferencias
نشاط المحاكاة	Actividad de simulación
نشاط القبول مخطوطة	Actividad de aceptación de manuscrito
نشاط يحدث خلال المؤتمر	Actividad se produce durante la Conferencia
رسوم التسجيل للطالب	Matrícula para el estudiante
نشاط استلام مخطوطة	La actividad recibe el manuscrito
المبنى	Edificio
رسوم	Honorarios
الدولة حيث ينعقد المؤتمر	Estado donde la Conferencia
رسوم التسجيل	Cuotas de inscripción
النشاط الاجتماعي	Actividad social
