volume da conferência	حجم المؤتمر
participante pago	مشارك المدفوعة
comitê de programa	لجنة البرنامج
anúncio de conferência	إعلان مؤتمر
site da conferência	موقع ويب المؤتمر
primeiro autor da contribuição	مساهمة البلاغ الأول
participante da conferência	مشارك المؤتمر
membro do comitê	عضو في اللجنة
conferência	المؤتمر
participante pago antecipado	نهاية المدفوعة مسبقاً
comitê	اللجنة
contribuição revisada	مساهمة المنقحة
participante ativo da conferência	مشاركة نشطة في المؤتمر
contribuinte à conferência	المساهمة في المؤتمر
co autor da contribuição	صاحب شركة مساهمة
contribuição escrita	مساهمة كتابية
workshop	ورشة عمل
autor	كاتب
tutorial	البرنامج التعليمي
contribuição à conferência	المساهمة في المؤتمر
organizador	منظم
documento da conferência	وثيقة من وثائق المؤتمر
parte da conferência	جزء من المؤتمر
contribuição aceita	مساهمة مقبولة
participante pago atrasado	مشارك تدفع متأخرة
informações aos participantes	معلومات للمشاركين
contribuição submetida	المساهمات المقدمة
editora	الناشر
especialidade de revisão	استعراض التخصصي
palestra convidada	محاضرة ضيف
co coordenador	المنسق المشارك
chamada para participação	دعوة للمشاركة
apresentação	العرض التقديمي
contribuição de artigo completo	مساهمة المقالة بالكامل
versão final da contribuição	النسخة النهائية من مساهمة
participante registrado	مشارك مسجل
taxa de inscrição da conferência	رسوم التسجيل في المؤتمر
resumo estendido	أعمال تحت التنفيذ
tópico	الموضوع
preferência de revisão	استعراض الأفضلية
datas importantes	التواريخ الهامة
comitê diretivo	اللجنة التوجيهية
trilha da conferência	مسار المؤتمر
pessoa	الشخص
resumo	ملخص
participante passivo da conferência	مشارك السلبي من المؤتمر
chamada de trabalhos	دعوة لتقديم أوراق
contribuição rejeitada	مساهمة رفض
revisor	المراجع
coordenador de trilha de workshop	تتبع حلقة العمل المنسق
revisão	استعراض
organização	المنظمة
comitê organizador	تنظيم اللجنة
anais da conferência	وقائع المؤتمر
palestrante convidado	محاضر زائر
coordenador geral	المنسق العام
artigo	المادة
participante de conferência	نهاية المؤتمر
especialidade do revisor	المتخصصة المراجع
possui sobrenome	الاسم الأخير
localização da conferência	مكان انعقاد المؤتمر
dia de encerramento	يوم اختتام
possui um email	برسالة بريد إلكتروني
o site da conferencia é	موقع المؤتمر
data de início	تاريخ البدء
possui primeiro nome	الاسم الأول
possui sexo	وقد الجنس
isbn dos anais	ISBN حوليات
data de submissão de artigo completo	تاريخ تقديم المقالة بالكامل
possui uma especialidade de revisão	وقد استعراض التخصصي
possui um comitê	لجنة
possui uma revisão	وقد استعراض
é um tópico de partes da conferência	هذا موضوع لأجزاء من المؤتمر
é submetida a	هو رهنا
possui um tópico ou uma contribuição submetida	موضوع أو الموضوع
possui um resumo	وقد موجز
foi um comitê de programa de conferência	كانت "لجنة برنامج المؤتمر"
possui nome	باسم
data de publicação	تاريخ النشر
número do volume dos anais	رقم وحدة التخزين حوليات
data de entrega da versão final de artigo	تاريخ التسليم للصيغة النهائية للمادة
possui uma editora	وقد ناشر
diploma de revisão	دبلوم المراجعة
data de anúncio de aceitação	تاريخ الإعلان عن القبول
data de submissão de resumo	تاريخ تقديم موجز
foi um comitê de conferência	كانت "لجنة المؤتمر"
foi um comitê diretivo de conferência	كان "مؤتمر اللجنة التوجيهية"
ministra apresentações	عروض وزير
foi atribuída uma preferência de revisão	تم تعيين تفضيل للاستعراض
publica	وتنشر
foi um co coordenador de	كان منسق
foi um membro de	وكان عضوا في
possui um co coordenador	وقد شارك منسق
revisa	ملاحظات
pertence a um volume da conferência	ينتمي إلى وحدة تخزين المؤتمر
possui autores	ميزات الكتاب
possui um comitê organizador	لجنة التنظيم
é ministrada por	وترد عليه
possui datas importantes	تواريخ هامة
