person	人
gebot	吩咐
vorsitzender des programm-komitees	程序委员会主席
gegenstandsbereich	范围
gutachten	意见
externer gutachter	外部评价员
meta-gutachater	元-gutachater
akzeptanz	验收
dokument	文档
konferenzbeitrag	会议的贡献
stellvertretender vorsitz	在副座
programm-komitee	程序委员会
entscheidung	决定
präferenz	偏好
mitglied des programm-komitees	程序委员会成员
abstrakt eines konferenzbeitrags	摘要的会议作出贡献
verfasser, der kein gutachter ist	作家，他是不是专家
zurückweisung	排斥反应
meta-gutachten (gutachten über ein gutachten)	元-意见 （意见的看法）
meta-gutachater (gutachter der gutachten begutachtet)	元-gutachater （专家意见进行审查）
meta-gutachten	元-意见
mitverfasser	合著者
teilnehmer einer konferenz	会议的与会者
gutachter	专家
vollständiger konferenzbeitrag	完整的会议费
konferenz	会议
administrator	管理员
benutzer	用户
vorsitzender	主席
verfasser	作者
vorsitzender der konferenz	会议主席
hat details eingefügt in bezug auf	已插入相对于细节
hat die zuordnung der beiträge abgeschlossen	已完成贡献的映射
hat zugewiesen	已分配给
druckt papierausdruck des mailing-manifests	打印纸张副本邮寄清单的
beitragszuordnungs-software ausgeführt von	通过运行 beitragszuordnungs 软件
zugewiesen zu	分配给
details eingefügt von	通过添加详细信息
beitragszuordnung abgeschlossen von	岗位任务，通过完成
gelesen von gutachter	阅读由专家
hat die beitrags-zuordnungssoftware ausgeführt	已进行的贡献 zuordnungssoftware
hat virtuelles treffen veranlasst	满足虚拟了
hat abgeglichen	已匹配
mitverfasst von	由创作
hat interessenskonflikt in bezug auf	在 interessenskonflikt 有
abgewiesen von	被拒绝
geschrieben von	发表于
virtuelles treffen veranlasst von	为首的虚拟会议
gelesen von meta-gutachter	读元审阅者所做
akzeptiert von	接受的
ist mitglied des programm-komitees	是委员会成员
hat beitrag geschrieben	写了贡献
hat die gebotsphase gestartet	开始投标阶段
kriterien zu gutachten eingefügt von	标准的意见由插入
hat papier abgelehnt	被拒绝的纸
bestimme maximale anzahl an zugewiesenen beiträgen	选择分配捐款的最大数目
ist entschieden worden als	它被定为
steht in interessen-konflikt mit beitrag	利益冲突与贡献
hat webseite an url	有的网站的 url
hat namen	具有名称
hat datum	有的日期
akzeptiert hardcopy-einsendungen	接受 hardcopy\r 提交
hat id	有的 id
maximale anzahl an zugewiesenen beiträgen	已分配捐款的最大数目
hat titel	有的标题
hat email	有的电子邮件
zugewiesen von administrator	由管理员分配
hat mitglied	有的成员
hat logo an url	有标志的 url
gutachten pro beitrag	每贡献的意见
zugewiesen von gutachter	指派的专家
hat akzeptiert	已接受
hat papier gelesen	阅读本文
hat gegenstandsbereich	有范围
papierausdruck des mailing-manifests gedruckt von	通过邮寄清单的打印的硬拷贝
ist zugeordnet worden	已订购到
teilnehmer von	从参与者
hat die zeit des begutachtens beendet	已完成评价的时间
hat hinzugefügt	添加
abgeglichen von	由匹配
hinzugefügt von	通过添加
hat teilnehmer	参与者
hat beitrag eingesendet	捐款提交了吗
hat beitrag mitverfasst	贡献撰写了吗
hat kriterien zu gutachten eingefügt	已添加标准的意见
gebotsphase gestartet von	投标阶段的开始
hat gutachten geschrieben	有书面意见
hat gebot erhalten	所吩咐 get
organisationsausschuss	组织委员会
herausgeber	发布者
konferenzankündigung	会议公告
passiver konferenzteilnehmer	被动的参与者
aufruf zu teilnahme	号召参与。
author eines regulären beitrags	定期作出贡献的作者
aushang	公告板
fachgebiet des gutachters	验证程序的专门知识领域
eingereichter beitrag	提交的贡献
ausschuss	委员会
erweitertes abstrakt	扩展的抽象
geschriebener beitrag	书面的贡献
regulärer beitrag	定期的贡献
konferenzteilnehmer, der einen beitrag geleistet hat	会议的参加者，已作的一个贡献，
workshop	讲习班
eingeladener referent	邀请的演讲者
internet der konferenz	互联网的会议
präferenz des gutachters	验证程序的首选项
konferenzgebühren	会议费
leiter der workshops	车间主任
primärer author eines beitrags	主要作者的贡献
koferenzdokument	koferenzdokument
stellvertretender vorsitzender	副主席
informationen für teilnehmer	参与者的信息
organisator	主办单位
präsentation	演示文稿
druckfertiger beitrag	druckfertiger 的贡献
eingeladener vortrag	受邀的演讲
fortschritte der konferenz	会议的进展情况
konferenzreihe	会议系列
konferenzbewerber, der die konferenzgebühr früh gezahlt hat	有早支付会议费的会议候选人
abstrakt	摘要
konferenzteilnehmer	会议的参加者
konferenzbewerber, der die konferenzgebühr spät gezahlt hat	已经晚了支付会议费的会议候选人
wichtiges datum	重要日期
konferenzbeteiligung	参加会议
tutorium	教程
ablauf der konferenz	会议的过期时间
angehörige des ausschusses	委员会的成员
angenommener beitrag	推定作出贡献
aktiver konferenzteilnehmer	积极的参与者
registrierter bewerber	注册的申请人
mitverfasser eines beitrags	合作作者的贡献
koferenzbewerber	koferenzbewerber
organisation	组织
programmausschuss	程序委员会
thema	主题
abschnitte der konferenz	部分的会议
konferenzbewerber, der die konferenzgebühr gezahlt hat	会议申请人支付会议费
steuerungsausschuss	督导委员会
begutachteter beitrag	审阅的贡献
aufruf für beiträge	捐款呼吁
abgelehnter beitrag	被拒绝的贡献
datum der einreichung des abstrakts	摘要提交的日期
hat e-mailadresse	具有电子邮件地址
ist am folgenden datum veröffentlicht worden	已经于发表了以下日期
hat name	有的名字
datum der druckfertigen einreichung ist	最后提交日期是
ort der konferenz	会议的地点
grad der gutachterpräferenz	只是专家的偏好
hat geschlecht	做爱
hat mitglieder	有成员
hat abfolge	有序列
ist anfangsdatum	是开始日期
anzahl der fortschritte der konferenz	数量的进展会议
ist eingereicht für	在提交
liefert konferenzbeitrag	会议的贡献
ausschuss der konferenz ist	会议委员会是
hat abschnitt	切断了
grad des fachgebiets des gutachters ist	验证程序的标的物的程度是
hat vornamen	具有给定的名称
datum der einreichung des kompletten beitrags ist	提交的完整的日期是贡献的
isbn der fortschritte ist	国际标准书号的进展是
hat nachnamen	有的姓氏
url der konferenz ist	会议 URL 是
ist enddatum	是结束日期
datum der akzeptanz-mitteilung ist	接受通知的日期是
hat fachgutachten	有专家的意见
ist ein präferiertes thema oder fachgebiet eines gutachters	是首选的主题或专业领域的专家吗
hat gutachten	有的观点
ist vorsitzender des ausschusses	是委员会主席
hat beitrag	有的贡献
ist teil der konferenzreihe	是会议系列的一部分
organisationsausschuss der konferenz ist	会议组委会
hat author	有作者
hält präsentation	控股演示文稿
ist ausschuss der konferenz	会议委员会
hat workshop-thema	讲习班的主题
ist ein präferiertes thema eines gutachters	这是专家的首选的主题
hat beitrag eingreicht	有的贡献 eingreicht
eingeladen von gutachter	特邀的专家
