puja	bod
aceptar	OK
autor	Auteur
versión completa del artículo	volledige versie van het artikel
meta revisión	doel beoordeling
miembro del comité de programa	Lid van het programma Comité
conferencia	Conferentie
administrador	Beheerder
miembro de la conferencia	Lid van de conferentie
área temática	thematische gebied
decisión	besluit
documento	document
revisor	Revisor
revisor externo	externe revisor
meta revisor	Meta revisor
artículo	Artikel
presidente del comité de programa	Voorzitter van het programma Comité
resumen del artículo	Samenvatting van het artikel
vice presidente	Vice-Voorzitter
presidente de la conferencia	De Voorzitter van de conferentie
coautor	mede-auteur
autor, no revisor	Auteur, geen revisor
comité de programa	Programma Comité
usuario	gebruiker
presidente	De Voorzitter
preferencia	voorkeur
rechazar	weigeren
revisión	beoordeling
persona	persoon
asigna revisor externo	toewijzen van externe revisor
es miembro del comité de programa	is een lid van het programma Comité
permite reunión virtual	virtuele vergadering kunt
envía el artículo	het item wordt verzonden
inicia la puja de los artículos	begint het bieden van artikelen
asignado por el revisor	toegewezen door de revisor
introduce criterios de revisión	beoordeling criteria invoert
los criterios de revisión han sido introducidos por	evaluatiecriteria zijn ingevoerd door
la puja de los revisores ha sido iniciada por	biedingen van revisoren is ingeleid door
detalles introducidos por	ingebracht door Details
asigna un número máximo de artículos a	een maximum aantal items aan toegewezen
rechazado por	verworpen door
redacta el artículo	artikel schrijven
redacta la revisión	Schrijf review
asignado por el administrador	toegewezen door de beheerder
es miembro de la conferencia	is een lid van de conferentie
modificada por	gewijzigd door
asignar revisor	revisor toewijzen
añadido por	toegevoegd door
asignado a	toegewezen aan
tiene miembro de la conferencia	lid conferentie heeft
tiene área temática	heeft onderwerpsgebied
gestiona las herramientas para la asignación de artículos	Het beheert de tools om de toewijzing van items
la asignación de artículos ha sido finalizada por	de toewijzing van artikelen is voltooid door
tiene autor	heeft auteur
finaliza la asignación de artículos	eindigt de toewijzing van items
tiene puja	heeft geboden
leído por el meta revisor	gelezen door revisor meta
tiene decisión	besluit heeft
reunión virtual mediante	met behulp van virtuele meeting
lee el artículo	Lees het artikel
