programový výbor	Programma Comité
dokument	document
autor	de auteur van de
administrátor	Beheerder
článek	Artikel
rozhodnutí	het besluit van de
osoba	de persoon
spoluautor	mede-auteur
zamítnutí	de afwijzing van
preference	voorkeuren
meta-recenzent	Meta-revisor
předmětná oblast	het gebied in kwestie
řádný článek	een echt artikel
předseda programového výboru	de Voorzitter van het programmacomité
recenzent	Revisor
autor který není recenzent	de auteur is niet een revisor
osoba s účastí na konferenci	de persoon met de deelname aan de conferentie
předseda	de Voorzitter van de
krátký článek	een kort artikel
externí recenzent	externe revisor
uživatel	gebruiker
recenze	Beoordelingen
vyjádření zájmu	expressie van belang
meta-recenze	Meta-beoordelingen
konference	Conferentie
přijetí	de aanneming van de
spolupředseda	Co-voorzitter van de
člen programového výboru	Lid van het programmacomité
předseda konference	de Voorzitter van de conferentie
člen konference	Lid van de conferentie
přidán člen programového výboru	toegevoegd lid van het programmacomité
odeslání článku	Submit een artikel
má vyjádření zájmu	de expressie van belang
přidělen meta-recenzent recenzentovi	toegewezen aan de meta-revisor revisor
upravit vyjádření zájmu	Bewerk de expressie van belang
článek napsal	Artikel geschreven door
přidělen recenzent administrátorovi	de revisor is toegewezen aan de beheerder
nástroj pro přídělení příspěvků spuštěn kým	přídělení instrument voor bijdragen gelanceerd door
zahájil vyjadřování zájmu recenzentů	reacties van belangstellenden gelanceerd de revisoren
zamítnut kým	verworpen door
spoluautor příspěvku	mede-auteur van de bijdrage van
podrobnosti vloženy kým	de gegevens ingevoerd door
zadání kritérií recenzí kým	Voer criteria die beoordelingen
přiděleno recenzentovi	die aan een revisor zijn toegewezen
označil konflikt zájmu	genaamd het belangenconflict
článek přečten recenzentem	artikel lezen revisor
přidělen recenzent	een revisor toegewezen
dokončit přidělení příspěvků konference	om te voltooien de verdeling van de bijdragen aan de conferentie
má člena konference	heeft een lid van de conferentie
vyjádření zájmu upraveno	expressie van belang door
přidělení příspěvků dokončeno kým	de verdeling van de bijdragen die voltooid
má spoluautora	mijn mede-auteur
článek přečten meta-recenzentem	artikel gelezen meta-revisor
má rozhodnutí	het besluit van de
má konflikt zájmu s příspěvkem	heeft een belangenconflict met de bijdrage van de
pojednává o tématu	het onderwerp bespreekt
spustil přidělování článků konference	de toewijzing van conferentie artikelen verlaagd
napsal článek	schreef het artikel
recenze napsána kým	beoordeling geschreven door
má člena programového výboru	is een lid van het programmacomité
recenzuje článek	artikel beoordelingen
napsal recenzi	schreef een recensie
uzavřít recenzi	tot slot de herziening
vložit podrobnosti konference	De details van de conferentie invoegen
umožnit virtuální schůzku konferenci	virtuele vergaderingen conferentie inschakelen
akceptovány příspěvky konference pro tisk	aanvaarde bijdragen van de Conferentie om af te drukken
článek má název	het artikel heeft een naam
má email	mijn e-mail
článek má id	het artikel heeft een id
čte článek	Lees het artikel
přijato kým	Wie heeft ontvangen
přidělení členů programového výboru administrátorem	de toewijzing van leden van het directiecomité door de beheerder
zamítnul článek	geweigerde artikel
virtuální schůzka konference umožněna kým	virtuele vergadering conferentie mogelijk gemaakt door
vložit kritéria recenze	Invoegen van een herziening van de criteria
vyjadření zájmu spuštěno kým	vyjadření belang veroorzaakt door
přidělen externí recenzent	toegewezen aan een externe revisor
brožury vytištěny kým	brochures gedrukt door
tisk brožur konference	boekje afdrukken conferenties
přijal článek	aanvaarde artikel
přidat člena programového výboru	een lid van het Comité programma toevoegen
nastavil maximální počet recenzí	instellen van het maximum aantal beoordelingen
logo konference má url	het logo van de conferentie heeft een url
konference má recenzí na článek	de conferentie heeft beoordelingen op artikel
má jméno	mijn naam
