président associé	Заместитель Председателя
utilisateur	пользователь
thème	Тема
préférence	предпочтения
rejet	отказ
document	документ
relecteur	Рецензент
président du comité de programme	Председатель Комитета программы
acceptation	признание
décision	решение
président	Президент
président de la conférence	Председатель Конференции
co-auteur	соавтор
méta-relecteur	Мета рецензент
version complète de l'article	Полная версия статьи
auteur qui n'est pas relecteur	Автор, который не является оппонентом
membre du comité de programme	Член Комитета программы
administrateur	Администратор
résumé de l'article	Резюме статьи
auteur	Автор
membre de la conférence	Член Конференции
article	Статьи
proposition	предложение
conférence	Конференция
méta-révision	Мета редакция
révision	Редакция
personne	человек
relecteur externe	внешний рецензент
comité de programme	Программный комитет
ajouté par	Добавил(а)
finalise la révision	завершает пересмотр
outils d'attribution d'article exécutés par	Статья именования инструментов, применяемых
attribution d'article finalisé par	статья завершена, назвав
article a un auteur	Статья имеет автора
critères de révision remplis par l'administrateur	пересмотр критериев администратором
relecteur écrit la révision	Рецензент написал пересмотр
article attribué au relecteur	Статья приписывается рецензент
définit nombre maximum d'articles	Задает максимальное число элементов
co-écrire article	Сопредседатель записи статьи
administrateur rejette l'article	Администратор отвергает статьи
article a une proposition	Статья имеет предложение
article lu par relecteur	Статья читать рецензента
attribue relecteur	Назначение рецензента
identifier d'article	определить статьи
titre	Название
nom	имя
logo url	логотип URL-адрес
article a un co-auteur	Статья имеет соавтор
administrateur imprime publipostage	Администратор печати слияния
date	Дата
nombre maximum d'articles	Максимальное число элементов
courriel	электронной почты
accepte soumissions d'articles en papier	принимает документ представлений
url du site	URL-адрес сайта
commentaires par article	Комментарии к статье
révision écrite par	Обзор написан
proposition ajustée par	предложение, регулируется
article a une décision	Статья имеет решение
relecteur a été attribué à un papier	рецензент был назначен к бумаге
ajuste proposition	регулирует предложение
proposition de révision commencé par l'administrateur	Предлагаемый пересмотр начал администратором
permettre réunion virtual	Разрешить виртуальные совещания
article a un thème	Статья имеет темы
finalise l'attribution d'article	Завершает назначение статьи
commence l'attribution d'article aux relecteurs	начинается распределение пункта Отзывы
attribué par l'administrateur	назначенные администратором
administrateur accepte article	Администратор принимает статьи
article lu par meta-relecteur	Статья читать мета рецензент
attribue relecteur externe	назначает внешнего рецензента
relecteur lit l'article	Рецензент читает статью
saisi les détails de la conférence	до сведения о Конференции
détails de la conférence saisis par l'administrateur	Подробности конференции вошел администратор
réunion virtuelle activé par l'administrateur	виртуальные совещания включена администратором
a conflit d'intérêt	конфликт интересов
exécute l'outils d'attribution d'article	выполнение статьи, переименование инструмент
comité de programme a membre	Член Комитета программы
saisi les critères de la révision	перед критерии обзора
auteur soumet un article	Автор направляет статью
auteur écrit un article	Автор написал статью
ajoute membre du comité de programme	Добавляет член Комитета программы
article rejeté par l'administrateur	Статья отклонена администратором
attribué par le relecteur	назначается рецензент
conférence a un membre	Конференция имеет член
article accepté par	Статьи, принятые
marque conflit d'intérêt	Марк конфликт интересов
publipostage imprimés par	Прямая почтовая рассылка, отпечатано
la conférence invitée	Конференция предложила
track de la conférence	трек конференции
conférencier invité	гость
demandeur qui a payé les frais d'inscription	заявитель, оплативший регистрационный взнос
sujet or thème	Тема или темы
contribution régulière	регулярные взносы
participant de la conférence	участник конференции
demandeur  enregistré	заявитель зарегистрирован
président d'atelier track	Президент семинар трек
appel à communication	Звонок для бумаг
demandeur qui a payé les frais d'inscription precoce	заявитель, кто заплатил раннего регистрационный взнос
contribution régulière (long)	регулярные взносы (длинный)
tutoriel	Учебник
poster	Плакат
résumé étendu	Расширенное резюме
contribution revisée	вклад пересмотрен
organisation	Организации
demandeur (inscrit) enregistré	зарегистрированные (зарегистрированные) заявитель
comité d'organisation	Организационный Комитет
dates importantes	важные даты
contributeur de la conférence	вклад Конференции
comité de pilotage	Руководящий комитет
frais d'inscription	Регистрационный взнос
série de la conférence	Серия лекций
appel à participation	призыв к участию
participant actif de la conférence	Активный участник конференции
résumé	Резюме
version finale de la contribution	окончательный вариант вклада
contribuition à la conférence	contribuition конференции
expertise du relecteur	опыт рецензента
auteur régulier	регулярный автор
co-auteur de la contribution	соавтор вклада
membre du comité	Член Комитета
information aux participants	Информация для участников
document de la conférence	документ Конференции
prèmier auteur de la contribution	Основной автор вклада
préférence sur la révision	предпочтение редакция
contribution écrite	письменный вклад
contribution rejetée	вклад отклонил
actes de la conférence	Труды конференции
annonce de la conférence	объявление о Конференции
atelier	Мастерская
partie de la conférence	часть конференции
comité	Комитет
conférence www	www конференции
contribution acceptée	вклад принимаются
editeur	Редактор
demandeur qui a payé les frais d'inscription tardive	заявитель, кто заплатил взнос за несвоевременную регистрацию
contribution soumise	представленные на сайте
participant passif de la conférence	Пассивный участник конференции
présentation	Презентация
demandeur de participation dans la conférence	заявителя на участие в Конференции
co-président	Сопредседатель
organisateur	Организатор
a un isbn	имеет isbn
a sexe	секс
a un nom	имеет имя
url du site web de la conférence est	URL-адрес веб-сайта Конференции
est une date de soumission de résumé	Это Дата подачи тезисов
est une date de début	Это Дата начала
est une date de fin	Это Дата окончания
a un courriel	имеет электронное
est une date de soumission de la version finale	Дата представления окончательного варианта
a un lieu	имеет место
a une date de publication	Дата публикации
a le nom	имя
a le prénom	имя
est une date d'annonce de l'acceptation	объявления по дате принятия
a une expertise (degré d'expertise du relecteur)	имеет опыт (степень опыта проверяющего)
a un numéro de volume	имеет номер тома
a un président d'atelier	Председатель рабочего совещания
a un relecteur	имеет рецензент
a un degré de préference de révision	степень предпочтения редакция
est une date de soumission de la version complète	Это дата для представления полной версии
contribue à la conférence	вклад Конференции
a une expertise de révision	имеет опыт для обзора
révise une contribution	пересматривает свой вклад
était un co-président de comité de	был сопредседателем Комитета
a un comité de pilotage	имеет Руководящий комитет
a un co-président de comité	был сопредседателем Комитета
a une référence ou une expertise de révision	имеет ссылку или обзор опыта
est la première partie de	Это первая часть
invite les co-relecteurs	Предлагает сотрудничество Отзывы
a des date importantes	важная дата
fait partie des volumes de la conférence	часть объемов конференции
a un comité de programme	имеет программу Комитета
a un sujet ou une contribution soumise	Тема или тема вклада
a des parties	(a) из сторон
était un président de comité de	был Председателем Комитета по
a des contributions	(a) о взносах
