ملخص البحث	Search summary
الكاتب المشترك	Joint author
مشرف	Admin
رئيس	The President of the
عضو المؤتمر	Member Conference
البحث	Search
وثيقة	Document
الكاتب 	Writer 
شخص	People
عضو في اللجنة العلمية	Member of the Scientific Committee
رئيس المرتبطة	President of associated
رئيس اللجنة العلمية	Chairman of the Scientific Committee
مؤتمر	Conference
أفضلية	Preference
مراجعة فوقية	Instant review
المراجع	References
القبول	Admission
المراجع الفوقي	Meta-references
موضوع المحور	Topic axis
الكاتب، الذي ليس المراجع	The author, who is not references
رئيس المؤتمر	The President of the Conference
المستخدم	User
مزايدة	Auction
لاشيء	Nothing
الرفض	Rejection
لجنة العلمية	Scientific Committee
قرار	Resolution
مراجعة	Review
النسخة الكاملة من البحث	The full version of the research
المراجع خارجي	External references
لديه عنوان	Has title
لديه اسم	Has a name
لديه التاريخ	Has history
لديه موقع على رابط	He has a website link
تقبل نسخة المرسلات	Accept CC posts
العدد الأقصى من الابحاث المسندة	The maximum number of researches cessions
لديه الشعار في رابط	Has the logo link
مراجعة/تعليقات لكل بحث	Review/comments for each search
لديه معرف	Has the ID
لديه عضو	Has Member
قبوله من قبل	Accepted by
قبوله من قبل 	Accepted by 
لديه بريد الكتروني	Has e-mail
يقبل	Accepts
إدخال التفاصيل حول	Enter details about the
علامة تضارب المصالح	The conflict of interest tag
مشترك في الكتابة	Shared writing
تمكين الاجتماع الظاهري	Enable virtual meeting
يضيف	Adds
كتابة البحث	Writing research
يعيين	Sets
معايير مراجعة أدخلت من قبل	Standards revision introduced by the
(... ،تم تقرير (ليكون مقبول، مرفوض	(... Was the report (to be accepted, rejected
أضافته من قبل	Added by
كتابته من قبل	Written by
استكمال احالة البحث	Complete referral search
احالة أدوات البحث مشغل من قبل	Referral search engine tools by
بدء تقديم العطاءات المراجع	Start bidding references
لديه مزايدة	Has bid
ارسال البحث	Send search
لديه تضارب في المصالح مع احترام	Has a conflict of interest with respect
تم تعيين	Been set
رفض من قبل	Rejected by
تفاصيل مدخلة من قبل	The details entered by
كاتب مشترك من قبل	Joint author
بدأ تقديم العطاءات المراجع من قبل	Bidding started references by
بدأ تقديم العطاءات المراجع من قبل 	Bidding started references by 
نسخة من البريد الالكتروني للمظاهرات مطبوعة من قبل	A copy of the email printed by demonstrations
تحديد مجموعة عدد أقصى من الابحاث المسندة 	Select the set maximum number of researches cessions 
تحديد مجموعة عدد أقصى من الابحاث المسندة	Select the set maximum number of researches cessions
قراءته من قبل مراجع	Read by references
تشغيل أدوات احالة البحث	Referral search tools
تشغيل أدوات احالة البحث  	Referral search tools  
قراءته من قبل مراجع الفوقي	Read by meta-references
المراجعة كتابية	Written review
تعيينه من قبل مشرف 	Assigned by admin 
تعيينه من قبل مشرف	Assigned by admin
ضبط	Adjust
اجتماع الظاهري ممكن من قبل	The virtual meeting is possible by
قراءة البحث	Read the research
إدخال معايير المراجعة	Enter criteria review
تعيين من اجل	Set for
احالة البحث منتهي من قبل	Referral search finished by
لديه موضوع المحور	Has the topic hub
تعديله من قبل	Modified by
بحث مرفوض	Search is denied
وقت إنتهاء مراجعة	The end time of the revision
مسند من قبل مراجع	Footrest by references
طباعة نسخة من البريد الالكتروني للمظاهرات	Print a copy of the email for demonstrations
تاريخ مهم	History is important
وثيقة المؤتمر	Conference document
معلومات للمشاركين	Information for participants
مساهمة مرفوضة	The contribution is rejected
إعلان المؤتمر	Conference Declaration
مساهمة مرسلة	The sent contribution
الرئيس المشترك	Joint President
منظم	Organizer
عضو  في اللجنة	Member of the Commission
طلب مقدم للمؤتمر	Request for Conference
افضلية المراجع	Preference reference
مشارك السلبي في المؤتمر	Participants in the Conference
رئيس مسار ورشة العمل	The head of the path workshop
المنظمة	Organization
العرض التقديمي	Presentation
نسخة جاهزة للتصوير مساهمة	Copy-ready camera input
مقدم الطلب مسجل	Applicant is registered
طلب مقدم للمؤتمر الذين دفعوا رسوم المؤتمر	Request for paid conference fees Conference
دعت الحديث	Invited talk
الدعوة لتقديم الأبحاث	Call for research
مسار المؤتمر	Path Conference
اللجنة التوجيهية	The Steering Committee
ملخص موسع	An extended summary
مساهمة منتظمة	Regular contribution
الناشر	Publisher
مساهمة مقبولة	Acceptable contribution
المؤتمر	Conference
البرنامج التعليمي	Tutorial
رسوم من اجل المؤتمر	Fees for the Conference
خبرة المراجع	Experience references
مساهمة للمؤتمر	Contribution to the Conference
اللجنة المنظمة	Organizing Committee
ورشة عمل	Workshop
المؤلف الأول للمساهمة	The first author to contribute to
اللجنة	Committee
الكاتب المشرك في المساهمة	Common contributing writer
المشارك في المؤتمر	Participating in the Conference
اللجنة العلمية	The Scientific Committee
الملخص	TS
طلب مقدم للمؤتمر الذي دفع مؤخرا رسوم المؤتمر	A request to Congress, which recently paid conference fees
مساهمة خطية	A written contribution
مساهمة مراجعة	Contribution audit
متحدث المدعو	Invited speaker
جزء من المؤتمر	Part of the Conference
مساهمة المؤتمر	Conference contribution
الموضوع	Topic
سلسله المؤتمر	Conference series
كاتب المساهمة	Contributing writer
مقدم الطلب المؤتمر الذي دفع في وقت مبكر رسوم المؤتمر	Applicant Conference which prompted early Conference fee
شبكة الإنترنت العنكبوتية للمؤتمر	Spider Web Conference
دعوة للمشاركة	Invitation to participate
ملصق	Poster
محضر المؤتمر	Minutes of the Conference
مشارك ايجابي في المؤتمر	A positive participant in the Conference
لديه اللقب	Has title
تاريخ ارسال البحث كامل	The date of sending the whole look
اليوم محطة	Today the station
لديه الجنس	Has sex
موقع المؤتمر	Conference site
 موقع شبكة الإنترنت العنكبوتية للمؤتمرهو	 Spider Web site llmo'tmerho
موقع شبكة الإنترنت العنكبوتية للمؤتمرهو	Spider Web site llmo'tmerho
درجة خبرة المراجع	Degree experience references
isbn محضر	The minutes of the isbn
لديه الاسم الأول	Has a first name
رقم حجم المحضر	Volume number record
انها اللجنة العلمية للمؤتمر	It's Scientific Committee
لديه البرنامج التعليمي	He has tutorial
لجنة المؤتمر هي	The Conference Committee is
لديه جزء	Has part
لديه تاريخ مهم	Has an important date
لديه موضوع ورشة عمل	Has the subject of workshop
مدعو من المراجع	Invited reviewer
تاريخ ارسال الملخصات	Date of submission of abstracts
درجة تفضيل مراجعة	The degree of preference revision
تاريخ الارسال بعد إجراء التعديل	Date sent after re-dimensioning
تاريخ البداية	Start date
تاريخ إخطار القبول	The date of the notification of acceptance
نشرت بتاريخ	Posted on
لديه رئيس اللجنة	Has the Chairman of the Committee
يساهم في المؤتمر	Participating in the Conference
لديه رئيس مشترك لللجنة	Has a Joint Committee Chairman
لديه الكاتب	Has the author
هو الرئيس المشترك للجنة	Joint Commission President
مساهمة المراجعة	Contribution audit
يجعل العرض التقديمي	Making presentation
هي لجنة المؤتمر	Are Conference Committee
مرسلة إلى	Sent to
لديه ملخص	Has summary
اللجنة المنظمة للمؤتمر هي	The Organizing Committee of the Conference
اللجنة التوجيهية للمؤتمر	The Steering Committee of the Conference
ينشر	Published
لديه مراجعة	Has the review
مقدم من قبل	Submitted by
تم تسنيد افضلية المراجعة	Securitization audit is the priority
اللجنة المنظمة للمؤتمر	The Organizing Committee of the Conference
لديه مساهمة	Has a contribution
