сборы конференции	رسوم المؤتمر
конференция	المؤتمر
участник конференции	مؤتمر الأطراف
приглашение к участию	دعوة للمشاركة
информация для участников	معلومات للمشاركين
досрочно оплативший участник	أوائل شراء الطرف
часть конференции	جزء من المؤتمر
организационная комиссия	اللجنة التنظيمية
активный участник конференции	مشاركة نشطة في المؤتمر
член комиссии	عضو في اللجنة
научный совет	المجلس العلمي
сборник трудов конференции	وقائع المؤتمر
приглашённый доклад	تقرير ضيف
организация	المنظمة
поданый труд	عمل بودانيج
выпуск конференции	المؤتمر الصحفي
развёрнутая аннотация	الخلاصة الموسعة
тема	الموضوع
рецензент	المراجع
секция	قسم
рецензия	استعراض
комиссия	لجنة
издатель	الناشر
интернет адрес конференции	عنوان إنترنت للمؤتمر
принятый труд	واعتمدت في العمل
пассивный участник конференции	مشارك السلبي من المؤتمر
требования к рецензии	متطلبات للاستعراض
отрецензированнй труд	عمل أوتريسينزيروفانج
информационное письмо	رسالة المعلومات
стенд	بوث
председатель	الرئيس
заявитель конференции	طالب المؤتمر
председатель секции, семинара	رئيس قسم، حلقة دراسية
автор	كاتب
отклонённый труд	رفض العمل
объявление конференции	إعلان مؤتمر
обучающий курс	دورة تدريبية
лицо	الشخص
соавтор работы	شارك في تأليف العمل
документ конференции	وثيقة المؤتمر
статья	المادة
приглашённый докладчик	المقرر الخاص
семинар	الحلقة الدراسية
организатор	منظم
важные даты	التواريخ الهامة
компетентность рецензии	ملاحظات الخبرة
труд конференции	مؤتمر العمل
аннотация	خلاصة
сопредседатель	الرئيس المشارك
презентация	العرض التقديمي
письменный труд	الأعمال الكتابية
1й автор работы	1 صاحب العمل
труд в окончательной версии	العمل بالنسخة النهائية
полный труд	إنجاز العمل
программный коммитет	لجنة البرنامج
лицо внесшее вклад в конференцию	الشخص وسم المساهمات المقدمة إلى المؤتمر
оплативший участник	شراء الطرف
поздно оплативший участник	تأخر شراء الطرف
зарегистрированный участник	حزب مسجل
пол	Paul
дата начала	تاريخ البدء
дата подачи аннотации	تاريخ تقديم شروح
степень	درجة
интернет-адрес	عنوان إنترنت
isbn	ISBN
место проведения	الملعب
выпуск	القضية
название	الاسم
дата окончания	تاريخ الانتهاء
адрес электронной почты	عنوان البريد الإلكتروني
являлся комиссией	وكان اللجنة
организационный комитет	اللجنة المنظمة
тема или поданный труд	موضوع أو عمل قدم
вносит вклад	يسهم في
председатель секции, семинара, обучающегокурса	رئيس قسم، حلقة دراسية، obučaûŝegokursa
кем приглашён	ودعت منظمة الصحة العالمية
дата объявления о приняти	تاريخ الإعلان على اتخاذ
дата подачи окончательной версии статьи	تاريخ الإيداع للصيغة النهائية للمادة
дата издания	تاريخ الإصدار
компетентность	الاختصاص
являлся программным комитетом	أنه بمثابة برنامج اللجنة
имя	الاسم
дата подачи полной статьи	تاريخ لعرض المقالة بالكامل
фамилия	اللقب
является темой частей конференции	هو الموضوع المؤتمرات أجزاء
секции	قسم
члены	الأعضاء
председатель комиссии	رئيس اللجنة
делает презентацию	عمل عرض تقديمي
приглашает ко-рецензентов	وتدعو إلى المراجعين
является 1й частью	هو الجزء الأول من
указано в требованиях к рецензии	تحديد الاحتياجات المتعلقة بملاحظات
рекоммендация рецензирования	استعراض rekommendaciâ
указано в выпуске конференции	جاء في بيان المؤتمر
рекоммендация рецензирования или компетентность	استعراض rekommendaciâ أو اختصاص
рецензирует	وينتقد
кем выполнена	قام
являлся членом	وكان عضوا
является частью выпусков конференции	جزء من القضية (s) للمؤتمر
являлся председателем секции, семинара	وكان رئيسا للقسم، الحلقة الدراسية
авторы	المؤلف
принадлежит рецензентам	مملوكة للمراجعين
являлся организационным комитетом	وكان تنظيم اللجنة
издаёт	وتنشر
части	جزء
являлся председателем комиссии	وكان رئيس اللجنة
обучающие курсы	الدورات التدريبية
подан в	في المقدمة
заместитель председателя комиссии	نائب رئيس اللجنة
являлся сопредседателем комиссии	الرئيس المشارك للجنة
тема секции, семинара, обучающего курса	قسم الموضوع، حلقة دراسية، دورة تدريبية
семинары	الحلقات الدراسية
являлся научным советом	وكان "المجلس العلمي"
труды	ترودي
документ	الوثيقة
предпочтение	الأفضلية
полная версия статьи	النسخة الكاملة من المادة
член конференции	مؤتمر الأعضاء
принятие	اعتماد
мета-рецензент	ميتا-المراجع
член программного коммитета	كعضو في لجنة البرنامج
решение	القرار الذي اتخذته
внешний рецензент	المراجع الخارجية
отклонение	الانحراف
аннотация статьи	المادة مجردة
пользователь	المستخدم
тематическая область	المجال المواضيعي
администратор	مدير البرنامج
мета-рецензия	ميتا--استعراض
ставка	معدل
соавтор	شارك في تأليف
председатель программного коммитета	رئيس لجنة البرنامج
председатель конференции	رئيس المؤتمر
автор не являющийся рецензентом	صاحب البلاغ ليست مراجع
заместитель председателя	نائب الرئيس:
интернет-адрес сайта	عنوان إنترنت لموقع ويب
заголовок	رأس
интернет-адрес логотипа	عنوان إنترنت للشعار
максимум статей	مقالات الحد الأقصى
идентификатор статьи	معرف المقالة
число	عدد
принимает печатные заявки	تقبل طلبات الطباعة
рецензенты статьи	مراجعين المادة
кем принято	أي شخص أخذ
кем написано	منهم كتب
отметить конфликт интересов	ملاحظة تضارب في المصالح
изменяет ставку	تغيير الرهان
внести детали конференции	لجعل تفاصيل المؤتمر
читает статью	يقرأ مقال
кем запущена программа назначения статей	الذي يقوم بتشغيل البرنامج المواد الوجهة
назначена кому	تعيين الذين
назначен администратором	يعين مدير البرنامج
кем добавлено	شخص ما نشرت
назначен рецензентом	تعيين المراجع
назначает внешнего рецензента	وتعين مراجع الخارجية
принимает статью	تقبل المادة
разрешить виртуальную встречу	يسمح الاجتماع الظاهري
пишет статью	يكتب المقالة
кем внесены детали	قام بالتفاصيل
закончить назначение статей	الانتهاء من تعيين المواد
назначена	عين
конфликт интересов	تضارب المصالح
кем введены критерии рецензирования	معايير المراجعة المستقدمين
кем закончено назначение статей	الذين انتهى تعيين المواد
установить максимум статей	مجموعة مواد كحد أقصى
написать статью в соавторстве	كتابة مقال في تأليف
добавляет члена программного коммитета	إضافة عضو إلى البرامج المحلية
назначает рецензента	تعين المراجع
подать статью	إرسال مقالة
внести критерии рецензирования	جعل معايير مراجعة
hardcopymailingmanifestsprintedby	هاردكوبيميلينجمانيفيستسبرينتيدبي
начало размещения ставок рецензента	بدء الرهان المراجع
отклоняет статью	وترفض المادة
пишет рецензию	يكتب استعراضاً
