偏爱	Präferenz
程序委员会成员	Mitglieder des Ausschusses-Programms
综合审稿意见	Allgemeine Bemerkungen
论文全文	Originalarbeiten
审稿人	Rezensent
非审稿人的作者	Autor des nicht-Prüfer
程序委员会主席	Vorsitzender des Ausschusses-Programms
文件	Datei
主席	Präsident
拒收	Ablehnen
论文摘要	Abstracts
合著者	Co-Autor
审稿意见	Kommentare
外部审稿人	Externe Bewertungen
论文	Papiere
录用	Mieten
会议	Konferenz
人员	Personal
大会主席	Präsident der Generalversammlung
副主席	Stellvertretender Vorsitzender
程序委员会	Programmkomitee
主题领域	Themenbereiche
会议成员	Mitglieder der Konferenz
投标	Ausschreibung
决定	Entscheidung
用户	Benutzer
管理人员	Führungskräfte
作者	Autor
综合审稿人	Synthese-Bewertungen
由之打印硬拷贝邮件舱单	Drucken Sie Hardcopy Manifeste mailing
修改后投标	Überarbeitete Ausschreibung
标注兴趣冲突	Anmerkung Interessenkonflikt
由审稿人审阅	Getestet von Bewertungen
指定审稿人	Gibt der Gutachter
是程序委员会成员	Mitglieder des Ausschusses-Programms
拒收论文	Abgelehnte Papiere
是会议成员	Sind Mitglieder der Konferenz
由之拒收	Von abgelehnt
开始审稿投标	BEGIN, Gebot zu überprüfen
有投标	Ausschreibung
由管理人员指定	Von den Managern angegeben
设置最多论文数	Legt die maximale Anzahl von Papier
阅读论文	Lesen Sie den Aufsatz
有兴趣冲突	Interessenkonflikt
由之录入详情	Durch die Eingabe von Informationen
由审稿人指定	Durch den Bearbeiter angegeben
录入会议详情	Aufnahme-Informationen über Sitzungen
打印硬拷贝邮件舱单	Drucken Sie Hardcopy Manifeste mailing
录入审稿标准	Manuskript Eintrag Normen
运行论文分派工具	Führen Sie die Papier-Zuordnung-tools
由之启动虚拟会议	Durch den Start der virtuellen Konferenz
合著	Co-
有会议成员	Mitglieder der Konferenz
撰写审稿意见	Schreiben Kommentare
由之撰写	Geschrieben von der
论文分派定稿	Finalisierung der zugewiesenen Papiere
电子信箱	E-Mail
日期	Datum
商标统一资源定址器	Speicherort der Marke uniform Ressource
论文序号	Diplomarbeit-Anzahl
接受硬拷贝投稿	Hardcopy Einreichungen zu akzeptieren
网站地址	Website-Adresse
每篇论文审稿意见数	Jedes Papier-Kommentare
最多论文数	Maximale Anzahl von Papier
录用论文	Angenommene Artikel
有主题领域	Themenbereiche
姓名	Der name
标题	Titel
有作者	Es ist ein Autor
论文分派工具由之运行	Papier Zuweisung Tool ausführen
由之增补	Durch die Aktualisierung
结束审稿	Ende Bewertung
撰写论文	Schreibpapier
分派给	Zuweisen
由之录用	Durch die Einstellung
由综合审稿人审阅	Getestet von allgemeine Bewertungen
有决定	Hat entschieden
论文分派由之定稿	Finalisierung des Papiers von zugewiesen
审稿人投标始于	Gutachter bieten beginnt
由之录入审稿标准	Manuskript Eintrag Normen
有合著者	Co-Autor
启用虚拟会议	Virtuelle Meetings aktivieren
修改投标	Gebote zu ändern
增补程序委员会成员	Patch für Mitglieder des Ausschusses
投稿	Einreichung
有程序委员会成员	Ein Ausschussmitglied-Programm
有分派论文	Zugewiesene Arbeit
指定外部审稿人	Geben Sie die externe Gutachter
研讨会	Seminar
会议论文集	Proceedings of the Conference
已注册申请人	Registrierte Bewerber
与会者	Teilnehmer
审稿优先选择	Peer-Review-Einstellungen
特邀报告	Eingeladene Vorträge
被动与会者	Passive Teilnehmer
主题	Thema
投稿第一作者	Erste Autor Vorlage
征文启事	Papiere-
会议文件	Tagungsunterlagen
联合主席	Vorsitzender des Gelenks
会议网站	Treffen-Website
主动与会者	Aktive Teilnehmer
组织	Organisation
会议卷册	Konferenz-Bände
研讨会主席	Vorsitzender des Seminars
被审稿件	Testversion-Manuskript
正规投稿	Regelmäßige Beiträge
报告	Bericht
会议部分	Segment
与会者信息	Teilnehmerinformationen
提前付费申请人	Antragsteller im Voraus zu bezahlen
会议申请人	Treffen des Antragstellers
组织者	Organisatoren
会议投稿人	Konferenz-Mitwirkende
指导委员会	Das Steering Committee
摘要	Zusammenfassung
委员会	Ausschuss
教程	Lernprogramm
特邀报告人	Keynote-Speaker
正规作者	Regelmäßige Autoren
录用稿件	Abschnitt zu mieten
审稿专长	Peer-Review-Kompetenz
