comitê de programa	程序委员会
coordenador do comitê de programa	程序委员会协调员
meta revisão	meta 审查
meta revisor	meta 审阅者
administrador	管理员
área temática	专题区
conferência	会议
coordenador geral do evento	事件的总协调员
usuário	用户
decisão	决定
autor não revisor	作者审阅者
membro participante da conferência	会议成员的参与者
autor	作者
resumo do artigo	文章的摘要
versão completa de artigo	完整版本的文章
propostas	建议
pessoa	人
documento	文档
co autor	co 作者
rejeição	排斥反应
coordenador da conferência	会议协调员
revisor	审阅者
preferência	偏好
coordenador associado do evento	将相关联事件协调的员
revisão	审查
membro do comitê de programa	程序委员会成员
revisor externo	外部审查员
aceitação	验收
artigo	第条
artigo escrito	写篇文章
ajustar o pedido de revisão	调整请求复审
pedido de revisao ajustado	修订组的请求
critérios de revisão introduzidos por	介绍了通过审查标准
tem email	有的电子邮件
tem data	有一个日期
leitura de artigo	阅读的文章
reunião virtual habilitada por	由启用的虚拟会议
atribuição de um artigo finalizada por	由终止第条转让
escrever um artigo com	写一篇文章
adicionar um membro do comitê de programa	添加程序委员会的成员
adicionado por	通过添加
possui conflito de interesses	有利益冲突的
executar ferramentas de atribuição de artigos	执行分配的工具条
possui autor	有作者
revisão realizada	进行的审查
tem nome	有一个名字
máximo de artigos	最大文章
revisões por artigo	每篇文章的修改
tem título	有的标题
tem site	有的网站
tem código do artigo	有项目的代码
aceita submissões impressas	接受提交打印
url	url
ferramentas de atribuição de artigos executadas por	由执行的工具条分配
escrito por	写的
permitir uma reunião virtual	允许虚拟会议
atribuir um revisor	分配审阅者
leitura realizada po um revisor	阅读举行大埔审阅者
membro da conferência	该会议的成员
iniciar pedidos de revisão	发起请求的审查
atribuído para	分配给
possui um membro do comitê de programa	有程序委员会的成员
inserir detalhes	插入详细信息
envio de artigos	发送文章
possui uma área	它的面积有
possui pedido de revisão	审查功能请求
revisão final	最后审查
leitura realizada por um meta revisor	举行的审阅者所做的阅读
artigo aceito	接受的文章
aceito por	接受的
membro do comite de programa	程序委员会成员
pedidos de revisão iniciados por	审查请求发起的
possui decisão	自己的决定
possui atribuição	有归属
inserir os detalhes da conferência	输入会议的详细信息
finalizar as atribuições dos artigos	最后确定归因关系的文章
artigo rejeitado por	文章被拒绝
atribuir um revisor externo	分配外部的审阅者
atribuído pelo administrador	由管理员分配
inserir os critérios das revisões	输入标准的修订
impressão de documentos de envio de volume de correio	从发送邮件量打印文档
rejeitar artigo	拒绝条
mala  direta	邮件合并
marca um conflito de interesse	标记的利益冲突
atribuído pelo revisor	分配的审阅者
definição do número máximo de artigos	设置文章的最大数目
possui participante da conferência	有会议的结束
volume da conferência	会议的卷
participante pago	参与者支付
anúncio de conferência	会议公告
site da conferência	会议网站
primeiro autor da contribuição	第一作者的贡献
participante da conferência	会议的参与者
membro do comitê	委员会的成员
participante pago antecipado	预付费的参与者
comitê	委员会
contribuição revisada	经修订的贡献
participante ativo da conferência	会议的积极参与者
contribuinte à conferência	捐助者会议
co autor da contribuição	co 作者的贡献
contribuição escrita	书面的贡献
workshop	讲习班
tutorial	教程
contribuição à conferência	对会议的贡献
organizador	主办单位
documento da conferência	会议的文件
parte da conferência	会议的一部分
contribuição aceita	接受的贡献
participante pago atrasado	参与者的迟到付出
informações aos participantes	参与者的信息
organizacão	组织
contribuição submetida	提交的贡献
editora	发布者
especialidade de revisão	专业审查
palestra convidada	受邀的演讲
co coordenador	co 协调员
chamada para participação	号召参与。
apresentação	演示文稿
contribuição de artigo completo	整篇文章的贡献
versão final da contribuição	最终版本的所作的贡献
participante registrado	参与者注册
taxa de inscrição da conferência	会议注册费
resumo estendido	WIP
tópico	主题
preferência de revisão	审查偏好
datas importantes	重要日期
comitê diretivo	督导委员会
trilha da conferência	会议跟踪
resumo	摘要
participante passivo da conferência	会议的被动参与者
chamada de trabalhos	征稿通知
contribuição rejeitada	被拒绝的贡献
coordenador de trilha de workshop	跟踪协调员讲习班
comitê organizador	组织委员会
anais da conferência	会议论文集
palestrante convidado	客座讲师
coordenador geral	总协调员
participante de conferência	会议结束
possui nome	有的名字
data de submissão de resumo	摘要提交的日期
