chairman	主席
person	人
paper	纸
rejection	排斥反应
author who is not a reviewer	作者不是审阅者
meta reviewer	meta 审阅者
meta review	meta 审查
member of program committee	程序委员会委员
decision	决定
author	作者
document	文档
program committee	程序委员会
full version of paper	完整版本的纸
abstract of paper	论文摘要的
chair of program committee	程序委员会主席
reviewer	审阅者
conference	会议
acceptance	验收
bid	出价
conference chair	会议椅
co author	co 作者
adminstrator	管理员
subject area	主题区域
preference	偏好
external reviewer	外部审查员
associated chair	相关联的椅子
member of conference	会议的成员
user	用户
review	审查
has title	有的标题
reviews per paper	每篇论文的评论
details entered by	输入的详细信息
hardcopy of mailing manifests printed by	邮寄清单的硬拷贝打印的
read paper	阅读本文
written by	写的
set maximal number of assigned paper	设置最大数量的任务了
submit paper	提交文件
read by meta reviewer	读元审阅者所做
has member	有的成员
has name	有的名字
has website at url	有的网站的 url
has date	有的日期
maximal number of assigned papers	指定的论文的最大数目
accepts hardcopy submissions	接受硬拷贝意见书
has id	有的 id
has logo at url	在 url 有标志
has email	有的电子邮件
review criteria entered by	由输入的审查标准
mark conflict of interest	马克的利益冲突
accepts	接受
assigned by reviewer	分配的审阅者
start reviewer bidding	开始审阅投标
add	添加
has bid	已出价
assign	分配
rejected by	被拒绝
co written by	co 写的
virtual meeting enabled by	由启用的虚拟会议
co write	co 写
added by	通过添加
has subject area	有主题区域
paper assignment finalized by	最后定稿的论文作业
adjust	调整
assigned by admin	由管理员分配
end reviewing time	结束审查时间
enter review criteria	输入审查标准
reject paper	拒绝纸
read by reviewer	阅读由审阅者
has been assigned	已分配
write paper	写论文
reviewer bidding started by	审阅者投标开始由
run paper asignmedt tools	运行纸 asignmedt 工具
accepted by	接受的
has conflict of interest with respect to	有关于利益冲突
assigned to	分配给
enable virtual meeting	启用虚拟会议
enter details on	输入的详细信息
has been decided (to be accepted rejected )	已决定 （接受被拒绝）
print hardcopy mailing manifests	打印硬拷贝邮寄清单
write review	写检讨
paper assignment tools run by	由纸作业工具运行
finalize paper assignment	完成论文作业
adjusted by	通过调整
co chair	co 的椅子
conference announcement	会议公告
contributor for conference	派遣国会议
applicant for conference	会议的申请人
steering committee	督导委员会
submitted contribution	提交的贡献
participant of conference	会议的参与者
conference contribution	会议的贡献
topic	主题
workshop	讲习班
organizer	主办单位
tutorial	教程
proceedings of conference	会议论文集
regular contribution	定期的贡献
call for paper	征集论文
track of conference	会议的轨迹
chair of workshop track	车间轨道的椅子上
active participant of conference	会议的积极参与者
camera ready version of contribution	相机准备好版本的贡献
committee	委员会
presentation	演示文稿
web of conference	网络的会议
poster	海报
expertise of reviewer	审阅者的专门知识
conference serie	会议意甲
conference document	会议文件
rejected contribution	被拒绝的贡献
applicant for conference who early paid conference fee	早支付会议费的会议申请人
extended abstract	扩展的抽象
invited talk	特邀的演讲
call for participation	号召参与。
publisher	发布者
information for participants	参与者的信息
organization	组织
first author of contribution	第一作者的贡献
registered applicant	申请登记的人
applicant for conference who paid conference fee	支付会议费的会议申请人
member of committee	委员会的成员
abstract	摘要
written contribution	书面的贡献
important date	重要日期
invited speaker	邀请的演讲者
reviewed contribution	审查的贡献
fee for conference	会议费用
preference of reviewer	审阅者的偏好
applicant for conference who lately paid conference fee	最近支付会议费的会议申请人
chair	椅子
co author of contribution	co 作者的贡献
author of contribution	作者的贡献
part of conference	会议的一部分
passive participant of conference	会议的被动参与者
accepted contribution	公认的贡献
organizing committee	组织委员会
is program committee of conference	是会议的程序委员会
submitted to	提交
has been assigned review preference	已分配审查偏好
has committee chair	有委员会主席
is part of conference	是会议的一部分
invites co reviewer	邀请 co 审阅者
program committee of conference is	会议的程序委员会是
is the first part of	是的第一部分
is co chair of committee	是委员会联合主席
topic related to review preference	有关审查偏好的话题
preference or expertise of review is	偏好或专门知识是审查的
invited by reviewer	邀请的审阅者
is workshop chair of	是的车间椅子
has tutorial	有教程
has submitted contribution	已提交的贡献
isbn of proceedings	国际标准书号的诉讼程序
has surname	有的姓氏
published on date	发表日期
has first name	有的第一个名字
date of full paper submission	论文全文提交日期
url of conference web is	会议网站的 url 是
date of camera ready submission	相机准备好提交的日期
terminal day	终端的一天
contributes to conference	会议贡献
committee of conference is	会议委员会是
important date of conference serie	重要日期的会议意甲
publishes	出版
makes presentation	使演示文稿
has review	已审查
is organizing committee of conference	组织委员会的会议
has topic or submission contribution	已提交或主题的贡献
expertise degree of reviewer	专业知识程度的审阅者
degree of review preference	审查偏好的程度
has e mail	具有电子邮件
has gender	有性别
date of acceptance notification	接受通知的日期
starting date	开始日期
location of conference	会议的位置
date of abstract submission	抽象提交日期
volume number of proceedings	卷号的诉讼程序
organizing committee of conference is	会议组织委员会是
is member of	是的成员
is committee of conference	是委员会
has part	有的部分
publisher of proceedings is	诉讼程序的发布者是
has abstract	具有抽象
is chair of committee	是委员会主席
has track	有的轨道
has workshop chair	有车间椅子
is steering committee of conference	是会议指导委员会
has committee co chair	有委员会共同主持
has contribution	有的贡献
