bod	Gebot
onderwerp	Thema
auteur niet-recensent	Autor nicht-Prüfer
medevoorzitter	Ko-Vorsitzende
conferentievoorzitter	Konferenz-Präsident
artikel	Artikel
persoon	Person
volledig artikel	ganzen Artikel
recentie	Bewertung
conferentie	Konferenz
coauteur	Co-Autor
beslissing	Entscheidung
afwijzing	Ablehnung
programmacommissie	Programmausschuss
conferentielid	conferentielid
voorzitter programmacommissie	Vorsitzender Programmausschuss
gebruiker	Benutzer
programmacommissie lid	Program Committee Member
voorkeur	Präferenz
acceptatie	Akzeptanz
recensent	Rezensent
document	Dokument
beheerder	Administrator
externe recencent	externer Gutachter in Amazon
synopsis	Übersicht
auteur	Autor
metarecentie	metarecentie
metarecensent	Meta-Kritiker
voorzitter	Präsident
paper id	Papier-id
datum	Datum
gebruik artikel toewijzings tool	Verwenden Sie Element-Zuteilung-tool
heeft coauteur	hat zusammen
heeft auteur	hat Autor
hardcopy verstuurbewijs afgedrukt door	Hardcopy senden Beweis gedruckt von
maak toewijzing artikel af	Erstellen von Element-Verteilung
toegewezen door recencent	von Amazon Bearbeiter zugewiesen
recentie bieden begonnen door	gestartet von Test-Angebot
heeft belangenverstrengeling	hat Interessenkonflikte
website url	Website-url
accepteerd hardcopy submissies	akzeptiert Hardcopy Einreichungen
email	E-Mail
titel	Titel
logo url	Logo-url
naam	Name
maximum aantal artikelen	maximale Anzahl von Artikeln
recenties per artikel	Bewertungen pro Stück
aangepast door	geändert von
is toegekend	wird verliehen
lid van conferentie	Mitglied Konferenz
schrijf recentie	Schreiben Bewertung
details ingevuld door	Informationen über abgeschlossen
toekenning artikel tool gebruikt door	Preis Artikel-Werkzeug von verwendet
eindrecentie	eindrecentie
wijs artikel af	zeigen Sie auf Artikel
markeer belangenverstrengeling	Markieren Sie Interessenkonflikte
voeg programmacommissie lid toe	Program Committee Member hinzufügen
heeft conferentielid	hat conferentielid
gelezen door reviewer	Lesen von Rezensenten
wijs externe recencent toe	Amazon-Rezensent, auf externe hinzu
lid van programmacommissie	Mitglied des Programmausschusses
laat virtuele vergadering toe	Virtuelles treffen lassen
stel maximaal aantal artikelen in	Legen Sie maximale Anzahl von Elementen in
artikel gelezen	Artikel lesen
toegewezen aan	zugewiesen
geschreven door	Geschrieben von
schrijf artikel	Artikel schreiben
toegevoegd door	Hinzugefügt von
wijs recencent toe	Amazon-Rezensent Punkt hinzufügen
accepteer artikel	accept-Artikel
geaccepteerd door	von akzeptiert
dien artikel in	Dieser Artikel in
heeft beslissing	Entscheidung hat
heeft onderwerp	hat Betreff
begin recentie bieden	Anfang Bewertung Angebot
vul recentie criteria in	Prüfkriterien füllen
toekenning artikel afgemaakt door	Artikel von award
recentie criteria ingevuld door	Prüfkriterien von ausgefüllt
heeft programmacommisie lid	Programm-Komitee-Mitglied hat
heeft bod	Gebot hat
virtuele vergadering toegelaten door	virtuelles Treffen gesetzlich
toegewezen door beheerder	vom Administrator zugewiesen
afgewezen door	von abgelehnt
co-schrijf artikel	Co schreiben Artikel
pas bod aan	nur zu bieten
hardcopy verstuurbewijs	Hardcopy schicken
gelezen door metarecencent	Lesen von metarecencent
