person	persona
dokument	documento
präferenz	preferencia
verfasser, der kein gutachter ist	escritor no experto
meta-gutachten (gutachten über ein gutachten)	Meta - (opinión sobre una opinión)
meta-gutachten	Meta - opinión
mitverfasser	coautor
vorsitzender	Presidente
verfasser	Autor
vorsitzender der konferenz	Presidente de la Conferencia
vorsitzender des programm-komitees	Presidente del Comité de programa
meta-gutachater	Meta-gutachater
zurückweisung	rechazo
meta-gutachater (gutachter der gutachten begutachtet)	Meta-gutachater (dictamen pericial que revisado)
vollständiger konferenzbeitrag	inscripción en plena Conferencia
konferenz	Conferencia
gegenstandsbereich	Ámbito de aplicación
gutachten	opinión
externer gutachter	revisores externos
akzeptanz	aceptación
konferenzbeitrag	Contribución de la Conferencia
programm-komitee	Comité de programa
teilnehmer einer konferenz	participantes en una conferencia
gutachter	experto
benutzer	usuario
gebot	ordenado
stellvertretender vorsitz	Asiento adjunto en
entscheidung	decisión
mitglied des programm-komitees	Miembro del Comité de programa
abstrakt eines konferenzbeitrags	Resumen de una contribución de conferencia
administrator	Administrador
hat details eingefügt in bezug auf	ha insertado detalles en relación con
hat die zuordnung der beiträge abgeschlossen	ha completado el mapeo de las contribuciones
hat zugewiesen	ha asignado a
druckt papierausdruck des mailing-manifests	imprimir una copia de la lista de correo electrónico
beitragszuordnungs-software ausgeführt von	ejecuta el software de beitragszuordnungs por
zugewiesen zu	asignados a
details eingefügt von	información añadida por
beitragszuordnung abgeschlossen von	Misión completada por correo
gelesen von gutachter	leído por expertos
hat die beitrags-zuordnungssoftware ausgeführt	ha llevado a cabo la contribución zuordnungssoftware
hat virtuelles treffen veranlasst	encuentro virtual ha llevado
hat abgeglichen	ha coincidido con
mitverfasst von	autoría
hat interessenskonflikt in bezug auf	interessenskonflikt tiene en relación con
abgewiesen von	rechazado por
geschrieben von	Publicado por
virtuelles treffen veranlasst von	reunión virtual liderado por
gelesen von meta-gutachter	leído por revisor meta
akzeptiert von	aceptado por
ist mitglied des programm-komitees	es miembro del Comité de programa
hat beitrag geschrieben	ha escrito aporte
hat die gebotsphase gestartet	inició la fase de licitación
kriterien zu gutachten eingefügt von	Criterios de opinión insertada por
hat papier abgelehnt	papel rechazado
bestimme maximale anzahl an zugewiesenen beiträgen	Elija el número máximo de contribuciones asignadas
ist entschieden worden als	Se decidió como un
steht in interessen-konflikt mit beitrag	los intereses en conflicto con la contribución
hat webseite an url	tiene página web URL
hat namen	tiene el nombre
hat datum	tiene fecha
akzeptiert hardcopy-einsendungen	aceptar comunicaciones hardcopy\r
hat id	tiene id
maximale anzahl an zugewiesenen beiträgen	número máximo de contribuciones asignadas
hat titel	tiene título
hat email	cuenta de correo electrónico
zugewiesen von administrator	asignado por el administrador
hat mitglied	tiene un miembro
hat logo an url	tiene logotipo url
gutachten pro beitrag	opinión por contribución
zugewiesen von gutachter	asignado por los expertos
hat akzeptiert	ha aceptado
hat papier gelesen	periódico
hat gegenstandsbereich	tiene alcance
papierausdruck des mailing-manifests gedruckt von	copia impresa del correo electrónico que se manifiesta por
ist zugeordnet worden	se ha ordenado a
teilnehmer von	participantes de
hat die zeit des begutachtens beendet	ha terminado de aquel momento de valoración
hat hinzugefügt	añadido
abgeglichen von	igualada por
hinzugefügt von	Añadida por
