premier auteur de contribution	مساهمة البلاغ الأول
personne qui a payé les frais d'inscription en avance	الشخص الذي قام دفع رسوم التسجيل مسبقاً
comité d'organisation	تنظيم اللجنة
contribution écrite	مساهمة كتابية
co-auteur de contribution	شارك في تأليف مساهمة
thématique	الموضوع
contribution rejetée	مساهمة رفض
date importante	موعد هام
comité	اللجنة
contributeur de conférence	مؤتمر المساهم
annonce de conférence	إعلان مؤتمر
conférence	المؤتمر
expertise de relecteur	خبرة المراجع
co-président	الرئيس المشارك
contribution relue	مساهمة ردها
tutoriel	البرنامج التعليمي
personne qui a demandé à participer à une conférence	شخص الذين قد تقدموا بطلبات للمشاركة في مؤتمر
conférence www	www المؤتمر
participant actif de conférence	مشاركة نشطة في المؤتمر
préférence de relecteur	الأفضلية للمراجع
comité de pilotage	اللجنة التوجيهية
membre de comité	عضو اللجنة
session	الدورة
président de session d'atelier	رئيس ورشة عمل الدورة
poster	ملصق
président	الرئيس
conférencier invité	ضيف
frais d'inscription	رسوم التسجيل
appel à participation	دعوة للمشاركة
candidat enregistré	مرشح مسجل
contribution acceptée	مساهمة مقبولة
appel à communication	دعوة لتقديم أوراق
résumé étendu	ملخص الموسعة
personne	الشخص
participant de conférence	مشارك مؤتمر
rapport d'examen	تقرير الفحص
personne qui a payé les frais d'inscription tardivement	الشخص الذي قد دفع رسوم التسجيل المتأخر
partie de conférence	جزء من المؤتمر
editeur	محرر
présentation de conférencier invité	العرض الرئيسي
volume de conférence	حجم المؤتمر
relecteur	المراجع
résumé	ملخص
contribution ordinaire	مساهمة منتظمة
auteur ordinaire	كاتب العادية
atelier	ورشة عمل
document de conférence	ورقة المؤتمر
contribution soumise	مساهمة مقدم
contribution de conférence	مساهمة المؤتمر
version finale de contribution	الصيغة النهائية لمساهمة
personne qui a payé les frais d'inscription	الشخص الذي قد دفع رسوم التسجيل
information aux participants	معلومات للمشاركين
article	المادة
organisateur	منظم
participant passif de conférence	مشارك السلبي من المؤتمر
présentation	العرض التقديمي
actes de conférence	وقائع المؤتمر
comité de programme	لجنة البرامج
a pour isbn	أجل isbn
est la date de fin	هو تاريخ انتهاء
a pour courriel	للبريد الإلكتروني
est la date de soumission de résumé	هو تاريخ لتقديم خلاصة
est la date de début	هو تاريخ البدء
a pour date de publication	تاريخ النشر
a pour nom	لاسم
est la date de soumission de la version finale	هو تاريخ تقديم النسخة النهائية
a pour url	لعنوان url
a pour genre	لنوع
