документ	documento
конференция	Conferência
отклонение	desvio
администратор	Administrador
председатель конференции	o Presidente da conferência
председатель	Presidente
мета-рецензент	Meta-revisor
аннотация статьи	Resumo artigo
председатель программного коммитета	Presidente do Comité de programa
автор не являющийся рецензентом	o autor não é um revisor
программный коммитет	Comitê de programa
предпочтение	preferência
мета-рецензия	Meta-resenha
рецензия	Resenha do livro
внешний рецензент	revisor externo
статья	Artigo
ставка	taxa de
полная версия статьи	a versão completa do artigo
член конференции	Membro da conferência
принятие	a adopção de
решение	solução
рецензент	Revisor
автор	autor
член программного коммитета	como um membro do Comité de programa
лицо	pessoa
пользователь	usuário
соавтор	co-autor
тематическая область	área temática
заместитель председателя	Vice-Presidente
внести критерии рецензирования	para rever os critérios
подать статью	enviar um artigo
назначает рецензента	nomeação do revisor
прочитано рецензентом	Leia o revisor
кем разершёна виртуальная встреча	reunião virtual de razeršëna
прочитано мета-рецензентом	Leia o meta-revisor
кем отклонено	Quem rejeitou
кем изменена	Quem mudou
printhardcopymailingmanifests	printhardcopymailingmanifests
кем начато размещение ставок рецензента	Quem começou a colocar apostas revisor
закончил рецензию	revisão terminado
интернет-адрес сайта	o endereço Internet do Web site
адрес электронной почты	Endereço de e-mail
максимум статей	artigos máximos
идентификатор статьи	o ID de artigo
заголовок	cabeçalho
интернет-адрес логотипа	o endereço de Internet do logotipo
имя	o nome
рецензенты статьи	revisores do artigo
число	o número de
принимает печатные заявки	aceita pedidos de impressão
кем написано	escrito por
кем принято	Ninguém tomadas
внести детали конференции	tornar detalhes da conferência
изменяет ставку	alterar a taxa de
отметить конфликт интересов	Nota o conflito de interesses
назначена кому	atribuído a
читает статью	Leia o artigo
кем запущена программа назначения статей	Quem comanda o programa artigos de destino
кем добавлено	Data adicionada
назначен рецензентом	um revisor nomeado
назначен администратором	nomeado pelo administrador
разрешить виртуальную встречу	permitir a reunião virtual
назначает внешнего рецензента	nomeia um revisor externo
принимает статью	artigo aceito
закончить назначение статей	terminar a atribuição dos artigos
кем внесены детали	Quem fez os detalhes
пишет статью	escrever um artigo
кем закончено назначение статей	Quem acabou atribuindo artigos
установить максимум статей	definir os máximos artigos
написать статью в соавторстве	escrever um artigo em co-autoria
добавляет члена программного коммитета	Adiciona um membro Comitê de programa
назначена	nomeado
конфликт интересов	conflito de interesses
кем введены критерии рецензирования	critérios de avaliação induzido
hardcopymailingmanifestsprintedby	hardcopymailingmanifestsprintedby
начало размещения ставок рецензента	começar a apostar o revisor
отклоняет статью	rejeita o artigo
пишет рецензию	escrever um comentário
семинар	Seminário
научный совет	o Conselho Científico
организация	Organização
издатель	Editora
отклонённый труд	trabalho rejeitado
соавтор работы	co-autor do trabalho
сопредседатель	Co-presidente
оплативший участник	comprar festa
участник конференции	participante da conferência
