ملخص البحث	Zoek samenvatting
الكاتب المشترك	Gezamenlijke Auteur
مشرف	Admin
رئيس	De Voorzitter van de
عضو المؤتمر	Lid conferentie
البحث	Zoek
وثيقة	Document
الكاتب 	Schrijver 
شخص	Mensen
عضو في اللجنة العلمية	Lid van het Wetenschappelijk Comité
رئيس المرتبطة	Voorzitter van verbonden
رئيس اللجنة العلمية	Voorzitter van het Wetenschappelijk Comité
مؤتمر	Conferentie
أفضلية	Voorkeur
مراجعة فوقية	Onmiddellijke beoordeling
المراجع	Verwijzingen
القبول	Toelating
المراجع الفوقي	Meta-referenties
موضوع المحور	Onderwerp as
الكاتب، الذي ليس المراجع	De auteur, die geen verwijzingen
رئيس المؤتمر	De Voorzitter van de conferentie
المستخدم	Gebruiker
مزايدة	Veiling
لاشيء	Niets
الرفض	Afwijzing
لجنة العلمية	Wetenschappelijk Comité
قرار	Resolutie
مراجعة	Beoordeling
النسخة الكاملة من البحث	De volledige versie van het onderzoek
المراجع خارجي	Externe verwijzingen
لديه عنوان	Titel heeft
لديه اسم	Heeft een naam
لديه التاريخ	Heeft geschiedenis
لديه موقع على رابط	Hij heeft een websitelink
تقبل نسخة المرسلات	CC berichten accepteren
العدد الأقصى من الابحاث المسندة	Het maximum aantal onderzoeken uit hoofde van herverzekering
لديه الشعار في رابط	Heeft de Logolink
مراجعة/تعليقات لكل بحث	Opmerkingen voor elke zoekopdracht
لديه معرف	De ID heeft
لديه عضو	Lid heeft
قبوله من قبل	Aanvaard door
قبوله من قبل 	Aanvaard door 
لديه بريد الكتروني	E-mail heeft
يقبل	Accepteert
إدخال التفاصيل حول	Voer gegevens over de
علامة تضارب المصالح	De tag belangenconflict
مشترك في الكتابة	Gedeelde schrijven
تمكين الاجتماع الظاهري	De virtuele vergadering inschakelen
يضيف	Hiermee voegt u toe
كتابة البحث	Schrijven onderzoek
يعيين	Sets
معايير مراجعة أدخلت من قبل	Herziening van de normen ingevoerd door de
(... ،تم تقرير (ليكون مقبول، مرفوض	(... Is het verslag (om te worden geaccepteerd, afgewezen
أضافته من قبل	Toegevoegd door
كتابته من قبل	Geschreven door
استكمال احالة البحث	Volledige verwijzing zoeken
احالة أدوات البحث مشغل من قبل	Verwijzing zoekmachine tools door
بدء تقديم العطاءات المراجع	Start bieden verwijzingen
لديه مزايدة	Heeft geboden
ارسال البحث	Zoekopdracht verzenden
لديه تضارب في المصالح مع احترام	Een belangenconflict met respect heeft
تم تعيين	Is ingesteld
رفض من قبل	Verworpen door
تفاصيل مدخلة من قبل	De gegevens ingevoerd door
