person	personne
meta review	revue Meta
full version of paper	version complète de papier
abstract of paper	: Résumé
adminstrator	administrateur
subject area	secteur d'activité
external reviewer	examinateur externe
review	examen
rejection	rejet
meta reviewer	relecteur de Meta
decision	décision
document	document
conference chair	Président de la Conférence
co author	auteur de co
preference	préférence
associated chair	président associé
member of program committee	membre du Comité de programme
reviewer	relecteur
conference	Conférence
chairman	Président
paper	papier
author who is not a reviewer	auteur qui n'est pas un critique
author	auteur
program committee	Comité du programme
chair of program committee	Président du Comité de programme
acceptance	acceptation
bid	soumission
member of conference	membre de la Conférence
user	utilisateur
has title	a titre
reviews per paper	commentaires par article
details entered by	données saisies par
hardcopy of mailing manifests printed by	sur le papier d'expédition manifestes imprimés par
read paper	lire l'article
written by	Rédigé par
set maximal number of assigned paper	nombre maximal de papier attribuée la valeur
submit paper	soumettre article
read by meta reviewer	lu par l'examinateur meta
has member	a membre
has name	a le nom
has website at url	a site Web à l'url
has date	a la date de
maximal number of assigned papers	nombre maximal de documents affectées
accepts hardcopy submissions	accepte des communications sur papier
has id	a id
has logo at url	a logo à l'adresse url
has email	a e-mail
review criteria entered by	examen des critères d'entrée par
mark conflict of interest	marque de conflit d'intérêts
accepts	accepte
assigned by reviewer	attribué par l'examinateur
start reviewer bidding	commencer l'examinateur d'appel d'offres
add	Ajouter
has bid	a offert
assign	Assign
rejected by	rejetée par
co written by	co écrit par
virtual meeting enabled by	réunion virtuelle activée par
co write	écriture de co
added by	ajouté par
has subject area	a secteur d'activité
paper assignment finalized by	affectation de papier mis au point par
adjust	ajuster
assigned by admin	assignés par admin
end reviewing time	révision heure de fin
enter review criteria	Entrez les critères d'examen
reject paper	rejeter le papier
read by reviewer	lu par relecteur
has been assigned	a reçu
write paper	rédiger article
reviewer bidding started by	examinateur d'appel d'offres lancé par
run paper asignmedt tools	exécuter les outils d'asignmedt papier
accepted by	acceptée par
has conflict of interest with respect to	a conflit d'intérêts relativement aux
assigned to	assignés à
enable virtual meeting	activez la réunion virtuelle
enter details on	Entrez les détails
has been decided (to be accepted rejected )	a été décidé (d'être accepté rejetés)
print hardcopy mailing manifests	imprimer sur papier manifestes d'envoi
write review	Ajouter commentaire
paper assignment tools run by	outils de devoirs de papier gérés par
finalize paper assignment	finaliser la cession de papier
adjusted by	ajusté en
co chair	Chaire de co
conference announcement	annonce de conférence
applicant for conference	demandeur de la Conférence
submitted contribution	contribution soumise
conference contribution	contribution de la Conférence
organizer	Organisateur
proceedings of conference	actes de conférence
track of conference	piste de conférence
rejected contribution	contribution rejetée
invited talk	Conférencière invitée
first author of contribution	premier auteur de la contribution
important date	date importante
preference of reviewer	préférence de relecteur
organizing committee	Comité d'organisation
call for paper	appel à communication
web of conference	page Web de conférence
organization	Organisation
written contribution	contribution écrite
reviewed contribution	contribution examinée
applicant for conference who lately paid conference fee	demandeur de conférence qui dernièrement payé des frais de conférence
part of conference	partie de la Conférence
passive participant of conference	participant passif de conférence
accepted contribution	contribution acceptée
contributor for conference	contributeur pour la Conférence
steering committee	Comité directeur
topic	rubrique
chair of workshop track	chaise de piste de l'atelier
active participant of conference	participant actif de la Conférence
committee	Comité
poster	affiche
expertise of reviewer	expertise de l'évaluateur
conference serie	Conférence serie
conference document	document de conférence
publisher	Editeur
applicant for conference who paid conference fee	demandeur de la Conférence qui a payé les frais d'inscription
member of committee	membre du Comité
chair	chaise
