puja	Gebot
meta revisor	Meta Prüfer
presidente del comité de programa	Vorsitzender des Ausschusses-Programms
artículo	Artikel
resumen del artículo	Zusammenfassung des Artikels
aceptar	Okay
vice presidente	Vizepräsident
presidente de la conferencia	Präsidentin der Konferenz
autor	Autor
coautor	Co-Autor
versión completa del artículo	Vollversion des Artikels
autor, no revisor	Autor, keine Prüfer
meta revisión	Ziel-Bewertung
comité de programa	Programmkomitee
miembro del comité de programa	Mitglied des Ausschuss-Programms
usuario	Benutzer
conferencia	Konferenz
administrador	Administrator
miembro de la conferencia	Mitglied der Konferenz
área temática	Themenbereich
presidente	Präsident
preferencia	Präferenz
decisión	Entscheidung
documento	Dokument
revisor	Rezensent
rechazar	ablehnen
revisión	Bewertung
revisor externo	externer Gutachter
persona	Person
asigna revisor externo	ordnen externen Gutachter zu
es miembro del comité de programa	ist ein Mitglied des Programms Ausschuss
permite reunión virtual	virtuelles treffen können
envía el artículo	sendet das Element
inicia la puja de los artículos	beginnt die Auktion der Artikel
asignado por el revisor	durch den Bearbeiter zugewiesen
introduce criterios de revisión	betritt der Prüfkriterien
los criterios de revisión han sido introducidos por	Prüfkriterien wurden durch eingeführt
la puja de los revisores ha sido iniciada por	Gebote ab Bewertungen wurde initiiert durch
detalles introducidos por	Angaben von
asigna un número máximo de artículos a	weist eine maximale Anzahl von Elementen zu
rechazado por	von abgelehnt
redacta el artículo	Artikel schreiben
redacta la revisión	Schreiben Bewertung
asignado por el administrador	vom Administrator zugewiesen
es miembro de la conferencia	ist ein Mitglied der Konferenz
modificada por	geändert von
asignar revisor	Prüfer zuweisen
añadido por	Hinzugefügt von
asignado a	zugewiesen
tiene miembro de la conferencia	Mitglied Konferenz
tiene área temática	Themenbereich hat
gestiona las herramientas para la asignación de artículos	Es verwaltet die Werkzeuge, um die Verteilung der Elemente
la asignación de artículos ha sido finalizada por	die Zuordnung der Artikel wurde von abgeschlossen
tiene autor	hat Autor
finaliza la asignación de artículos	endet das Hinzufügen von Artikeln
tiene puja	Gebot hat
leído por el meta revisor	Lesen von Rezensent meta
tiene decisión	Entscheidung hat
reunión virtual mediante	mithilfe von virtuellen meeting
lee el artículo	Lesen Sie den Artikel
las copias en papel de los manifiestos de envío han sido impresas por	Versand Manifeste gedruckte Exemplare wurden von gedruckt
rechaza el artículo	weist den Artikel
tiene coautor	ist Co-Autor
modifica la puja	ändert das Angebot
las herramientas para la asignación de artículos han sido gestionadas por	Werkzeuge für die Zuweisung von Elementen von geführt
es coautor de un artículo	ist Co-Autor eines Artikels
url del logotipo	Logo-URL
acepta entregas en papel	Lieferungen auf Papier akzeptiert
url de la página web	URL der Webseite
título	Titel
ha sido asignado a	Es wurde zugewiesen
escrito por	Geschrieben von
ha señalado conflicto de intereses	bekannte Interessenkonflikt
tiene miembro del comité de programa	hat das Programm Ausschussmitglied
tiene conflicto de intereses	Interessenkonflikt hat
añade miembro de comité de programa	zusätzlichen Mitglied des Programmkomitees
aceptado por	von akzeptiert
copia en papel de los manifiestos de envío	Kopierpapier aus der Schifffahrt Manifeste
acepta el artículo	accept-Artikel
finaliza revisión	Ende Bewertung
introduce detalles de la conferencia	Geben Sie Informationen über die Konferenz
leído por el revisor	gelesen vom Autor
nombre	Name
correo electrónico	E-Mail
número máximo de artículos	maximale Anzahl von Elementen
fecha	Datum
identificador del artículo	Elementbezeichner
revisiones por artículo	Bearbeitungen pro Artikel
persona que envía una contribución a la conferencia	Person, die einen Beitrag zur Konferenz sendet
contribución regular	Ordentlicher Beitrag
presentación	Präsentation
coautor de la contribución	Co-Autor des Beitrags
comité	Ausschuss
participante de la conferencia	Teilnehmer der Konferenz
comité directivo	Lenkungsausschuss
fechas importantes	wichtige Termine
conferencia www	Www Conference
tema	Thema
comité organizador	Organisationskomitee
editor	Editor
volumen de la conferencia	Tagungsband
póster	Poster
persona que paga las tasas de la conferencia	Person, die die Teilnahmegebühr bezahlt
charla invitada	eingeladen
parte de la conferencia	Teil der Konferenz
anuncio de la conferencia	Ankündigung der Konferenz
organización	Organisation
persona que envía una solicitud a la conferencia	Person, die eine Anforderung an die Konferenz sendet
experiencia del revisor	Erfahrung des Bearbeiters
contribución a la conferencia	Beitrag zur Konferenz
participante activo en la conferencia	aktiver Teilnehmer an der Konferenz
resumen ampliado	Übersicht erweitert
solicitud de envío de artículos	Anforderung für die Einreichung
contribución por escrito	Beitrag schriftlich
actas de la conferencia	Verfahren der Konferenz
vicepresidente	Vizepräsident
información para los participantes	Informationen für Teilnehmer
contribución enviada	eingereichte Beitrag
primer autor de la contribución	erste Autor Beitrag
persona registrada a la conferencia	Person, die für die Konferenz registriert
documento de la conferencia	Konferenz-Dokument
tutorial	Lernprogramm
persona que paga con retraso las tasas de la conferencia	Person zahlt Späte Gebühren der Konferenz
persona que hace un pago anticipado de las tasas de la conferencia	Person, die eine Vorauszahlung der Gebühren der Konferenz
contribución aceptada	anerkannten Beitrag
organizador	Veranstalter
preferencia del revisor	die Voreinstellung "Bearbeiter"
contribución rechazada	Abgelehnte Beitrag
panel	Panel
contribución revisada	überarbeiteten Beitrag
tasas de la conferencia	die Konferenz-Preise
contribución lista para su envío definitivo	bereit für den endgültigen Versand Beitrag
solicitud de participación	Antrag auf Teilnahme
taller	Workshop
participante pasivo en la conferencia	passiver Teilnehmer an der Konferenz
organizador de los workshops	die Workshops Veranstalter
resumen	Übersicht
conferenciante invitado	Gastredner
era comité directivo de	Steering Committee of war
tiene autores	hat Autoren
tiene referencias o experiencia en la revisión de artículos	Sie haben Hinweise oder Erfahrung in der Bewertung von Artikeln
tiene un comité	hat einen Ausschuss
era comité organizador de	des Ausschusses wurde organisiert werden.
tiene un tema o una contribución enviada	Sie haben ein Thema oder einen Beitrag verfasst
tiene contribuciones	hat Beiträge
ha presentado una contribución	Er hat einen Beitrag vorgestellt.
tiene un revisor	hat ein Prüfer
era vicepresidente del comité de	war Vize-Präsident des Ausschusses der
era organizador de un panel de talleres de	Es war ein Gremium von Werkstätten Organisator des
tiene un comité organizador	hat ein Organisationskomitee
tiene un comité directivo	hat ein Steering Committee
tiene miembros	hat Mitglieder
tiene partes	besteht aus den Teilen
pertenece a una referencia de la revisión	Es gehört zu einem Verweis der Überprüfung
dado por	gegeben durch
problemas	Probleme
tiene tema de taller-tutorial	hat Thema Workshop-tutorial
se le ha asignado una referencia  de revisiones	Sie haben einen Verweis von Revisionen zugeordnet wurde
es la primera parte de	ist der erste Teil der
pertenece a los revisores	gehört zu den Bewertungen
revisiones	Bewertungen
tiene talleres	hat workshops
forma parte de los volúmenes de la conferencia	Es ist Teil der Bände der Konferenz
invitado por	auf Einladung von
era comité de programa de	war Programm-Komitees des
