偏爱	Předvolba
程序委员会成员	Členové programového výboru
副主席	Místopředseda
论文全文	Plné noviny
综合审稿意见	Obecné poznámky
审稿人	Recenzent
非审稿人的作者	Autor kontrolor
程序委员会主席	Předseda programového výboru
文件	Soubor
主题领域	Tematické oblasti
主席	Prezident
程序委员会	Programový výbor
拒收	Odmítnout
论文摘要	Abstrakta
合著者	Spoluautor
会议成员	Členové konference
投标	Zadávací
审稿意见	Komentáře
决定	Rozhodnutí
用户	Uživatel
外部审稿人	Externí hodnotitelé
管理人员	Řídící pracovníci
论文	Papíry
录用	Pronájem
作者	Autor
会议	Konference
综合审稿人	Syntéza recenzentů
人员	Personál
由之打印硬拷贝邮件舱单	Tisknout papírové poštovní manifesty
修改后投标	Revidované nabídky
标注兴趣冲突	Anotace střetu zájmů
由审稿人审阅	Hodnotil recenzentů
指定审稿人	Určuje recenzenty peer
是程序委员会成员	Členové programového výboru
拒收论文	Odmítnuté papíry
是会议成员	Jsou členy konference
由之拒收	Tím odmítl
开始审稿投标	BEGIN zobrazíte nabídku
有投标	Zadávací
由管理人员指定	Určený správce
设置最多论文数	Nastaví maximální počet dokumentů
阅读论文	Přečtěte si esej
有兴趣冲突	Střet zájmů
由之录入详情	Zadáním podrobností
由审稿人指定	Určený recenzent
录入会议详情	Záznam podrobných informací o schůzkách
打印硬拷贝邮件舱单	Tisknout papírové poštovní manifesty
录入审稿标准	Rukopis vstupní kritéria
运行论文分派工具	Spusťte nástroje pro přiřazení papíru
由之启动虚拟会议	Do začátku virtuální konference
合著	Ko-
有会议成员	Členové konference
撰写审稿意见	Psaní poznámek
由之撰写	Napsal
论文分派定稿	Dokončení přiřazeného papírů
电子信箱	E-mail
日期	Datum
商标统一资源定址器	Známka uniform resource umístění
论文序号	Číslo práce
接受硬拷贝投稿	Nepřijímá výtisk
网站地址	Adresa webu
每篇论文审稿意见数	Každý papír komentáře
最多论文数	Maximální počet dokladů
录用论文	Podle autorů
有主题领域	Tematické oblasti
姓名	Jméno
标题	Titul
有作者	Je autorem
论文分派工具由之运行	Nástroj pro rozdělení papíru spuštěním
由之增补	Aktualizací
结束审稿	Ukončit revizi
撰写论文	Dopisní papíry
分派给	Přiřadit k
由之录用	Tím, že najme
由综合审稿人审阅	Přezkoumat obecné recenzenty
有决定	Rozhodla
论文分派由之定稿	Dokončení papíru přidělil
审稿人投标始于	Recenzent nabízení začíná
由之录入审稿标准	Rukopis vstupní kritéria
有合著者	Spoluautor
启用虚拟会议	Povolit virtuální schůzku
修改投标	Upravit nabídky
增补程序委员会成员	Patch pro členy výboru
投稿	Podání
有程序委员会成员	Program člen výboru
有分派论文	Přiřazené práce
指定外部审稿人	Zadejte externí hodnotitelé
组织者	Pořadatelé
研讨会	Seminář
会议论文集	Konference
会议投稿人	Konference Přispěvatelé
摘要	Shrnutí
指导委员会	Řídící výbor
已注册申请人	Evidovaných uchazečů
委员会	Výbor
教程	Výukový program
与会者	Účastníci
正规作者	Pravidelné autoři
特邀报告人	Hlavní řečníci
审稿优先选择	Peer review předvolby
特邀报告	Zvaných přednášek
录用稿件	Pronájem sekce
出版商	Vydavatelé
审稿专长	Peer review odborné
会议征稿通知	Conference call for papers
被动与会者	Pasivní účastníci
主题	Téma
投稿第一作者	První autor podání
长摘要	Dlouhé Shrnutí
征文启事	Papíry-
会议文件	Setkání dokumenty
联合主席	Předseda kloubu
会议网站	Setkání webové stránky
书面投稿	Písemná podání
主动与会者	Aktivní účastníci
组织	Organizace
会议费用	Náklady na konference
会议卷册	Konference svazky
投稿合作作者	Podání autoři
晚付费申请人	Prodlení žalobce
海报	Plakát
研讨会主席	Předseda semináře
付费申请人	Zaplatí nabízejícímu
正规投稿	Pravidelných přispěvatelů
被审稿件	Zkušební rukopis
征集参与者通知	Shromažďování oznámení účastníka
轨道	Skladby
拒收稿件	Odmítnuté rukopisy
报告	Zpráva
会议部分	Segment
会议通知	Informace o schůzce
委员会成员	Členové výboru
重要日期	Důležitá data
照相制版稿件	Photoengraving rukopisy
与会者信息	Informace o účastnících
会议申请人	Setkání žalobce
提前付费申请人	Platit předem uchazeči
组委会	Organizační výbor
有一个卷册	Je objem
有一个电子邮箱	Mají elektronické poštovní schránky
有名	Slavný
有一个录用通知日期	Zde je oznámení o přijetí
有一个照相制版提交日期	Datum podání mají fotomechanický
有一个发行日题	Problém datum vydání
有一个名字	Název
有性别	Mít sex
有一个投稿	Mít odeslání
有一个委员会联合主席	Tam je co-předseda výboru
有一个isbn	Je číslo ISBN
有一个摘要投稿日期	Datum zaslání anotace příspěvku
被分配给审稿参考	Rukopis je přiřazen k odkazu
有一个研讨会教程主席	Seminář hřiště předseda
有研讨会	Seminář
有重要日期	Důležitá data
有一个结束日期	Je koncové datum
有一个地点	Umístění
有一个全文投稿日期	Datum odeslání celý text
有一个网址	Zde je adresa
有一个度	Existuje určitá
有一个专长	Mají odborné znalosti
有一个开始日期	Je počáteční datum
有姓	Křestní jméno
是由之作	Z práce
有一个审稿意见	Existuje vzájemné hodnocení
有一个研讨会教程主题	Témata kurzu dílna
是会议卷册的一部分	Je součástí svazku konference
曾是一个组织委员会	Kdysi bývala organizačního výboru
有一个摘要	Zde je souhrn
有一个程序委员会	Program pro Výbor
有一个主题或者投稿	Je téma nebo účtování
曾是一个成员	Býval členem
曾是一个委员会联合主席	Býval spolupředsedou výboru
有一个指导委员会	Je řídící výbor
受邀于	Byli pozváni na
有一个审稿参考或者专长	Už druhé strany revidovat referenční nebo odborných znalostí
有一个组织委员会	Organizační výbor
有成员	Členové
曾是一个指导委员会	Řídící výbor byl
曾是一个委员会主席	Byl předsedou výboru
是投至	Je přetypovat na
属于审稿人	Patří k recenzentů
评审	Recenze
有轨道	Skladby
有教程	Výukový program
曾是一个研讨会主席	Byl předsedou semináře
是第一部分	Je první část
有一个审稿专长	Je peer review odborné
属于一个会议卷册	Patřící do svazku konference
属于一个审稿参考	Uvedením peer review
发行	Vydání
作报告	Zprávu
曾是一个委员会	Výbor byl
邀请联合审稿人	Pozvat a společných recenzenta
有一个委员会主席	Je předseda výboru
有部分	Některé
有投稿	Mít odeslání
曾是一个程序委员会	Jakmile program výboru
有一个委员会	Je výbor
是一个会议部分的主题	Je součástí tématu konference
有一个出版商	Vydavatel
旅游	Cestovní ruch
参加者	Účastníci
公司	Společnost
活动	Aktivity
招待会	Recepce
城市	Město
报名注册活动	Registrace aktivity
科学工作者	Vědecký pracovník
宴会	Banket
大学	Univerzita
管理活动	Řídící činnosti
助理	Asistent
学者	Učenci
学生	Studenti
标准	Standardní
志愿者	Dobrovolníci
审稿活动	Činnostech vzájemného hodnocení
成员	Členové
短论文	Krátký esej
国家	Národní
投稿活动	Přínos aktivity
照相制版活动	Photoengraving aktivity
社交活动	Společenské aktivity
工作活动	Pracovní činnosti
审稿结果活动	Vzájemného hodnocení výsledků činnosti
开始于	Začíná s
最少选项	Minimální možnosti
有传真号码	Číslo faxu
有国家	Národní
处理	Zpracování
有关键词	Klíčová slova
有街道名	Název ulice
平行于	Paralelně s
有管理活动	Řídící činnosti
审稿	Kritiků
撰写	Napsal
专家于	Odborníci v
受雇于	Zaměstnáni v
就学于	Studium na
联系电子信箱	Kontaktní e-mailová adresa
备注	Poznámky
有电话号码	Je tam číslo
有增值税	Daň z přidané hodnoty
最多选项	Většina možností
有标题	Má nadpis
有邮编	PSČ
提前注册	Registrovat předem
有简略标题	Stručný název
有主页	Domovská stránka
结束于	Končí na
场所	Místo
有电子信箱	E-mail
缺省项目	Výchozí projekt
紧接着	Krátce nato
有主题	Téma
有城市	Město
计算机网络主题	Počítačové sítě témata
操作系统主题	Témata operačního systému
自由活动	Volnočasové aktivity
计算机网络度量主题	Síť měření témata
程序	Program
审稿问题	Peer review problémy
活跃论文	Aktivní články
计算机网络交换机主题	Počítačové sítě přepne témata
拒收级别	Odmítnutí úroveň
无线通信主题	Bezdrátové komunikační témata
接受级别	Přijatelná úroveň
cad主题	CAD téma
报告活动	Zpráva o činnosti
幻灯片集	Sada snímků
计算机网络管理主题	Témata správy počítačové sítě
工业组织	Průmyslové organizace
住宿地点	Místa k pobytu
安全性主题	Bezpečnostní témata
地点	Umístění
论文报告	Kniha prezentace
个人审稿历史	Historie osobní Recenze
报告人	Reproduktor
个人历史	Osobní historie
光学计算机网络主题	Optické počítačové sítě témata
单级会议	Single fázi konference
无线电通信主题	Rozhlasové motivy
组织会议	Organizační relace
分场会议主席	Předseda volnými relacemi
审稿表格	Peer review form
用餐地点	Možnosti stravování
休息活动	Ostatní aktivity
据用论文	Podle papíru
密码学微电子主题	Kryptografie Mikroelektronika témata
征集手稿通知	Kolekce rukopis oznámení
参与者主题	Účastníci v tématech
学术组织	Akademické organizace
被评价论文	Hodnocení eseje
酒会	Koktejlové recepce
旅行补助	Cestovní granty
通信主题	Komunikační témata
学术活动	Akademická činnost
医学主题	Lékařská témata
并行和分布式计算主题	Paralelní a distribuované výpočty témata
通知	Oznámení
餐饮场所	Stravovacích zařízení
信号处理主题	Vybrané stati z teorie signálu
性能主题	Výkon témata
非学术会议	Non akademická konference
计算机网络应用主题	Síťové aplikace témata
计算机网络安全主题	Témata zabezpečení počítačové sítě
出版的论文	Publikované práce
可接受级别	Přijatelná úroveň
城府组织	Tajné organizace
用餐休息	Jídlo konec
个人发表历史	Osobní historie
会场	Místo konání
用餐活动	Jídelní události
