论文全文	Полные статьи
非审稿人的作者	Автор-референт
文件	Файл
外部审稿人	Внешние отзывы
人员	Персонал
决定	Решение
综合审稿意见	Общие комментарии
程序委员会主席	Председатель Комитета программы
论文摘要	Тезисы
审稿意见	Комментарии
录用	Аренда
会议	Конференция
副主席	Заместитель Председателя
主题领域	Тематические области
会议成员	Члены Конференции
用户	Пользователь
程序委员会成员	Члены Комитета программы
主席	Президент
拒收	Отклонить
合著者	Соавтор
大会主席	Председатель Генеральной Ассамблеи
作者	Автор
偏爱	Предпочтения
审稿人	Рецензент
论文	Документы
程序委员会	Программный комитет
投标	Нежная
管理人员	Управленческий персонал
综合审稿人	Синтез Отзывы
由之打印硬拷贝邮件舱单	Печать бумажной рассылки манифесты
修改后投标	Пересмотренный тендер
标注兴趣冲突	Аннотация конфликт интересов
由审稿人审阅	Обзор Отзывы
指定审稿人	Указывает рецензенты
是程序委员会成员	Члены Комитета программы
拒收论文	Отклоненные статьи
是会议成员	Являются членами Конференции
由之拒收	Автор отказался
开始审稿投标	Начать обзор ставок
有投标	Нежная
由管理人员指定	Указанные руководители
设置最多论文数	Задает максимальное количество работ
阅读论文	Прочитать эссе
有兴趣冲突	Конфликт интересов
由之录入详情	Путем ввода сведений
由审稿人指定	Указанного рецензента
录入会议详情	Подробности записи заседаний
打印硬拷贝邮件舱单	Печать бумажной рассылки манифесты
录入审稿标准	Рукописная запись стандарты
运行论文分派工具	Запустите инструменты назначения бумаги
由之启动虚拟会议	К началу виртуальной конференции
合著	Co-
有会议成员	Члены Конференции
撰写审稿意见	Писать комментарии
由之撰写	Автор
论文分派定稿	Завершение установленных документов
电子信箱	Электронной почты
日期	Дата
商标统一资源定址器	Расположение универсальный код ресурса товарных знаков
论文序号	Тезис номер
接受硬拷贝投稿	Принимать печатном виде представления
网站地址	Адрес веб-сайта
每篇论文审稿意见数	Каждый документ комментарии
最多论文数	Максимальное количество документов
录用论文	Принятые документы
有主题领域	Тематические области
姓名	Имя
标题	Название
有作者	Есть автор
论文分派工具由之运行	Инструмент выделения бумаги, запустив
由之增补	Путем обновления
结束审稿	Конец обзор
撰写论文	Написание статей
分派给	Назначить для
由之录用	Нанимая
由综合审稿人审阅	Рассмотрены общие отзывы
有决定	Принял решение
论文分派由之定稿	Завершение разработки документа, присвоенный
审稿人投标始于	Рецензент торгов начинается
由之录入审稿标准	Рукописная запись стандарты
有合著者	Соавтор
启用虚拟会议	Разрешить виртуальные встречи
修改投标	Изменение заявки
增补程序委员会成员	Патч для членов Комитета
投稿	Представление
有程序委员会成员	Программа член Комитета
有分派论文	Назначенные диссертации
指定外部审稿人	Укажите внешние рецензенты
已注册申请人	Зарегистрированные кандидаты
主题	Тема
会议文件	Документы заседаний
联合主席	Председатель Объединенной
与会者信息	Информация об участниках
提前付费申请人	Оплатить заранее заявителей
会议申请人	Встреча заявителя
组织者	Организаторы
会议投稿人	Участники Конференции
指导委员会	Руководящий комитет
正规作者	Постоянных авторов
书面投稿	Письменное представление
会议通知	Уведомление встречи
组委会	Организационный Комитет
特邀报告	Приглашенных докладов
会议网站	Встреча веб-сайт
主动与会者	Активные участники
研讨会主席	Председатель семинара
正规投稿	Регулярные войска
教程	Учебник
长摘要	Длинные резюме
晚付费申请人	Просрочку платежа заявитель
海报	Плакат
拒收稿件	Отклоненные рукописи
轨道	Треки
委员会成员	Члены Комитета
与会者	Участники
被动与会者	Пассивные участники
组织	Организации
会议卷册	Конференции томов
被审稿件	Пробная рукопись
报告	Отчет
会议部分	Сегмент
摘要	Резюме
委员会	Комитет
录用稿件	Отдел аренды
会议征稿通知	Призыв Конференции документы
会议费用	Расходы на конференционное обслуживание
付费申请人	Выплачена заявителю
征集参与者通知	Сбор участников уведомления
重要日期	Важные даты
研讨会	Семинар
会议论文集	Труды конференции
审稿优先选择	Коллегиального обзора предпочтения
投稿第一作者	Первое представление автора
征文启事	Документы-
特邀报告人	Основные докладчики
审稿专长	Коллегиального обзора опыта
出版商	Издатели
投稿合作作者	Представления авторов
照相制版稿件	Photoengraving рукописи
有一个卷册	Существует объем
有一个电子邮箱	Иметь электронный почтовый ящик
有名	Знаменитый
有一个录用通知日期	Уведомление о принятии
有一个照相制版提交日期	Дата подачи имеют фотомеханический
有一个发行日题	Выпуск Дата проблема
有一个名字	Иметь имя
有性别	Секс
有一个投稿	Иметь представление
有一个委员会联合主席	Есть Сопредседатель Комитета
有一个isbn	Есть ISBN
有一个摘要投稿日期	Срок подачи тезисов
被分配给审稿参考	Рукопись присваивается ссылка
有一个研讨会教程主席	Существует курс семинара Председатель
有研讨会	Семинар
有重要日期	Важные даты
有一个结束日期	Есть Дата окончания
有一个地点	Местоположение
有一个全文投稿日期	Дата представления полный текст
有一个网址	Есть адрес
有一个度	Существует определенная степень
有一个专长	Иметь опыт
有一个开始日期	Есть дата начала
有姓	Имя
是由之作	От работы
有一个审稿意见	Существует коллегиальный обзор
有一个研讨会教程主题	Разделы учебника семинар
是会议卷册的一部分	Является частью Конференции тома
曾是一个组织委员会	Используется для быть организационный комитет
有一个摘要	Есть резюме
有一个程序委员会	Программа Комитета
有一个主题或者投稿	Есть тема или проводки
曾是一个成员	Используется для быть членом
曾是一个委员会联合主席	Используется для быть сопредседателем Комитета
有一个指导委员会	Существует Руководящий комитет
受邀于	Были приглашены
有一个审稿参考或者专长	Имел коллегиального обзора ссылку или опыта
有一个组织委员会	Организационный Комитет
有成员	Члены
曾是一个指导委员会	Руководящий комитет был
曾是一个委员会主席	Был Председателем Комитета
是投至	Приведен к
属于审稿人	Принадлежит к Отзывы
评审	Обзор
有轨道	Треки
有教程	Учебник
曾是一个研讨会主席	Был Председателем семинара
是第一部分	Это первая часть
有一个审稿专长	Есть опыт коллегиального обзора
属于一个会议卷册	Принадлежащих к Конференции тома
属于一个审稿参考	Под ссылкой коллегиального обзора
发行	Выпуск
作报告	Сделать доклад
曾是一个委员会	Комитет был
邀请联合审稿人	Приглашаем и совместные рецензент
有一个委员会主席	Есть Председатель Комитета
有部分	Некоторые
有投稿	Иметь представление
曾是一个程序委员会	Один раз программа Комитета
有一个委员会	Существует Комитет
是一个会议部分的主题	Является частью темы Конференции
有一个出版商	Издатель
旅游	Туризм
志愿者	Добровольцы
短论文	Краткое эссе
投稿活动	Вклад мероприятий
工作活动	Деятельность
参加者	Участники
招待会	Прием
照相制版活动	Photoengraving деятельность
宴会	Banquet
标准	Стандарт
审稿活动	Коллегиального обзора деятельности
审稿结果活动	Экспертной оценки результатов деятельности
城市	Город
科学工作者	Научный сотрудник
管理活动	Деятельность по управлению
助理	Помощник
国家	Национальные
大学	Университет
学生	Студенты
成员	Члены
社交活动	Социальная деятельность
公司	Компания
活动	Деятельность
报名注册活动	Регистрационная деятельность
学者	Ученые
开始于	Начинается с
最少选项	Минимальные параметры
有传真号码	Номер факса
有国家	Национальные
处理	Обработка
有关键词	Ключевые слова
有街道名	Название улицы
平行于	Параллельно
有管理活动	Деятельность по управлению
审稿	Рецензенты
撰写	Написал
专家于	Эксперты в
受雇于	Занятых в
就学于	Обучение в
联系电子信箱	Контактный адрес электронной почты
备注	Примечания
有电话号码	Есть номер
有增值税	Налог на добавленную стоимость
最多选项	Большинство параметров
有标题	Имеет название
有邮编	Почтовый индекс
提前注册	Зарегистрироваться заранее
有简略标题	Краткое название
有主页	Домашняя страница
结束于	Заканчивается на
场所	Место
有电子信箱	Электронной почты
缺省项目	По умолчанию проект
紧接着	Вскоре после этого
有主题	Тема
有城市	Город
无线通信主题	Беспроводная связь темы
光学计算机网络主题	Оптический компьютер сети темы
用餐地点	Варианты питания
征集手稿通知	Коллекция рукописей уведомления
参与者主题	Участники в темах
学术组织	Академические организации
被评价论文	Эссе оценки
酒会	Коктейль-прием
学术活动	Академическая деятельность
并行和分布式计算主题	Параллельных и распределенных вычислений темы
信号处理主题	Темы обработки сигнала
性能主题	Вопросы производительности
计算机网络安全主题	Темы безопасности компьютерной сети
未决定论文	Ожидание документов
结束报告	Конец отчета
卫星和空间通信主题	Тема космической и спутниковой связи
会间休息	Перерыв в сессии
会议晚宴	Ужин
欢迎报告	Приветствует доклад
撤回的论文	Вывести документы
审稿级别	Уровень коллегиального обзора
会议分场会议	Секционных заседаний Конференции
计算机网络企业主题	Тема сети предприятия
计算机网络主题	Сетевые компьютерные темы
程序	Программа
计算机网络交换机主题	Компьютерной сети переключается темы
cad主题	Тема CAD
报告活动	Отчет о деятельности
计算机网络管理主题	Темы управления компьютерной сети
地点	Местоположение
个人审稿历史	Личный обзор истории
无线电通信主题	Радио темы
组织会议	Организационная сессия
审稿表格	Форма коллегиального обзора
休息活动	Остальные активность
医学主题	Медицинские темы
餐饮场所	Ресторанов
城府组织	Секретный организаций
用餐活动	Столовая события
电力线传输主题	Тема передачи линии питания
会议主席	Председатель Конференции
会议活动	Мероприятия Конференции
计算机体系结构主题	Темы архитектура компьютера
弱拒收级别	Уровень низкий отказ
赞助	Спонсорство
操作系统主题	Темы операционной системы
自由活动	Бесплатные мероприятия
计算机网络度量主题	Сети измерение темы
活跃论文	Активных статей
拒收级别	Уровень отклонения
接受级别	Приемлемый уровень
幻灯片集	Набор слайдов
住宿地点	Места для проживания
论文报告	Документ презентации
单级会议	Один этап Конференции
据用论文	По данным газеты
通信主题	Сообщение темы
计算机网络应用主题	Разделы приложений сети
用餐休息	Перерыв на обед
个人发表历史	Личная история
会场	Место проведения
参与者	Участники
文本审稿问题	Проблема текста рукописи
加密主题	Шифрование разделов
计算机网络传感器主题	Тема сети датчиков
测试主题	Тема тест
联系信息	Контактная информация
两级会议	Два уровня встречи
数字化审稿问题	Оцифрованные рукописи проблемы
通信理论主题	Предметом теории коммуникации
非政府组织	Неправительственные организации
审稿问题	Коллегиального обзора вопросов
工业组织	Промышленных организаций
安全性主题	Вопросы безопасности
报告人	Спикер
个人历史	Личная история
分场会议主席	Председатель секционных заседаний
密码学微电子主题	Криптография микроэлектроники темы
旅行补助	Субсидии на поездки
通知	Уведомление
非学术会议	Non научные конференции
出版的论文	Опубликованные работы
可接受级别	Приемлемый уровень
征集审稿人通知	Вызов для рецензентов сообщить
游览	Тур
技术程序委员会	Программы технического комитета
菜单	Меню
多媒体主题	Мультимедиа тема
移动计算主题	Мобильные вычислительные темы
有花费数目	Потратили
注册到期	Истек срок регистрации
有截稿日期	Под срок
结束日期	Дата окончания
有投稿指示	Иметь представление инструкции
是菜单	Это меню
论文到期	Документы из-за
有名称	Иметь имя
手稿到期	Рукопись из-за
有电话	Есть телефон
有开始日期时间	Дата время начала
有传记	Биография
开始日期	Дата начала
有结束日期时间	Дата/время окончания
有电子邮箱	Электронный почтовый ящик
有花费货币	Потраченные деньги
是成员	Является членом
是之审稿历史	Это история рукописи
被提供	Предлагаются
启动	Начало
有通知	Обратите внимание
有菜单	С меню
有程序	Имеет программу
被启动于	Был запущен в
有相关文件	Связанные файлы
属于活动	На активный
相关活动	Похожие мероприятия
撰写自	Записи self
是主题	Тема
为活动	Для активных
有相关论文	Связанные статьи
相关	Связанные с
相关论文	Связанные документы
出席	Для участия в
被审稿于	Коллегиального обзора в
有评级	Рейтинг
有审稿历史	История рукописи
是提供者	Является поставщиком
