person	personne
dokument	document
präferenz	préférence
verfasser, der kein gutachter ist	écrivain qui n'est pas un expert
meta-gutachten (gutachten über ein gutachten)	Meta - sur un avis (avis)
meta-gutachten	Meta - avis
mitverfasser	co-auteure
vorsitzender	Président
verfasser	auteur
vorsitzender der konferenz	Président de la Conférence
vorsitzender des programm-komitees	Président du Comité de programme
meta-gutachater	Meta-gutachater
zurückweisung	rejet
meta-gutachater (gutachter der gutachten begutachtet)	Meta-gutachater (avis d'experts qui a examiné)
vollständiger konferenzbeitrag	frais d'inscription complet
konferenz	Conférence
gegenstandsbereich	Champ d'application
gutachten	avis
externer gutachter	examinateurs externes
akzeptanz	acceptation
konferenzbeitrag	Contribution de la Conférence
programm-komitee	Comité du programme
teilnehmer einer konferenz	participants à une conférence
gutachter	expert
benutzer	utilisateur
gebot	commandé
stellvertretender vorsitz	Siège de député dans
entscheidung	décision
mitglied des programm-komitees	Membre du Comité de programme
abstrakt eines konferenzbeitrags	Résumé d'une contribution de la Conférence
administrator	Administrateur
hat details eingefügt in bezug auf	a inséré des détails par rapport à
hat die zuordnung der beiträge abgeschlossen	a achevé la cartographie des contributions
hat zugewiesen	a attribué à
druckt papierausdruck des mailing-manifests	imprimer une copie papier du manifeste postale
beitragszuordnungs-software ausgeführt von	beitragszuordnungs logiciel de
zugewiesen zu	attribué à
details eingefügt von	Détails ajoutés par
beitragszuordnung abgeschlossen von	Affectation de poste complétée par
gelesen von gutachter	lu par des experts
hat die beitrags-zuordnungssoftware ausgeführt	a mené la contribution zuordnungssoftware
hat virtuelles treffen veranlasst	rencontre virtuelle a conduit
hat abgeglichen	a égalé
mitverfasst von	Rédigé par
hat interessenskonflikt in bezug auf	interessenskonflikt a par rapport à
abgewiesen von	rejetée par
geschrieben von	Posté par
virtuelles treffen veranlasst von	réunion virtuelle dirigée par
gelesen von meta-gutachter	lu par l'examinateur meta
akzeptiert von	acceptée par
ist mitglied des programm-komitees	est membre du Comité de programme
hat beitrag geschrieben	a contribution écrite
hat die gebotsphase gestartet	a commencé la phase de candidature
kriterien zu gutachten eingefügt von	critères d'avis inséré par
hat papier abgelehnt	papier rejeté
bestimme maximale anzahl an zugewiesenen beiträgen	Choisissez le nombre maximal de contributions allouées
ist entschieden worden als	Il a été décidé comme un
steht in interessen-konflikt mit beitrag	intérêts en conflit avec la contribution
hat webseite an url	a site Web à l'url
hat namen	a le nom
hat datum	a la date de
akzeptiert hardcopy-einsendungen	accepte les arguments de Hardcopy
hat id	a id
maximale anzahl an zugewiesenen beiträgen	nombre maximal de contributions allouées
hat titel	a titre
hat email	a e-mail
zugewiesen von administrator	attribué par l'administrateur
hat mitglied	a membre
hat logo an url	a logo url
gutachten pro beitrag	avis par contribution
zugewiesen von gutachter	assignés par des experts
hat akzeptiert	a accepté
hat papier gelesen	lire l'article
hat gegenstandsbereich	a champ d'application
papierausdruck des mailing-manifests gedruckt von	papier imprimé du manifeste postale par
ist zugeordnet worden	a reçu l'ordre de
teilnehmer von	participants de
hat die zeit des begutachtens beendet	a fini cette période de l'évaluation
hat hinzugefügt	ajouté
abgeglichen von	accompagnée d'une
hinzugefügt von	ajouté par
hat teilnehmer	participant
hat beitrag eingesendet	a contributions soumises
hat beitrag mitverfasst	est l'auteur de contribution
hat kriterien zu gutachten eingefügt	a ajouté des critères à l'opinion
gebotsphase gestartet von	Phase de candidature a commencé par
hat gutachten geschrieben	a une opinion écrite
hat gebot erhalten	Il a enjoint la get
konferenzankündigung	Annonce de conférence
ausschuss	Comité
erweitertes abstrakt	résumé détaillé
koferenzdokument	koferenzdokument
informationen für teilnehmer	informations pour les participants
präsentation	présentation
aktiver konferenzteilnehmer	participants actifs
passiver konferenzteilnehmer	participants passifs
eingereichter beitrag	contribution soumise
konferenzgebühren	Droits d'inscription
organisator	Organisateur
druckfertiger beitrag	contribution de druckfertiger
eingeladener vortrag	Conférence invitée
