person	Person
meta review	Meta-Bewertung
member of program committee	Mitglied des Programmkomitees
full version of paper	Vollversion von Papier
abstract of paper	Auszug aus Papier
reviewer	Rezensent
conference	Konferenz
adminstrator	Adminstrator
subject area	Themenbereich
external reviewer	externer Gutachter
review	Bewertung
chairman	Vorsitzender
paper	Papier
meta reviewer	Meta Prüfer
author who is not a reviewer	Autor, der kein Prüfer
rejection	Ablehnung
decision	Entscheidung
author	Autor
program committee	Programmkomitee
document	Dokument
chair of program committee	Vorsitzender des Programmkomitees
acceptance	Akzeptanz
bid	Gebot
co author	Co-Autor
conference chair	Konferenzstuhl
preference	Präferenz
associated chair	dazugehörigen Stuhl
member of conference	Mitglied Konferenz
user	Benutzer
has title	Titel
reviews per paper	Bewertungen pro Papier
details entered by	Angaben von
hardcopy of mailing manifests printed by	Hardcopy der mailing-Manifeste gedruckt von
read paper	Paper lesen
written by	Geschrieben von
set maximal number of assigned paper	maximale Anzahl der zugewiesenen Papier
submit paper	Papier einreichen
read by meta reviewer	Lesen von Meta-Bearbeiter
has member	Mitglied
has name	Namen hat
has website at url	hat Website unter url
has date	Datum
maximal number of assigned papers	maximale Anzahl der zugewiesenen Papiere
accepts hardcopy submissions	akzeptiert Hardcopy Einreichungen
has id	hat id
has logo at url	hat Logo unter url
has email	hat e-Mail
review criteria entered by	Überprüfung von eingegebene Kriterien
mark conflict of interest	Mark Interessenkonflikt
accepts	akzeptiert
assigned by reviewer	vom Bearbeiter zugewiesen
start reviewer bidding	Prüfer, die Gebote zu starten
add	Hinzufügen
has bid	Gebot hat
assign	zuweisen
rejected by	von abgelehnt
co written by	Geschrieben von Co
virtual meeting enabled by	virtuelles Treffen aktiviert, indem
co write	Co-schreiben
added by	Hinzugefügt von
has subject area	Themenbereich hat
paper assignment finalized by	Papier-Zuordnung von abgeschlossen
adjust	Anpassen
assigned by admin	von Admin zugewiesen
end reviewing time	Überprüfung Endzeit
enter review criteria	Geben Sie Prüfkriterien
reject paper	Ablehnen von Papier
read by reviewer	Lesen von Rezensenten
has been assigned	wurde zugewiesen
write paper	Papier zu schreiben
reviewer bidding started by	Rezensent Ausschreibung gestartet von
run paper asignmedt tools	Führen Sie Papier-Asignmedt-tools
accepted by	von akzeptiert
has conflict of interest with respect to	hat Interessenkonflikte in Bezug auf
assigned to	zugewiesen
enable virtual meeting	Aktivieren der virtuelles Treffen
enter details on	Geben Sie Informationen auf
has been decided (to be accepted rejected )	hat beschlossen worden (abgelehnte akzeptiert)
print hardcopy mailing manifests	Drucken Sie Hardcopy Manifeste mailing
write review	Schreiben Bewertung
paper assignment tools run by	Papier-Zuordnung-Tools ausführen, indem
finalize paper assignment	Papier-Zuordnung zu beenden
adjusted by	bereinigt um
conference announcement	Konferenzankündigung
co chair	co-chair
contributor for conference	Mitwirkender für Konferenz
applicant for conference	Antragsteller für die Konferenz
steering committee	Lenkungsausschuss
submitted contribution	eingereichte Beitrag
conference contribution	Konferenz-Beitrag
topic	Thema
organizer	Veranstalter
proceedings of conference	Verfahren der Konferenz
track of conference	Spur der Konferenz
chair of workshop track	Lehrstuhl für Workshop-track
active participant of conference	aktiver Teilnehmer der Konferenz
committee	Ausschuss
poster	Poster
expertise of reviewer	Kompetenz des Prüfers
conference serie	Konferenz-serie
conference document	Konferenz-Dokument
rejected contribution	Abgelehnte Beitrag
invited talk	eingeladener Vortrag
publisher	Verlag
first author of contribution	Erstautor des Beitrags
applicant for conference who paid conference fee	Antragsteller für Konferenz, die Teilnahmegebühr bezahlt
member of committee	Mitglied des Ausschusses
important date	wichtiges Datum
preference of reviewer	Präferenz des Prüfers
chair	Stuhl
co author of contribution	Co-Autor des Beitrags
organizing committee	Organisationskomitee
participant of conference	Teilnehmer der Konferenz
workshop	Workshop
tutorial	Lernprogramm
regular contribution	Ordentlicher Beitrag
call for paper	Aufruf für Papier
camera ready version of contribution	Kamera bereit Version des Beitrags
presentation	Präsentation
web of conference	Web Konferenz
applicant for conference who early paid conference fee	Antragsteller für Konferenz, die früh Konferenzgebühr bezahlt
extended abstract	Erweiterte Zusammenfassung
call for participation	Aufruf zur Teilnahme
organization	Organisation
information for participants	Informationen für Teilnehmer
registered applicant	registrierte Bewerber
abstract	abstrakt
written contribution	schriftlichen Beitrag
invited speaker	eingeladene Redner
reviewed contribution	überarbeitete Beitrag
fee for conference	Gebühr für die Konferenz
applicant for conference who lately paid conference fee	Antragsteller für Konferenz, die in letzter Zeit Konferenzgebühr bezahlt
author of contribution	Autor des Beitrags
passive participant of conference	passiver Teilnehmer der Konferenz
part of conference	Teil der Konferenz
accepted contribution	anerkannten Beitrag
is program committee of conference	Programmkomitee der Konferenz ist
submitted to	unterbreitet
has been assigned review preference	wurde Überprüfung Präferenz zugewiesen
has committee chair	Ausschussvorsitzende hat
is part of conference	ist Teil der Konferenz
invites co reviewer	lädt co-Prüfer
program committee of conference is	Programmkomitee der Konferenz ist
is the first part of	ist der erste Teil der
is co chair of committee	ist co-Vorsitzender des Ausschusses
topic related to review preference	zu diesem Thema Einstellung überprüfen
preference or expertise of review is	Bevorzugung oder Kompetenz des Briefs ist
invited by reviewer	auf Einladung von Rezensent
is workshop chair of	Workshop-Leiterin ist
has tutorial	hat tutorial
has submitted contribution	Beitrag hat eingereicht werden.
isbn of proceedings	ISBN der Verfahren
has surname	ist der Familienname folgender Personen
published on date	veröffentlicht am Datum
has first name	Vorname hat
date of full paper submission	Whitepaper-Abgabe
url of conference web is	URL der Web-Konferenz ist
date of camera ready submission	Kamera bereit Abgabe
terminal day	Terminal Tag
contributes to conference	trägt zur Konferenz
committee of conference is	Ausschuss der Konferenz ist
important date of conference serie	wichtiges Datum der Konferenz-serie
publishes	veröffentlicht
makes presentation	lässt sich Präsentation
has review	hat Überprüfung
is organizing committee of conference	Ausschusses der Konferenz organisiert
has topic or submission contribution	Thema oder Duldung Beitrag
expertise degree of reviewer	Fachwissen Grad des Prüfers
degree of review preference	Grad der Bewertung Präferenz
has e mail	hat e-mail
has gender	Geschlecht hat
date of acceptance notification	Datum der Annahme
starting date	Startdatum
location of conference	Ort der Konferenz
date of abstract submission	abstract-Einreichung
volume number of proceedings	Anzahl von Verfahren
organizing committee of conference is	Organisationskomitee der Konferenz ist
is member of	ist Mitglied von
is committee of conference	Committee der Konferenz
has part	hat Teil
publisher of proceedings is	Herausgeber des Verfahrens ist
has abstract	Zusammenfassung hat
is chair of committee	Vorsitzender des Ausschusses ist
has track	hat track
has workshop chair	hat Workshop-Stuhl
is steering committee of conference	Steering Committee der Konferenz ist
has committee co chair	hat co-Vorsitzender
has contribution	Beitrag
presented by	präsentiert von
has review expertise	verfügt über eine Test-expertise
steering committee of conference is	Steering Committee der Konferenz ist
has important date	wichtiges Datum ist
has workshop topic	Workshop-Thema hat
has workshop	hat workshop
is topic of conference part	Thema der Konferenz Teil
preference or expertise of reviewer	Bevorzugung oder Kompetenz des Prüfers
has author	hat Autor
reviews contribution	Bewertungen-Beitrag
event of sending camera ready version	Ereignis senden Kamera bereit version
city	Stadt
student	Student
event	Ereignis
contribution	Beitrag
banquet	Bankett
volunteer of conference	freiwilligen-Konferenz
event of submission	Veranstaltung der Einreichung
event of registration of participants event	Veranstaltung der Registrierung der Teilnehmer-Ereignis
administrative event	administrative Ereignis
event of reviewing results	Veranstaltung der Überprüfung der Ergebnisse
regular participant of conference	regelmäßiger Teilnehmer der Konferenz
short paper	Kurzbeitrag
student participant of conference	studentische Teilnehmer der Konferenz
working event	Arbeiten-Ereignis
country	Land
company	Firma
participant	Teilnehmer
person involved with conference	betroffene mit Konferenz
science worker	Wissenschaft worker
trip	Reise
university	Universität
reception	Rezeption
social event	gesellschaftliches Ereignis
assistent	Assistent
administrator	Administrator
event of reviewing	Veranstaltung der Überprüfung
participant of conference has early registration	Teilnehmer der Konferenz hat Frühbucher
has postal code	hat die Postleitzahl
has remark	Bemerkung hat
follows	folgt
study at university	studieren an der Universität
has relevant administrative event	hat relevanten administrativen Ereignisse
writes contribution	Beitrag schreibt
reviewes	reviewes
written by author	Geschrieben von Autor
stay in country	Aufenthalt im Land
deals with topic	befasst sich mit Thema
expert on topic	Experte zum Thema
is parallel with	parallel mit
stay in city	Aufenthalt in Stadt
employed by	Dienstverhältnis
has topic	Thema hat
stay in street	in der Straße zu bleiben
end day of event	Ende Tag der Veranstaltung
has short title	hat kurzen Titel
setting of maximal number of event	Einstellung der maximalen Anzahl der Veranstaltung
has fax	Fax hat
event is being held at	Veranstaltung findet an statt
has keywords	hat Schlüsselwörter
has valued added tax	Umsatzsteuer hat geschätzt werden.
has phone	Telefon
has contact email	hat Kontakt email
setting of default choice of number of event	Einstellung der Standardauswahl vieler Ereignis
has home page	hat Homepage
starting day of event	ersten Tag der Veranstaltung
