person	الشخص
organisationsausschuss	اللجنة المنظمة
herausgeber	الناشر
konferenzankündigung	إعلان مؤتمر
passiver konferenzteilnehmer	المشاركون السلبي
gutachten	الرأي
aufruf zu teilnahme	دعوة للمشاركة
author eines regulären beitrags	مؤلف مساهمات منتظمة
aushang	إشعار المجلس
fachgebiet des gutachters	مجال الخبرة الفنية للمدقق
eingereichter beitrag	مساهمة مقدم
ausschuss	اللجنة
geschriebener beitrag	مساهمة كتابية
regulärer beitrag	مساهمة منتظمة
konferenzbeitrag	مساهمة المؤتمر
konferenzteilnehmer, der einen beitrag geleistet hat	المشاركون في المؤتمر، قدمت مساهمة واحدة
workshop	ورشة عمل
eingeladener referent	متكلم مدعو
internet der konferenz	شبكة الإنترنت للمؤتمر
präferenz des gutachters	الأفضلية للمدقق
konferenzgebühren	رسوم المؤتمر
leiter der workshops	مدير حلقة العمل
primärer author eines beitrags	المؤلف الأساسي لمساهمة
erweitertes zusammenfassung	ملخص الموسعة
gutachter	الخبراء
koferenzdokument	كوفيرينزدوكومينت
zusammenfassung	ملخص
stellvertretender vorsitzender	نائب الرئيس:
informationen für teilnehmer	معلومات للمشاركين
organisator	منظم
vorsitzender	الرئيس:
präsentation	العرض التقديمي
druckfertiger beitrag	مساهمة دروكفيرتيجير
eingeladener vortrag	محاضرة المدعوين
fortschritte der konferenz	التقدم المحرز في المؤتمر
konferenzreihe	سلسلة المؤتمرات
konferenzbewerber, der die konferenzgebühr früh gezahlt hat	مرشح المؤتمر الذين قد دفعوا رسوم المؤتمر مبكرا
konferenzteilnehmer	المشاركون في المؤتمر
konferenzbewerber, der die konferenzgebühr spät gezahlt hat	مرشح المؤتمر الذين قد دفعوا رسوم المؤتمر أواخر
wichtiges datum	موعد هام
konferenzbeteiligung	المشاركة في المؤتمرات
tutorium	البرنامج التعليمي
ablauf der konferenz	انتهاء المؤتمر
angehörige des ausschusses	أعضاء اللجنة
angenommener beitrag	مساهمة المفترضة
aktiver konferenzteilnehmer	مشاركة نشطة
registrierter bewerber	مقدمو الطلبات المسجلة
mitverfasser eines beitrags	شارك في تأليف مساهمة
koferenzbewerber	كوفيرينزبيويربير
organisation	المنظمة
programmausschuss	لجنة البرنامج
thema	الموضوع
abschnitte der konferenz	مقاطع من المؤتمر
konferenzbewerber, der die konferenzgebühr gezahlt hat	مرشح المؤتمر الذي قد دفع رسوم المؤتمر
konferenz	المؤتمر
steuerungsausschuss	اللجنة التوجيهية
begutachteter beitrag	مساهمة أدار
aufruf für beiträge	نداء لتقديم تبرعات
abgelehnter beitrag	مساهمة المرفوضة
hat name	باسم
datum der druckfertigen einreichung ist	تاريخ تقديم جاهزة للطباعة
ort der konferenz	مكان انعقاد المؤتمر
grad der gutachterpräferenz	مجرد تفضيل الخبراء
hat geschlecht	وقد الجنس
isbn der fortschritte ist	ISBN التقدم الذي
datum der einreichung des kompletten beitrags ist	تاريخ إيداع مساهمة كاملة
hat vornamen	باسم معين
datum der einreichung des zusammenfassungen	موعد تقديم الملخصات
hat e-mailadresse	يحتوي عنوان البريد الإلكتروني
ist am folgenden datum veröffentlicht worden	وقد صدرت في التاريخ التالي
liefert konferenzbeitrag	مساهمة المؤتمر
ausschuss der konferenz ist	وتشعر اللجنة المؤتمر
hat abschnitt	وقد قطع
hat mitglieder	أعضاء
hält präsentation	إجراء عرض تقديمي
ist ein präferiertes thema eines gutachters	موضوع مفضل لخبير
hat workshop-thema	موضوع حلقة العمل
ist eingereicht für	ويقدم
url der konferenz ist	عنوان المؤتمر
ist enddatum	تاريخ انتهاء
datum der akzeptanz-mitteilung ist	تاريخ الإشعار بالقبول
grad des fachgebiets des gutachters ist	درجة من موضوع المدقق
hat abfolge	وقد تسلسل
ist anfangsdatum	تاريخ بدء
anzahl der fortschritte der konferenz	عدد إحراز تقدم المؤتمر
hat nachnamen	الاسم الأخير
hat author	وقد صاحب البلاغ
hat beitrag	مساهمة
ist ein präferiertes thema oder fachgebiet eines gutachters	الموضوع المفضل أو مجال من مجالات الخبرة خبير
organisationsausschuss der konferenz ist	اللجنة المنظمة للمؤتمر
präferenz oder fachgebiet des gutachters ist	تفضيل أو مجال من مجالات الخبرة للمدقق
hat stellvertrenden ausschussvorsitzender	وقد ستيلفيرتريندين رئيس
ist teil der konferenzreihe	جزء من سلسلة المؤتمرات
ist der erst teil von	هو الجزء الوحيد من
veröffentlicht	ونشرت
hat beitrag eingreicht	وقد اينجريتشت مساهمة
ist ausschuss der konferenz	لجنة المؤتمر
hat zusammenfassung	وقد ملخص
ist vorsitzender des ausschusses	وهو رئيس اللجنة
hat fachgutachten	وقد رأي الخبراء
eingeladen von gutachter	الخبراء المدعوون
hat gutachten	وقد رأي
steuerungsausschuss der konferenz ist	اللجنة التوجيهية للمؤتمر
begutachtet beitrag	مساهمة عامة
ist stellvertretender vorsitzender des ausschusses	وهو نائب رئيس اللجنة
hat workshop	وقد ورشة عمل
programmausschuss der konferenz ist	وتشعر اللجنة برنامج المؤتمر
verleger des konferenzfortschritts ist	الناشر للتقدم المؤتمر
ist steuerungsausschuss der konferenz	هو "مؤتمر اللجنة التوجيهية"
hat thema oder beitrag eingereicht	قدم الموضوع أو التبرعات
ist ein wichtiges datum einer konferenzreihe	موعد مهم في سلسلة المؤتمرات
hat wichtiges datum	لديه موعد هام
präsentiert von	المقدم من
ist organisationsausschuss der konferenz	من "اللجنة المنظمة" للمؤتمر
ist mitglied von	عضو في
lädt mitgutachter ein	مع جيدة تدعو الثامنة
hat tutorium	وقد تعليمي
hat eine zugewiesene gutachterpräferenz	وقد تفضيل خبراء المخصصة
ist programmausschuss der konferenz	هو "لجنة برنامج المؤتمر"
ist thema ein konferenzabschnittes	عبارة عن مقطع من موضوع المؤتمر
ist leiter des workshops	وهو مدير حلقة العمل
hat workshop-leitung	إدارة ورشة عمل
hat ausschussvorsitzender	وقد الرئيس
gebot	قاد
vorsitzender des programm-komitees	رئيس لجنة البرنامج
gegenstandsbereich	مجال الموضوع
externer gutachter	المراجعين الخارجيين
meta-gutachater	ميتا-جوتاتشاتير
zusammenfassung eines konferenzbeitrags	ملخص مساهمة في المؤتمر
akzeptanz	قبول
dokument	الوثيقة
stellvertretender vorsitz	مقعد نائب في
programm-komitee	لجنة البرنامج
entscheidung	قرار
präferenz	الأفضلية
mitglied des programm-komitees	عضو في برنامج اللجنة
verfasser, der kein gutachter ist	الكاتب الذي أي خبير
zurückweisung	رفض
meta-gutachten (gutachten über ein gutachten)	ميتا-الرأي (الرأي على رأي)
meta-gutachater (gutachter der gutachten begutachtet)	ميتا-جوتاتشاتير (استعرض الرأي خبير)
meta-gutachten	ميتا-الرأي
mitverfasser	شارك في تأليف
teilnehmer einer konferenz	المشاركون في مؤتمر
