person	pessoa
meta review	revisão de meta
full version of paper	versão completa do papel
abstract of paper	Resumo do livro
adminstrator	administrador
subject area	área temática
external reviewer	revisor externo
review	revisão
rejection	rejeição
meta reviewer	revisor de meta
decision	decisão
document	documento
conference chair	cadeira da conferência
co author	autor de co
preference	preferência
associated chair	cadeira associada
member of program committee	membro do Comitê de programa
reviewer	revisor
conference	Conferência
chairman	Presidente
paper	papel
author who is not a reviewer	autor que não é um revisor
author	autor
program committee	Comitê de programa
chair of program committee	Presidente do Comitê de programa
acceptance	aceitação
bid	oferta
member of conference	membro da conferência
user	usuário
has title	tem o título
reviews per paper	Comentários por papel
details entered by	detalhes inseridos pelo
hardcopy of mailing manifests printed by	Hardcopy em mandar manifestos impressos por
read paper	ler jornal
written by	escrito por
set maximal number of assigned paper	definir o número máximo de papel atribuído
submit paper	apresentar o papel
read by meta reviewer	lido pelo revisor de meta
has member	tem membros
has name	tem nome
has website at url	tem site na url
has date	tem data
maximal number of assigned papers	número máximo de papéis atribuídos
accepts hardcopy submissions	aceita submissões em papel
has id	Tem identificação
has logo at url	tem o logotipo na url
has email	tem e-mail
review criteria entered by	critérios de avaliação inseridos pelo
mark conflict of interest	marca de conflito de interesses
accepts	aceita
assigned by reviewer	atribuído pelo revisor
start reviewer bidding	iniciar a licitação de revisor
add	Adicionar
has bid	tem oferta
assign	atribuir
rejected by	rejeitada pelo
co written by	co-autoria
virtual meeting enabled by	reunião virtual ativado por
co write	gravação de co
added by	adicionado por
has subject area	tem uma área de assunto
paper assignment finalized by	atribuição de papel finalizada pelo
adjust	ajustar
assigned by admin	atribuído por admin
end reviewing time	fim de rever o tempo
enter review criteria	Insira os critérios de avaliação
reject paper	rejeitar o papel
read by reviewer	lido pelo revisor
has been assigned	tem sido atribuído
write paper	escrever artigo
reviewer bidding started by	revisor de licitação iniciado por
run paper asignmedt tools	executar ferramentas de asignmedt de papel
accepted by	aceite pela
has conflict of interest with respect to	tem conflito de interesses, com respeito à
assigned to	atribuído a
enable virtual meeting	permitir a reunião virtual
enter details on	Anota-se
has been decided (to be accepted rejected )	foi decidido (para ser aceito rejeitado)
print hardcopy mailing manifests	imprimir em papel de discussão manifestos
write review	escrever comentário
paper assignment tools run by	ferramentas de atribuição de papel são executadas por
finalize paper assignment	Finalize a atribuição de papel
adjusted by	ajustado pelo
co chair	cadeira de co
conference announcement	anúncio da conferência
applicant for conference	requerente para conferência
submitted contribution	contribuição apresentada
conference contribution	contribuição de conferência
organizer	organizador
proceedings of conference	processo de conferência
track of conference	faixa de conferência
rejected contribution	contribuição rejeitada
