řádný článek	a proper article
předseda programového výboru	the Chairman of the Programme Committee
programový výbor	Program Committee
autor který není recenzent	the author is not a reviewer
recenzent	Reviewer
dokument	document
osoba s účastí na konferenci	the person with the participation at the Conference
předseda	the President of the
autor	the author of the
krátký článek	a short article
externí recenzent	external reviewer
uživatel	user
recenze	reviews
administrátor	Administrator
vyjádření zájmu	expression of interest
článek	Article
rozhodnutí	the decision of the
meta-recenze	meta-reviews
osoba	the person
konference	Conference
přijetí	the adoption of the
spolupředseda	Co-Chair of the
člen programového výboru	Member of the Programme Committee
předseda konference	the President of the Conference
spoluautor	co-author
zamítnutí	the rejection of
preference	preferences
meta-recenzent	meta-reviewer
předmětná oblast	the area in question
člen konference	Member of the Conference
přidán člen programového výboru	added member of the Programme Committee
odeslání článku	submit an article
má vyjádření zájmu	the expression of interest
přidělen meta-recenzent recenzentovi	assigned to the meta-reviewer reviewer
upravit vyjádření zájmu	Edit the expression of interest
článek napsal	Article written by
přidělen recenzent administrátorovi	the reviewer is assigned to the administrator
nástroj pro přídělení příspěvků spuštěn kým	přídělení tool for contributions launched by
zahájil vyjadřování zájmu recenzentů	expression of interest launched the reviewers
zamítnut kým	rejected by
spoluautor příspěvku	co-author of contribution
podrobnosti vloženy kým	the details entered by
zadání kritérií recenzí kým	Enter criteria who reviews
přiděleno recenzentovi	assigned to a reviewer
označil konflikt zájmu	called the conflict of interest
článek přečten recenzentem	article read reviewer
přidělen recenzent	assigned a reviewer
dokončit přidělení příspěvků konference	to complete the allocation of contributions to the Conference
má člena konference	has a member of the Conference
vyjádření zájmu upraveno	expression of interest by
přidělení příspěvků dokončeno kým	the allocation of contributions who completed
má spoluautora	my co-author
článek přečten meta-recenzentem	article read meta-reviewer
má rozhodnutí	the decision of the
má konflikt zájmu s příspěvkem	has a conflict of interest with the contribution of the
pojednává o tématu	discusses the topic
spustil přidělování článků konference	lowered the allocation of Conference articles
napsal článek	wrote the article
recenze napsána kým	review written by
má člena programového výboru	is a member of the Programme Committee
recenzuje článek	reviews article
napsal recenzi	wrote a review
uzavřít recenzi	to conclude the review
vložit podrobnosti konference	Insert the details of the Conference
umožnit virtuální schůzku konferenci	enable virtual meetings conference
akceptovány příspěvky konference pro tisk	accepted contributions of the Conference for print
článek má název	the article has a name
má email	my email
článek má id	the article has an id
čte článek	read the article
přijato kým	who received
přidělení členů programového výboru administrátorem	the allocation of members of the Steering Committee by the administrator
zamítnul článek	rejected article
virtuální schůzka konference umožněna kým	virtual meeting Conference made possible by
vložit kritéria recenze	Insert a criteria review
vyjadření zájmu spuštěno kým	vyjadření interest triggered by
přidělen externí recenzent	assigned to an external reviewer
brožury vytištěny kým	brochures printed by
tisk brožur konference	booklet printing conferences
přijal článek	accepted article
přidat člena programového výboru	to add a member of the Programme Committee
nastavil maximální počet recenzí	set the maximum number of reviews
logo konference má url	the logo of the Conference has a url
konference má recenzí na článek	the Conference has reviews on article
má jméno	my name
datum konference	the date of the Conference
webová stránka konference má url	the Conference has a Web page url
kamera-ready verze příspěvku	camera-ready version of the contribution
dokument konference	the document of the Conference
vydavatel	Publisher
tutoriál	tutorial
pozdně přihlášený zájemce o konferenci	late in the lead about the Conference
řádný příspěvek	a proper post
zvaná přednáška	invited lecture
odbornost experta	the expertise of the expert
organizační výbor	Organizational Committee
člen výboru	Member of the Committee
řídící výbor	the Management Committee
přijatý příspěvek	received by post
konferenční příspěvek	Conference contribution
časně přihlášený zájemce o konferenci	early in the lead about the Conference
poster	poster
konferenční oznámení	Conference announcement
rozšířený abstrakt	extended abstract
organizace	Organization
řádný autor příspěvku	proper author contribution
informace pro účastníky	information for participants
konferenční poplatky	Conference fees
recenzovaný příspěvek	peer post
registrovaný zájemce o konferenci	registered candidates about the Conference
výzva k účasti na konferenci	call for participation at the Conference
prezentace	presentation
organizátor	the organizer of the
výbor	the Committee of the
přihlášený zájemce o konferenci	logged in the lead about the Conference
důležité termíny	important dates
zamítnutý příspěvek	a rejected post
preference experta	expert preferences
účastník konference	participant of the Conference
workshop	workshop
téma	theme
sborník konference	proceedings of the Conference
výzva na psaní článku	call for article writing
konferenční akce	Conference action
zájemce o konferenci	those interested in the Conference
pasivní účastník konference	passive participant of the Conference
psaný příspěvek	written post
poslaný příspěvek	sent by post
hlavní autor příspěvku	the main author of the contribution
abstrakt	Abstract
sekce konference	section Conference
