документ	Dokument
конференция	Konferenz
предпочтение	Präferenz
полная версия статьи	die volle Version des Artikels
член конференции	Mitglied der Konferenz
принятие	die Annahme des
решение	Lösung
отклонение	Abweichung
тематическая область	Themenbereich
администратор	Administrator
мета-рецензия	Meta-Buchbesprechung
председатель конференции	der Präsident der Konferenz
рецензент	Rezensent
рецензия	Buchbesprechung
заместитель председателя	Stellvertretender Vorsitzender
председатель	Vorsitzender
автор	Autor
мета-рецензент	Meta-Prüfer
член программного коммитета	als Mitglied des Programms Ausschuss
внешний рецензент	externer Gutachter
аннотация статьи	abstrakt-Artikel
лицо	Person
пользователь	Benutzer
статья	Artikel
ставка	Komplettpreise
соавтор	Co-Autor
председатель программного коммитета	Vorsitzender des Ausschusses-Programms
автор не являющийся рецензентом	der Autor ist kein Prüfer
программный коммитет	Programmkomitee
внести критерии рецензирования	Kriterien zu überprüfen
подать статью	einen Artikel einreichen
назначает рецензента	ernennt Prüfer
прочитано рецензентом	Prüfer zu lesen
кем разершёна виртуальная встреча	Razeršëna virtuelle treffen
прочитано мета-рецензентом	Lesen der Meta-Rezensent
кем отклонено	Wer abgelehnt wird
кем изменена	Wer geändert
printhardcopymailingmanifests	printhardcopymailingmanifests
кем начато размещение ставок рецензента	Wer hat Rezensent Wetten platzieren
закончил рецензию	fertige Bewertung
интернет-адрес сайта	die Internetadresse der Website
адрес электронной почты	e-Mail-Adresse
максимум статей	maximale Artikel
идентификатор статьи	Artikel-ID
заголовок	Header
интернет-адрес логотипа	die Internet-Adresse des Logos
имя	der name
рецензенты статьи	Bewertungen des Artikels
число	die Anzahl der
принимает печатные заявки	nimmt Druckaufträge
кем написано	von geschrieben
кем принято	jemand getroffen
внести детали конференции	zu Informationen über die Konferenz
изменяет ставку	Änderungsrate
отметить конфликт интересов	Beachten Sie den Interessenkonflikt
назначена кому	zugewiesen
читает статью	Artikel lesen
кем запущена программа назначения статей	Wer läuft das Programm Ziel Artikel
кем добавлено	nach Datum hinzugefügt
назначен рецензентом	ein Prüfer ernannt
назначен администратором	vom Administrator ernannt
разрешить виртуальную встречу	virtuelles Treffen zu ermöglichen
назначает внешнего рецензента	einen externen Gutachter bestellt
принимает статью	akzeptierten Artikel
закончить назначение статей	die Zuordnung von Artikeln zu beenden
кем внесены детали	Wer hat Informationen
пишет статью	Schreiben eines Artikels
кем закончено назначение статей	die Zuordnung eines Artikels fertig
установить максимум статей	Legen Sie die maximale Artikel
написать статью в соавторстве	Schreiben Sie einen Artikel, Co-Autor
добавляет члена программного коммитета	Fügt ein Mitglied Programmkomitee
назначена	ernannt
конфликт интересов	Interessenkonflikt
кем введены критерии рецензирования	angesaugte Prüfkriterien
hardcopymailingmanifestsprintedby	hardcopymailingmanifestsprintedby
начало размещения ставок рецензента	Wetten der Rezensent
отклоняет статью	lehnt Artikel
пишет рецензию	Bewerten Sie
сборы конференции	Tagungsgebühren
участник конференции	Teilnehmer der Konferenz
досрочно оплативший участник	früh kaufen Partei
организационная комиссия	Organisation des Vorstandes
член комиссии	Mitglied der Kommission
активный участник конференции	ein aktiver Teilnehmer der Konferenz
приглашённый доклад	Gast-Bericht
поданый труд	Podanyj Arbeit
выпуск конференции	Release-Konferenz
развёрнутая аннотация	Erweiterte Zusammenfassung
требования к рецензии	Anforderungen an die Überprüfung
стенд	Stand
документ конференции	Konferenz-Dokument
семинар	Seminar
труд конференции	Arbeitskonferenz
аннотация	Abstrakt
письменный труд	schriftlichen Arbeit
полный труд	Gesamtwerk
зарегистрированный участник	registriertes Mitglied
приглашение к участию	Einladung zur Teilnahme
информация для участников	Informationen für Teilnehmer
часть конференции	Teil der Konferenz
научный совет	der Wissenschaftliche Rat
сборник трудов конференции	Tagungsband
организация	Organisation
тема	Thema
секция	Abschnitt
комиссия	Kommission
принятый труд	die Arbeit der
интернет адрес конференции	die Internet-Adresse der Konferenz
издатель	Verlag
пассивный участник конференции	passiver Teilnehmer der Konferenz
отрецензированнй труд	Otrecenzirovannj Arbeit
информационное письмо	Infobrief
заявитель конференции	Antragsteller Konferenz
председатель секции, семинара	Leiter der Sektion, Seminar
отклонённый труд	Abgelehnte Arbeit
обучающий курс	Schulung
объявление конференции	Ankündigung der Konferenz
соавтор работы	Co-Autor der Arbeit
приглашённый докладчик	Gastredner
важные даты	wichtige Termine
организатор	Veranstalter
компетентность рецензии	Kompetenz-Bewertungen
презентация	Präsentation
сопредседатель	Ko-Vorsitzende
1й автор работы	der erste Autor der Arbeit
труд в окончательной версии	Arbeiten Sie in der finalen version
лицо внесшее вклад в конференцию	die Person, die Kennzeichnung der Beiträge zur Konferenz
оплативший участник	kaufende Partei
поздно оплативший участник	spät Kauf Partei
труды	Trudy
является частью выпусков конференции	ist Teil des Problems (s) der Konferenz
принадлежит рецензентам	im Besitz von Bewertungen
части	Bestandteil der
являлся председателем секции, семинара	war Vorsitzender des Abschnitts des Seminars
являлся научным советом	ein wissenschaftlicher Rat
авторы	Autoren
семинары	Seminare
указано в требованиях к рецензии	gemäß den Anforderungen für Bewertungen
кем выполнена	Wer durchgeführt
являлся членом	Er war ein Mitglied der
рекоммендация рецензирования или компетентность	Rekommendaciâ Überprüfung oder Kompetenz
рецензирует	kritisiert
члены	die Mitglieder der
является темой частей конференции	ist das Thema Ersatzteile Konferenzen
являлся комиссией	war die Kommission
кем приглашён	Wer eingeladen
председатель секции, семинара, обучающегокурса	Leiter der Sektion, Seminar, obučaûŝegokursa
вносит вклад	trägt zur
рекоммендация рецензирования	Rekommendaciâ Überprüfung
указано в выпуске конференции	in der Konferenz-Version angegeben
является 1й частью	ist der 1. Teil der
подан в	gespeichert in
тема секции, семинара, обучающего курса	Abschnitt Thema, Seminar, Schulung
обучающие курсы	Schulungen
издаёт	veröffentlicht
заместитель председателя комиссии	der stellvertretende Vorsitzende der Kommission
являлся председателем комиссии	Vorsitzender der Kommission
являлся организационным комитетом	wurde das Organisationskomitee
делает презентацию	eine Präsentation
секции	Abschnitt
приглашает ко-рецензентов	lädt Sie zu den Bewertungen
председатель комиссии	der Vorsitzende der Kommission
являлся сопредседателем комиссии	Er war Co-Vorsitzender der Kommission
дата подачи аннотации	Einreichung des abstracts
дата начала	Startdatum
пол	Paul
дата окончания	End-Datum
название	der name
дата издания	Datum der Ausstellung
дата подачи окончательной версии статьи	der Tag der Einreichung der endgültigen Version des Artikels
выпуск	Problem
компетентность	Kompetenz
isbn	ISBN
место проведения	Ort
степень	der Grad der
интернет-адрес	die Internet-Adresse der
организационный комитет	Das Organisationskomitee
являлся программным комитетом	Er war Programmkomitee
тема или поданный труд	Thema oder abgelegt Arbeit
дата подачи полной статьи	Datum der Präsentation des ganzen Artikels
дата объявления о приняти	Datum der Ankündigung geschmiert
фамилия	Nachname
экскурсия	Ausflug
участник	Partei
тематиka	tematika
культурный этап	die kulturelle phase
город	Stadt
учащийся	Student
труд	Arbeit
этап	Bühne
встреча	treffen
образовательное учреждение	Bildungseinrichtung
компания	Firma
тезисы статьи	Abstracts der Artikel
этап регистрации участников	Phase der Registrierung der Teilnehmer
член программного комитета	Mitglied des Ausschuss-Programms
этап результатов рецензирования	Bühne-Ergebnisse überprüfen
научный работник	AAS
этап рабочей программы	Stufe des Arbeitsprogramms
председатель программного комитета	der Vorsitzende des Ausschusses-Programms
студент	Student
страна	Land
этап подачи заявки	Bühne-Anmeldung
административный этап	die administrative phase
полная	volle
член	Mitglied
ассистент	Assistent
этап рецензирования	Bühne-Bewertung
этап подготовки окончательной версии	Vorbereitung der Endversion
банкет	Bankett
волонтёр	Freiwillige
написана	Geschrieben von
место работы	Arbeitsplatz
следует	Es sollte sein
параллельно с	Parallel zu den
максимальный выбор	maximale Auswahl
сокращённое название	Kurzname
окончание	Ende
досрочная регистрация	Frühbucher
телефон	Telefon
домашняя страница	Homepage
обучается в	Er studierte in den
содержит административный этап	enthält die administrative Stufe
адресует	Adressen
пишет	schrieb
компетентен в	kompetent in
содержит ключевые слова	Schlüsselwörter enthält
почтовый индекс	PLZ
ндс	MWST
факс	Fax
улица	Straße
начало	Start
контактный адрес электронной почты	Kontakt e-Mail-Adresse
минимальный выбор	Mindestreichweite
замечание	Kommentar
выбор по умолчанию	Standard-Auswahl
опубликованная статья	veröffentlichte Artikel
негосударственная организация	Nicht-Regierungs-Organisation
тема операционные системы	das Thema der Betriebssysteme
грант на поездку	Reisezuschuss
тема радио связь	das Thema der Funkkommunikation
тема коммутация компьютерных сетей	Thema Wechsel von Computer-Netzwerken
тема коммуникации	das Thema der Kommunikation
тема сенсорные компьютерные сети	das Thema der berührungsempfindlichen Computer-Netzwerke
местонахождение комнаты для собрания	Lage der Räume für Sitzungen
информационнное письмо	Informacionnnoe Brief
заключительное слово	Das letzte Wort
тема безопасность	das Thema Sicherheit
член tpc	Mitglied des tpc
академическая организация	Akademische Organisation
