onderwerp	topic
conferentievoorzitter	Conference President
coauteur	co-author
beslissing	decision
programmacommissie	Programme Committee
conferentielid	conferentielid
voorzitter programmacommissie	Chairman Programme Committee
gebruiker	user
acceptatie	acceptance
recensent	Reviewer
document	document
auteur	author
metarecensent	meta critic
voorzitter	President
bod	bid
auteur niet-recensent	author non-reviewer
medevoorzitter	Co-Chair
artikel	Article
persoon	person
volledig artikel	full article
recentie	review
conferentie	Conference
afwijzing	rejection
programmacommissie lid	Program Committee Member
voorkeur	preference
beheerder	Administrator
synopsis	synopsis
externe recencent	external Amazon reviewer
metarecentie	metarecentie
paper id	paper id
datum	date
gebruik artikel toewijzings tool	use item allocation tool
heeft coauteur	has coauthored
heeft auteur	has author
hardcopy verstuurbewijs afgedrukt door	hardcopy send evidence printed by
maak toewijzing artikel af	create item allocation
toegewezen door recencent	assigned by Amazon reviewer
recentie bieden begonnen door	review offer started by
heeft belangenverstrengeling	has conflicts of interest
website url	website url
accepteerd hardcopy submissies	accepts hardcopy submissions
email	email
titel	title
logo url	logo url
naam	name
maximum aantal artikelen	maximum number of articles
recenties per artikel	reviews per item
aangepast door	modified by
is toegekend	is awarded
lid van conferentie	Member of Conference
schrijf recentie	write review
details ingevuld door	details of completed by
toekenning artikel tool gebruikt door	Award article tool used by
eindrecentie	eindrecentie
wijs artikel af	point to article
markeer belangenverstrengeling	highlight conflicts of interest
voeg programmacommissie lid toe	Add Program Committee Member
heeft conferentielid	has conferentielid
gelezen door reviewer	read by reviewer
wijs externe recencent toe	Amazon reviewer, to point to external
lid van programmacommissie	Member of Programme Committee
laat virtuele vergadering toe	Let virtual meeting
stel maximaal aantal artikelen in	set maximum number of items in
artikel gelezen	article read
toegewezen aan	assigned to
geschreven door	written by
schrijf artikel	write article
toegevoegd door	added by
wijs recencent toe	Add point to Amazon reviewer
accepteer artikel	accept article
geaccepteerd door	accepted by
dien artikel in	This article in
heeft beslissing	decision has
heeft onderwerp	has subject
begin recentie bieden	beginning review offer
vul recentie criteria in	fill review criteria in
toekenning artikel afgemaakt door	Article finished by award
recentie criteria ingevuld door	review criteria filled in by
heeft programmacommisie lid	Programme Committee member has
heeft bod	has bid
virtuele vergadering toegelaten door	virtual meeting permitted by
toegewezen door beheerder	assigned by administrator
afgewezen door	rejected by
co-schrijf artikel	co-write article
pas bod aan	only bid to
hardcopy verstuurbewijs	hardcopy send proof
gelezen door metarecencent	read by metarecencent
vul conferentie details in	complete Conference details in
commissie	Commission
passieve conferentie deelnemer	passive conference participant
geregistreerde aanvrager	registered applicant
betaalde aanvrager	applicant paid
actieve conferentie deelnemer	active conference participant
uitgever	Publisher
organisatie	Organization
conferentie bijdrager	Conference contributor
eerste auteur	first author
lezing op uitnodiging	Lecture on invitation
snelcursus	crash course
geaccepteerde contributie	accepted fee
laat betaalde aanvrager	late applicant paid
gewone contributie	regular membership fee
afgewezen contributie	rejected membership fee
organisator	Organizer
track-workshop voorzitter	track-workshop President
oproep tot deelname	call for participation
coauteur bijdrage	co-author contribution
informatie voor deelnemers	information for participants
lange synopsis	long synopsis
track	track
conferentie aankondiging	Conference announcement
presentatie	presentation
co-voorzitter	co-President
poster	poster
drukklare contributie	printable fee
stuurgroep	Steering Committee
recentie expertise	Review expertise
geschreven contributie	written contribution
conferentie contributie	Conference fee
commissielid	Committee Member
conferentie aanvrager	applicant Conference
uitgenodigde spreker	invited speaker
ingediende contributie	submitted contribution
gerecenseerde contributie	reviewed contribution
workshop	workshop
oproep inzenzingen	call inzenzingen
conferentie document	Conference document
conferentie website	Conference website
conferentiebundel	Conference bundle
gewone auteur	regular author
vroeg betaalde aanvrager	early applicant paid
recentie voorkeur	review preference
conferentie deelnemer	conference participant
conferentie deel	Conference
organisatiecommissie	Organisation Committee
conferentie kosten	Conference costs
heeft een track-workshop-snelcursus onderwerp	has a track-workshop-crash course topic
heeft een uitgever	has a Publisher
heeft een synopsis	has a synopsis
is een onderwerp van conferentie delen	share is a topic of Conference
contribueert	contribute
heeft snelcursussen	has snelcursussen
heeft een commissiecovoorzitter	has a Commission co-Chairman
heeft belangrijke data	has important dates
was een stuurgroep van	was a Steering Group of
geeft presentaties	gives presentations
uitgenodigd door	invited by
recensies	reviews
heeft delen	has parts
was lid van	was a member of
heeft een organisatiecommissie	has an organization Committee
nodigt corecensenten uit	corecensenten invites from
is een volledig artikel submissie datum	is a full article submission date
heeft een graad	has a degree
heeft voornaam	has first name
heeft sekse	has sex
heeft achternaam	has last name
heeft een email	has an email
heeft een uitgavedatum	has a release date
is een datum van bekendmaking van acceptatie	is a date of publication of acceptance
hoort bij een recentie referentie	belongs to a review reference
heeft een stuurgroep	has a Steering Committee
heeft een recentie referentie of expertise	has a review reference or expertise
hoort bij een conferentiebundel	belongs to a Conference bundle
is deel van conferentiebundel	Conference is part of bundle
heeft tracks	has tracks
uitgaven	expenditure
was een track-workshop voorzitter van	was President of a track-workshop
heeft een isbn	has an isbn
heeft een naam	has a name
heeft een url	has a url
heeft een plaats	has a place
is een synopsis submissie datum	is a synopsis submission date
is een begindatum	is a start date
is een datum van drukklare versie submissie	is a date of print ready version submission
is een einddatum	is an end date
heeft een deel	has a part
heeft een expertise	has an expertise
heeft een recentie	has a review
heeft auteurs	has authors
was een commissievoorzitter van	was a President of the Commission of
heeft contributies	has contributions
heeft leden	has members
heeft een track-workshop-snelcursus voorzitter	has a track-workshop-crash course in President
was een commissie van	was a Commission of
heeft een ingediende contributie	has a pending membership fee
was een commissiecovoorzitter van	was co-Chairman of a Commission
heeft een commissie	has a Commission
is het eerste deel van	is the first part of
was een programmacommissie van	was a program Committee of
heeft een onderwerp of een ingediende contributie	has a topic or a submitted contribution
heeft een programmacommissie	has a Programme Committee
was een organisatiecommissie van	was an organization Commission of
ingediend	submitted
hoort bij recencenten	belongs to recencenten
heeft een recentie expertise	has a review expertise
is een recensie referentie toegewezen	is a review reference assigned
heeft workshops	has workshops
heeft een commissievoorzitter	has a Commission President
wordt gegeven door	is given by
administratieve gebeurtenis	Administrative event
bijdrage	contribution
vrijwilliger	volunteer
recensieresultaat gebeurtenis	review result event
indienen gebeurtenis	submit event
kort artiekel	short article
recensie gebeurtenis	review event
werken gebeurtenis	work event
banket	Banquet
stad	City
universiteit	University
bedrijf	company
student	student
sociale gebeurtenis	social event
deelnemersregistratie gebeurtenis	participants registration event
wetenschappelijk medewerker	Scientific Assistant
receptie	reception
drukklaar gebeurtenis	ready-to-print event
land	country
deelnemer	participant
gewoon	just
gebeurtenis	event
reis	travel
lid	Member
lid programmacommissie	Member Program Committee
assistent	Assistant
wetenschapper	scientist
heeft webpagina	has Web page
heeft btw	has sales tax
heeft stad	has city
parallel met	parallel to
volgt	follows
schrijft	writes
werknemer van	employee of
heeft administratieve gebeurtenis	has administrative event
heeft land	has country
expert op het gebied van	expert in the field of
heeft te maken met	has to do with
studeert bij	studies with
heeft korte titel	has short title
maximum keuze	maximum choice
heeft postcode	has zip code
heeft steekwoord	has keyword
heeft titel	has title
eindigt op	ends on
opmerking	Note
abstract	abstract
standaard keuze	default choice
plaats	place
contactinformatie email	contact information email
heeft straat	has Street
heeft email	has email
heeft fax	has fax
minimum keuze	minimum choice
begint op	starts on
heeft telefoon	has phone
vroege registratie	early registration
ngo	ngo
numerieke recensievraag	numerical review question
conferentie diner	Conference dinner
recensie	review
afsluitende lezing	closing lecture
recensievraag	review question
computer netwerken metingen onderwerp	computer networks measurements topic
conferentie sessie	Conference session
tekstuele recensievraag	textual review question
draadloze communicatie ondewerp	wireless communication ondewerp
persoonlijke publicatiehistorie	personal publication history
computer netwerken bedrijven onderwerp	computer networking companies subject
antennes onderwerp	antennas topic
toelatingswaardering	admission rating
industriële organisatie	Industrial Organization
computer netwerken sensoren onderwerp	computer networks sensors topic
computer netwerken beveiliging onderwerp	computer networks security topic
computer netwerken optisch onderwerp	computer networks optical topic
persoonlijke recensiehistorie	personal review history
communicatie onderwerp	communication topic
vrije tijd pauze	leisure break
zwakke toelatingswaardering	weak approval rating
computer netwerken management onderwerp	computer networks management topic
niet-academische gebeurtenis	non-academic event
gerelateerde artikelen	related articles
radiocommunicatie onderwerp	radio communication topic
beveiliging onderwerp	Security topic
overheidsorganisatie	Government Organization
computer architectuur onderwerp	computer architecture subject
recensie waardering	review rating
oproep manuscripten	call scripts
oproep artikelen	call articles
menu	menu
conferentie met twee recensie lagen	Conference with two review layers
communicatietheorie onderwerp	communication theory subject
