ملخص البحث	Suche Zusammenfassung
الكاتب المشترك	Autor
مشرف	Admin
رئيس	Der Präsident der
عضو المؤتمر	Mitglied Konferenz
البحث	Suche
وثيقة	Dokuments
الكاتب 	Schriftsteller 
شخص	Menschen
عضو في اللجنة العلمية	Mitglied des wissenschaftlichen Beirates
رئيس المرتبطة	Präsident des assoziierten
رئيس اللجنة العلمية	Vorsitzender des wissenschaftlichen Beirats
مؤتمر	Konferenz
أفضلية	Präferenz
مراجعة فوقية	Sofortige Überprüfung
المراجع	Referenzen
القبول	Eintritt
المراجع الفوقي	Meta-Referenzen
موضوع المحور	Thema-Achse
الكاتب، الذي ليس المراجع	Der Autor, der nicht
رئيس المؤتمر	Der Präsident der Konferenz
المستخدم	Benutzer
مزايدة	Auktion
لاشيء	Nichts
الرفض	Ablehnung
لجنة العلمية	Wissenschaftlicher Ausschuss
قرار	Auflösung
مراجعة	Bewertung
النسخة الكاملة من البحث	Die Vollversion der Forschung
المراجع خارجي	Externe Verweise
لديه عنوان	Hat Titel
لديه اسم	Hat einen Namen
لديه التاريخ	Hat Geschichte
لديه موقع على رابط	Er hat einen Website-link
تقبل نسخة المرسلات	CC-Beiträge zu akzeptieren
العدد الأقصى من الابحاث المسندة	Die maximale Anzahl von Forschungen Abtretung
لديه الشعار في رابط	Hat den Logo-link
مراجعة/تعليقات لكل بحث	Bewertung/Kommentare für jede Suche
لديه معرف	Hat die ID
لديه عضو	Mitglied hat
قبوله من قبل	Von akzeptiert
قبوله من قبل 	Von akzeptiert 
لديه بريد الكتروني	Hat e-mail
يقبل	Akzeptiert
إدخال التفاصيل حول	Geben Sie Details über die
علامة تضارب المصالح	Der Interessenkonflikt-tag
مشترك في الكتابة	Gemeinsam schreiben
تمكين الاجتماع الظاهري	Aktivieren des virtuelles Treffen
يضيف	Fügt
كتابة البحث	Schreiben-Forschung
يعيين	Sätze
معايير مراجعة أدخلت من قبل	Überarbeitung der Normen eingeführt, durch die
(... ،تم تقرير (ليكون مقبول، مرفوض	(... Der Bericht (werden akzeptiert, abgelehnt wurde
أضافته من قبل	Hinzugefügt von
كتابته من قبل	Geschrieben von
استكمال احالة البحث	Komplette Referenz-Suche
احالة أدوات البحث مشغل من قبل	Suchmaschinen-Tools durch Überweisung
بدء تقديم العطاءات المراجع	Start Ausschreibung Referenzen
لديه مزايدة	Gebot hat
ارسال البحث	Senden Suche
لديه تضارب في المصالح مع احترام	Hat einen Interessenkonflikt mit Respekt
تم تعيين	Gesetzt
رفض من قبل	Von abgelehnt
تفاصيل مدخلة من قبل	Die Angaben von
كاتب مشترك من قبل	Autor
بدأ تقديم العطاءات المراجع من قبل	Ausschreibung gestartet-Referenzen von
بدأ تقديم العطاءات المراجع من قبل 	Ausschreibung gestartet-Referenzen von 
نسخة من البريد الالكتروني للمظاهرات مطبوعة من قبل	Eine Kopie der e-Mail von Demonstrationen gedruckt
تحديد مجموعة عدد أقصى من الابحاث المسندة 	Wählen Sie das Set maximale Forschungen Abtretung 
تحديد مجموعة عدد أقصى من الابحاث المسندة	Wählen Sie das Set maximale Forschungen Abtretung
قراءته من قبل مراجع	Gelesen von Referenzen
تشغيل أدوات احالة البحث	Empfehlungs-Suchtools
تشغيل أدوات احالة البحث  	Empfehlungs-Suchtools  
قراءته من قبل مراجع الفوقي	Gelesen von Meta-Referenzen
المراجعة كتابية	Schriftliche Prüfung
تعيينه من قبل مشرف 	Von Admin zugewiesen 
تعيينه من قبل مشرف	Von Admin zugewiesen
ضبط	Anpassen
اجتماع الظاهري ممكن من قبل	Virtuelle Treffen ist möglich durch
قراءة البحث	Die Forschung zu lesen
إدخال معايير المراجعة	Geben Sie die Kriterien der Bewertung
تعيين من اجل	Legen Sie für
احالة البحث منتهي من قبل	Empfehlungs-Suche beendet
لديه موضوع المحور	Hat den Thema hub
تعديله من قبل	Geändert von
بحث مرفوض	Suche wird verweigert
وقت إنتهاء مراجعة	Die Endzeit der revision
مسند من قبل مراجع	Fußstütze von Referenzen
