comitê de programa	Programový výbor
coordenador do comitê de programa	Koordinátorka programu výboru
meta revisor	meta recenzent
coordenador geral do evento	Obecné koordinátor akce
conferência	Konference
usuário	uživatel
autor	autor
membro participante da conferência	účastník konference členských
propostas	návrhy
co autor	co autor
coordenador da conferência	Konference koordinátor
rejeição	odmítnutí
preferência	předvolba
coordenador associado do evento	přidružit koordinátor akce
aceitação	přijetí
meta revisão	meta Recenze
administrador	Správce
área temática	tématická oblast
autor não revisor	autor recenzentem
decisão	rozhodnutí
versão completa de artigo	plná verze článku
resumo do artigo	Shrnutí článku
pessoa	osoba
documento	dokument
revisor	Recenzent
revisão	Recenze
membro do comitê de programa	Člen programového výboru
revisor externo	externí recenzent
artigo	Článek
artigo escrito	Článek napsal
ajustar o pedido de revisão	Úprava žádosti o přezkum
pedido de revisao ajustado	žádost o revizi sady
critérios de revisão introduzidos por	přezkoumat kritéria zavedená
tem email	má elektronická pošta
tem data	má datum
leitura de artigo	čtení článku
reunião virtual habilitada por	virtuální setkání ve
atribuição de um artigo finalizada por	článek přiřazení ukončena
escrever um artigo com	napsat článek s
adicionar um membro do comitê de programa	Přidání člena programového výboru
adicionado por	Přidal
possui conflito de interesses	má konflikt zájmů
executar ferramentas de atribuição de artigos	provést přiřazení nástroje článků
possui autor	má autor
revisão realizada	přezkumy
tem nome	název
máximo de artigos	maximální články
revisões por artigo	editací na článek
tem título	má titul
tem site	má webové stránky
tem código do artigo	má kód položky
aceita submissões impressas	přijímá podání vytištěné
url	Adresa URL
ferramentas de atribuição de artigos executadas por	Nástroje články přiřazení provádí
escrito por	napsal
permitir uma reunião virtual	Povolit virtuální setkání
atribuir um revisor	Přiřaďte recenzent
leitura realizada po um revisor	čtení konat po recenzent
membro da conferência	Člen konference
iniciar pedidos de revisão	iniciovat žádosti o přezkum
atribuído para	přiřazené k
possui um membro do comitê de programa	je členem programového výboru
inserir detalhes	Vložit podrobnosti
envio de artigos	odesílání článků
possui uma área	Má rozlohu
possui pedido de revisão	funkce žádost o přezkum
revisão final	poslední revize
leitura realizada por um meta revisor	čtení držení recenzent
artigo aceito	Článek přijat
aceito por	přijato od
membro do comite de programa	Člen programového výboru
pedidos de revisão iniciados por	přezkoumání žádosti iniciována
possui decisão	vlastní rozhodnutí
possui atribuição	má přidělení
inserir os detalhes da conferência	Zadejte podrobnosti o konferenci
finalizar as atribuições dos artigos	finalizovat známky článků
artigo rejeitado por	Článek zamítnut
atribuir um revisor externo	přiřadit externí recenzent
atribuído pelo administrador	přiřadit správce
inserir os critérios das revisões	Zadejte kritéria revizí
impressão de documentos de envio de volume de correio	tisk dokumentů v odesílání pošty objem
rejeitar artigo	odmítnout článek
mala  direta	Hromadná korespondence
marca um conflito de interesse	označení střetu zájmů
atribuído pelo revisor	přidělil recenzenta
definição do número máximo de artigos	nastavení maximálního počtu článků
possui participante da conferência	má konec konference
volume da conferência	Konference objem
anúncio de conferência	Konference oznámení
site da conferência	Konference webové stránky
participante pago antecipado	účastník Předplacené
comitê	Výbor
participante ativo da conferência	aktivní účastník konference
contribuinte à conferência	Přispěvatelé do konference
contribuição à conferência	příspěvek na konferenci
documento da conferência	dokument konference
parte da conferência	součástí konference
editora	Vydavatel
especialidade de revisão	speciální Recenze
palestra convidada	pozvané přednášky
apresentação	prezentace
chamada para participação	výzva k účasti
resumo estendido	NV
tópico	téma
comitê diretivo	Řídící výbor
participante passivo da conferência	pasivní účastník konference
chamada de trabalhos	výzva pro papíry
coordenador geral	Obecné koordinátor
participante pago	účastník zaplatil
primeiro autor da contribuição	první autor příspěvek
participante da conferência	účastník konference
membro do comitê	Člen výboru
contribuição revisada	revidované příspěvek
co autor da contribuição	co autor příspěvku
contribuição escrita	písemný příspěvek
workshop	Seminář
tutorial	Výukový program
organizador	Organizátor
contribuição aceita	příspěvek přijat
participante pago atrasado	účastník zaplatil pozdě
informações aos participantes	informace pro účastníky
contribuição submetida	Příspěvky napsané
organizacão	Organizace
co coordenador	co koordinátor
contribuição de artigo completo	příspěvek celý článek
versão final da contribuição	Konečná verze příspěvku
participante registrado	účastník registrován
taxa de inscrição da conferência	Konference registrační poplatek
preferência de revisão	Přehled předvoleb
datas importantes	důležitá data
trilha da conferência	Konference stopa
resumo	Shrnutí
contribuição rejeitada	příspěvek odmítnut
coordenador de trilha de workshop	Stezka koordinátor semináře
comitê organizador	Organizační výbor
anais da conferência	Sborník z konference
