person	человек
meta review	Мета обзор
full version of paper	Полная версия бумаги
abstract of paper	Резюме доклада
adminstrator	Администратор
subject area	Предметная область
external reviewer	внешний рецензент
review	Обзор
rejection	отказ
meta reviewer	Рецензент мета
decision	решение
document	документ
conference chair	Председатель Конференции
co author	Автор Co
preference	предпочтения
associated chair	связанные стул
member of program committee	Член программного комитета
reviewer	Рецензент
conference	Конференция
chairman	Председатель
paper	Бумага
author who is not a reviewer	Автор, который не рецензента
author	Автор
program committee	Программный комитет
chair of program committee	Председатель программного комитета
acceptance	признание
bid	ставка
member of conference	член Конференции
user	пользователь
has title	имеет название
reviews per paper	Отзывы на бумаге
details entered by	сведения, введенные
hardcopy of mailing manifests printed by	Отпечатано печатную копию рассылки манифесты
read paper	читать документ
written by	Автор
set maximal number of assigned paper	задать максимальное количество назначенных бумаги
submit paper	Отправить документ
read by meta reviewer	читать мета рецензента
has member	имеет член
has name	имеет имя
has website at url	имеет веб-сайт по URL-адресу
has date	Дата
maximal number of assigned papers	Максимальное количество установленных документов
accepts hardcopy submissions	принимает печатных материалов
has id	имеет идентификатор
has logo at url	имеет логотип по URL-адресу
has email	по электронной почте
review criteria entered by	критерии обзора введенных
mark conflict of interest	Марк конфликт интересов
accepts	принимает
assigned by reviewer	назначается рецензент
start reviewer bidding	Начало торгов рецензент
add	Добавить
has bid	ставка
assign	назначить
rejected by	отклонено
co written by	Co, написаны
virtual meeting enabled by	виртуальные совещания, включаемые
co write	записи Co
added by	Добавил(а)
has subject area	имеет предметной области
paper assignment finalized by	Назначение документ доработан
adjust	Отрегулируйте
assigned by admin	назначен по администратора
end reviewing time	конец анализа времени
enter review criteria	Введите критерии обзора
reject paper	отклонить документ
read by reviewer	читать рецензента
has been assigned	был назначен
write paper	написать бумагу
reviewer bidding started by	Рецензент торгов начал
run paper asignmedt tools	Запуск бумажных asignmedt инструменты
accepted by	принято
has conflict of interest with respect to	имеет конфликт интересов в связи с
assigned to	назначен
enable virtual meeting	Включить виртуальное совещание
enter details on	Введите информацию
has been decided (to be accepted rejected )	принято решение (быть принято отклонено)
print hardcopy mailing manifests	печать бумажных рассылки манифесты
write review	написать обзор
paper assignment tools run by	Бумага назначения инструменты в ведении
finalize paper assignment	завершить назначение бумаги
adjusted by	регулируется
co chair	кресло Co
invited talk	приглашенные talk
first author of contribution	Автор первого взноса
preference of reviewer	предпочтение рецензента
call for paper	вызов для бумаги
organization	Организации
reviewed contribution	Обзор вклада
applicant for conference who lately paid conference fee	Заявитель для Конференции, который в последнее время заработную плату конференции
passive participant of conference	Пассивный участник конференции
steering committee	Руководящий комитет
active participant of conference	Активный участник конференции
committee	Комитет
poster	Плакат
conference serie	Серия конференции
conference document	документ Конференции
publisher	Издатель
member of committee	член Комитета
co author of contribution	Автор Co вклада
workshop	мастерская
tutorial	Учебник
camera ready version of contribution	камеры готовый вариант вклада
extended abstract	Расширенный Реферат
call for participation	призыв к участию
information for participants	Информация для участников
abstract	Аннотация
invited speaker	приглашался для выступлений
fee for conference	плата за конференции
conference announcement	Анонс конференции
applicant for conference	Заявитель для Конференции
submitted contribution	представленные на сайте
conference contribution	вклад Конференции
organizer	Организатор
proceedings of conference	Труды конференции
track of conference	трек конференции
rejected contribution	Отклоненные вклад
important date	важная дата
organizing committee	Организационный Комитет
web of conference	веб-конференции
written contribution	письменный вклад
part of conference	часть конференции
accepted contribution	принятые вклад
contributor for conference	участник конференции
topic	Тема
chair of workshop track	Кафедра семинар трек
expertise of reviewer	экспертиза рецензент
applicant for conference who paid conference fee	Заявитель для Конференции, который заплатил Оргвзнос
chair	стул
participant of conference	участник конференции
regular contribution	регулярные взносы
presentation	Презентация
applicant for conference who early paid conference fee	Заявитель для Конференции, которые раньше платили регистрационный взнос
registered applicant	зарегистрированные заявителя
author of contribution	Автор вклад
is program committee of conference	это программный комитет Конференции
submitted to	представлен
has been assigned review preference	был назначен предпочтения обзор
has committee chair	имеет Председатель Комитета
is part of conference	является частью Конференции
invites co reviewer	Рецензент co предлагает
program committee of conference is	Программный комитет Конференции является
is the first part of	Это первая часть
is co chair of committee	является со-Председателем Комитета
topic related to review preference	темы, связанной с рассмотрением предпочтения
preference or expertise of review is	предпочтение или опыт обзора
invited by reviewer	пригласил рецензента
is workshop chair of	Это семинар кафедры
has tutorial	Учебник
has submitted contribution	представленные на сайте
isbn of proceedings	ISBN разбирательства
has surname	имеет фамилию
published on date	Дата публикации на
has first name	имеет имя
date of full paper submission	Дата представления полный документ
url of conference web is	URL-адрес веб-конференции
date of camera ready submission	Дата готовности представления камеры
terminal day	терминал день
contributes to conference	вклад Конференции
committee of conference is	Комитет Конференции
important date of conference serie	важная дата конференции серии
publishes	публикует
makes presentation	делает презентацию
has review	имеет обзор
is organizing committee of conference	Организационный комитет Конференции
has topic or submission contribution	Тема или представления вклад
expertise degree of reviewer	экспертиза степени рецензента
degree of review preference	степень предпочтения обзор
has e mail	есть электронная почта
has gender	имеет пола
date of acceptance notification	Дата уведомления о принятии
starting date	Дата начала
location of conference	Место конференции
date of abstract submission	Дата подачи тезисов
volume number of proceedings	Объем количество дел
organizing committee of conference is	Организационный комитет Конференции
is member of	является членом
is committee of conference	Комитет Конференции
has part	имеет часть
publisher of proceedings is	Издатель судопроизводства является
has abstract	имеет абстрактный
is chair of committee	является Председателем Комитета
