ملخص البحث	Souhrn hledání
الكاتب المشترك	Spoluautor
مشرف	Správce
رئيس	Prezident
عضو المؤتمر	Členské konference
البحث	Hledat
وثيقة	Dokument
الكاتب 	Spisovatel 
شخص	Lidé
عضو في اللجنة العلمية	Člen vědeckého výboru
رئيس المرتبطة	Seznam prezidentů Spojených
رئيس اللجنة العلمية	Předseda vědeckého výboru
مؤتمر	Konference
أفضلية	Předvolba
مراجعة فوقية	Okamžitý přehled
المراجع	Odkazy
القبول	Vstupné
المراجع الفوقي	Meta odkazy
موضوع المحور	Téma osa
الكاتب، الذي ليس المراجع	Autor, který není odkazy
رئيس المؤتمر	Předseda konference
المستخدم	Uživatel
مزايدة	Aukce
لاشيء	Nic
الرفض	Odmítnutí
لجنة العلمية	Vědecký výbor
قرار	Řešení
مراجعة	Recenze
النسخة الكاملة من البحث	Plná verze výzkumu
المراجع خارجي	Externí odkazy
لديه عنوان	Má titul
لديه اسم	Má název
لديه التاريخ	Má historii
لديه موقع على رابط	Má odkaz na web
تقبل نسخة المرسلات	Přijímat příspěvky CC
العدد الأقصى من الابحاث المسندة	Maximální počet výzkumů cesí
لديه الشعار في رابط	Má odkaz s logem
مراجعة/تعليقات لكل بحث	Recenze/komentáře pro každé vyhledávání
لديه معرف	Má ID
لديه عضو	Má člen
قبوله من قبل	Přijato od
قبوله من قبل 	Přijato od 
لديه بريد الكتروني	Má e-mailovou
يقبل	Přijímá
إدخال التفاصيل حول	Zadejte podrobnosti o
علامة تضارب المصالح	Konflikt zájmů tag
مشترك في الكتابة	Sdílené, psaní
تمكين الاجتماع الظاهري	Povolit virtuální setkání
يضيف	Přidává
كتابة البحث	Psaní výzkum
يعيين	Sety
معايير مراجعة أدخلت من قبل	Revize normy zavedené
(... ،تم تقرير (ليكون مقبول، مرفوض	(... Byla zpráva (přijato, odmítnuto
أضافته من قبل	Přidal
كتابته من قبل	Napsal
استكمال احالة البحث	Úplný odkaz vyhledávání
احالة أدوات البحث مشغل من قبل	Odkazovací vyhledávače nástroje od
بدء تقديم العطاءات المراجع	Zahájit nabízení odkazy
لديه مزايدة	Nabídku
ارسال البحث	Odeslat vyhledávací
لديه تضارب في المصالح مع احترام	Má s respektem konflikt zájmů
تم تعيين	Nebyly stanoveny
رفض من قبل	Zamítla
تفاصيل مدخلة من قبل	Údaje zapsané do
كاتب مشترك من قبل	Spoluautor
بدأ تقديم العطاءات المراجع من قبل	Nabízení začal odkazy podle
بدأ تقديم العطاءات المراجع من قبل 	Nabízení začal odkazy podle 
نسخة من البريد الالكتروني للمظاهرات مطبوعة من قبل	Kopii e-mailem vytisknout demonstrace
تحديد مجموعة عدد أقصى من الابحاث المسندة 	Vyberte nastavit maximální počet výzkumů cesí 
تحديد مجموعة عدد أقصى من الابحاث المسندة	Vyberte nastavit maximální počet výzkumů cesí
قراءته من قبل مراجع	Přečtěte si odkazy
تشغيل أدوات احالة البحث	Nástroje pro vyhledávání odkazů
تشغيل أدوات احالة البحث  	Nástroje pro vyhledávání odkazů  
قراءته من قبل مراجع الفوقي	Přečtěte si o meta odkazy
المراجعة كتابية	Písemné Hodnocení
تعيينه من قبل مشرف 	Přidělil admin 
تعيينه من قبل مشرف	Přidělil admin
ضبط	Upravit
اجتماع الظاهري ممكن من قبل	Virtuální setkání je možné
قراءة البحث	Přečtěte si výzkum
إدخال معايير المراجعة	Zadejte kritéria hodnocení
تعيين من اجل	Sada pro
احالة البحث منتهي من قبل	Odkaz Hledat hotové
لديه موضوع المحور	Má centrální téma
تعديله من قبل	Upravil
بحث مرفوض	Hledání je odepřen
وقت إنتهاء مراجعة	Čas ukončení revize
مسند من قبل مراجع	Podnožka odkazy
طباعة نسخة من البريد الالكتروني للمظاهرات	Tisknout kopii e-mailu pro demonstrace
تاريخ مهم	Historie je důležitá
