person	persoon
dokument	document
präferenz	voorkeur
verfasser, der kein gutachter ist	schrijver die geen expert is
meta-gutachten (gutachten über ein gutachten)	Meta - advies (advies over een advies)
meta-gutachten	Meta - advies
mitverfasser	mede-auteur
vorsitzender	Voorzitter
verfasser	Auteur
vorsitzender der konferenz	Voorzitter van de conferentie
vorsitzender des programm-komitees	Voorzitter van het programma Comité
meta-gutachater	Meta-gutachater
zurückweisung	afwijzing
meta-gutachater (gutachter der gutachten begutachtet)	Meta-gutachater (expert advies die herzien)
vollständiger konferenzbeitrag	volledige conferentie vergoeding
konferenz	Conferentie
gegenstandsbereich	Toepassingsgebied
gutachten	advies
externer gutachter	externe revisoren
akzeptanz	aanvaarding
konferenzbeitrag	Conferentie-bijdrage
programm-komitee	Programma Comité
teilnehmer einer konferenz	deelnemers aan een conferentie
gutachter	expert
benutzer	gebruiker
gebot	geboden
stellvertretender vorsitz	Plaatsvervangend zetel in
entscheidung	besluit
mitglied des programm-komitees	Lid van het programma Comité
abstrakt eines konferenzbeitrags	Samenvatting van de bijdrage van een conferentie
administrator	Beheerder
hat details eingefügt in bezug auf	heeft ingevoegd details met betrekking tot
hat die zuordnung der beiträge abgeschlossen	de toewijzing van de bijdragen is voltooid
hat zugewiesen	heeft toegewezen aan
druckt papierausdruck des mailing-manifests	afdrukken van een papieren exemplaar van de mailing manifest
beitragszuordnungs-software ausgeführt von	lopende beitragszuordnungs software door
zugewiesen zu	toegewezen aan
details eingefügt von	Details toegevoegd door
beitragszuordnung abgeschlossen von	Opdracht voltooid door post
gelesen von gutachter	door deskundigen gelezen
hat die beitrags-zuordnungssoftware ausgeführt	de bijdrage zuordnungssoftware heeft uitgevoerd
hat virtuelles treffen veranlasst	Ontmoet virtuele heeft geleid
hat abgeglichen	heeft geëvenaard
mitverfasst von	geschreven door
hat interessenskonflikt in bezug auf	interessenskonflikt heeft in verband met
abgewiesen von	verworpen door
geschrieben von	Geplaatst door
virtuelles treffen veranlasst von	virtuele vergadering geleid door
gelesen von meta-gutachter	gelezen door meta revisor
akzeptiert von	aanvaard door
ist mitglied des programm-komitees	is een lid van het programma Comité
hat beitrag geschrieben	heeft geschreven bijdrage
hat die gebotsphase gestartet	begon de bod-fase
kriterien zu gutachten eingefügt von	criteria advies ingevoegd door
hat papier abgelehnt	geweigerde papier
bestimme maximale anzahl an zugewiesenen beiträgen	Kies maximum aantal toegewezen bijdragen
ist entschieden worden als	Het was besloten als een
steht in interessen-konflikt mit beitrag	belangen in strijd is met de bijdrage
hat webseite an url	heeft website op url
hat namen	de naam heeft
hat datum	datum
akzeptiert hardcopy-einsendungen	hardcopy\r inzendingen accepteren
hat id	id heeft
maximale anzahl an zugewiesenen beiträgen	maximum aantal toegewezen bijdragen
hat titel	titel heeft
hat email	heeft e-mail
zugewiesen von administrator	toegewezen door beheerder
hat mitglied	Lid heeft
hat logo an url	logo url heeft
gutachten pro beitrag	advies per bijdrage
zugewiesen von gutachter	toegewezen door deskundigen
hat akzeptiert	heeft aanvaard
hat papier gelesen	lezen van papier
hat gegenstandsbereich	toepassingsgebied heeft
papierausdruck des mailing-manifests gedruckt von	gedrukt hard exemplaar van de mailing manifest door
ist zugeordnet worden	is bevolen om te
teilnehmer von	deelnemers uit
hat die zeit des begutachtens beendet	die tijd van beoordeling is voltooid
hat hinzugefügt	toegevoegd
abgeglichen von	geëvenaard door
hinzugefügt von	toegevoegd door
hat teilnehmer	deelnemer
hat beitrag eingesendet	heeft bijdragen ingediend
hat beitrag mitverfasst	heeft geschreven bijdrage
hat kriterien zu gutachten eingefügt	criteria heeft advies toegevoegd
gebotsphase gestartet von	Bod fase gestart door
hat gutachten geschrieben	advies heeft geschreven
hat gebot erhalten	krijgen heeft bevolen
konferenzankündigung	Conferentie aankondiging
ausschuss	Comité
erweitertes abstrakt	uitgebreide abstract
koferenzdokument	koferenzdokument
informationen für teilnehmer	informatie voor deelnemers
präsentation	presentatie
aktiver konferenzteilnehmer	actieve deelnemers
passiver konferenzteilnehmer	passieve deelnemers
eingereichter beitrag	ingezonden bijdrage
konferenzgebühren	Conferentie vergoedingen
organisator	Organisator
druckfertiger beitrag	druckfertiger bijdrage
eingeladener vortrag	uitgenodigde Hoorcollege
fortschritte der konferenz	voortgang van de conferentie
abstrakt	Abstract
wichtiges datum	belangrijke datum
konferenzbeteiligung	Conferentie deelname
angehörige des ausschusses	leden van de Commissie
koferenzbewerber	koferenzbewerber
konferenzbewerber, der die konferenzgebühr gezahlt hat	Conferentie aanvragers die betaald van de conferentie
steuerungsausschuss	Stuurgroep
begutachteter beitrag	gerefereed bijdrage
organisationsausschuss	Organisatie comité
herausgeber	Uitgever
aufruf zu teilnahme	oproep tot deelname
geschriebener beitrag	schriftelijke bijdrage
internet der konferenz	Internet van conferentie
