论文全文	Artigos completos
非审稿人的作者	Autor de não-revisor
文件	Arquivo
外部审稿人	Revisores externos
人员	Pessoal
决定	Decisão
综合审稿意见	Comentários gerais
程序委员会主席	Presidente do Comité de programa
论文摘要	Resumos
审稿意见	Comentários
录用	Aluguer de
会议	Conferência
副主席	Vice-Presidente
主题领域	Áreas temáticas
会议成员	Membros da conferência
用户	Usuário
程序委员会成员	Membros do Comité de programa
主席	Presidente
拒收	Rejeitar
合著者	Co-autor
大会主席	Presidente da Assembléia Geral
作者	Autor
偏爱	Preferência
审稿人	Revisor
论文	Papéis
程序委员会	Comitê de programa
投标	Concurso
管理人员	De gestão de pessoas
综合审稿人	Revisores de síntese
由之打印硬拷贝邮件舱单	Imprimir cópia impressa enviando manifestos
修改后投标	Revista concurso
标注兴趣冲突	Anotação de conflito de interesses
由审稿人审阅	Avaliado por revisores
指定审稿人	Especifica os revisores
是程序委员会成员	Membros do Comité de programa
拒收论文	Documentos rejeitados
是会议成员	São membros da conferência
由之拒收	Recusou-se a
开始审稿投标	Comece a rever a oferta
有投标	Concurso
由管理人员指定	Especificado pelos gestores
设置最多论文数	Define o número máximo de documentos
阅读论文	Ler o ensaio
有兴趣冲突	Conflito de interesses
由之录入详情	Inserindo detalhes
由审稿人指定	Especificado pelo revisor
录入会议详情	Detalhes de gravação das reuniões
打印硬拷贝邮件舱单	Imprimir cópia impressa enviando manifestos
录入审稿标准	Padrões de entrada de manuscrito
运行论文分派工具	Executar as ferramentas de atribuição de papel
由之启动虚拟会议	Por volta do início da conferência virtual
合著	Co-
有会议成员	Membros da conferência
撰写审稿意见	Comentários de escrita
由之撰写	Escrito pelo
论文分派定稿	Finalização dos trabalhos atribuídos
电子信箱	E-mail
日期	Data
商标统一资源定址器	Localização de recursos uniforme de marca
论文序号	Número de tese
接受硬拷贝投稿	Aceitar submissões de cópia impressa
网站地址	Endereço do site
每篇论文审稿意见数	Cada comentários de papel
最多论文数	Número máximo de documentos
录用论文	Artigos aceitos
有主题领域	Áreas temáticas
姓名	O nome
标题	Título
有作者	Há um autor
论文分派工具由之运行	Ferramenta de alocação papel executando
由之增补	Atualizando
结束审稿	Revisão final
撰写论文	Papéis de escrever
分派给	Atribuir a
由之录用	Com a contratação de
由综合审稿人审阅	Avaliado por revisores gerais
有决定	Decidiu
论文分派由之定稿	Finalização do papel atribuído pelo
审稿人投标始于	Revisor licitação começa
由之录入审稿标准	Padrões de entrada de manuscrito
有合著者	Co-autor
启用虚拟会议	Permitir reuniões virtuais
修改投标	Modificar licitações
增补程序委员会成员	Patch para membros da Comissão
投稿	Apresentação
有程序委员会成员	Um membro do Comitê de programa
有分派论文	Tese atribuída
指定外部审稿人	Especifique os revisores externos
已注册申请人	Candidatos registados
与会者	Participantes
被动与会者	Participantes passivos
主题	Tema
会议文件	Documentos de reunião
联合主席	Presidente da junta
组织	Organização
会议卷册	Volumes de conferência
被审稿件	Manuscrito de julgamento
报告	Relatório
会议部分	Segmento
与会者信息	Informações do participante
会议申请人	Reunião recorrente
提前付费申请人	Pagar antecipadamente os candidatos
组织者	Organizadores
会议投稿人	Contribuidores de conferência
摘要	Resumo
