onderwerp	rubrique
conferentievoorzitter	Président de la Conférence
coauteur	co-auteure
beslissing	décision
programmacommissie	Comité du programme
conferentielid	conferentielid
voorzitter programmacommissie	Président du Comité de Programme
gebruiker	utilisateur
acceptatie	acceptation
recensent	Relecteur
document	document
auteur	auteur
metarecensent	critique de Meta
voorzitter	Président
bod	soumission
auteur niet-recensent	auteur non-examinateur
medevoorzitter	Coprésident
artikel	Article
persoon	personne
volledig artikel	lire l'article
recentie	examen
conferentie	Conférence
afwijzing	rejet
programmacommissie lid	Membre du Comité de programme
voorkeur	préférence
beheerder	Administrateur
synopsis	carnet de bord
externe recencent	examinateur externe de Amazon
metarecentie	metarecentie
paper id	id de document
datum	Date
gebruik artikel toewijzings tool	Utilisez l'outil d'affectation de point
heeft coauteur	a co-écrit
heeft auteur	a l'auteur
hardcopy verstuurbewijs afgedrukt door	hardcopy envoyer preuve imprimé par
maak toewijzing artikel af	créer point allocation
toegewezen door recencent	attribué par l'examinateur d'Amazon
recentie bieden begonnen door	Démarré par l'examen offre
heeft belangenverstrengeling	a les conflits d'intérêts
website url	url du site Web
accepteerd hardcopy submissies	accepte des communications sur papier
email	Messagerie
titel	titre
logo url	logo url
naam	nom
maximum aantal artikelen	nombre maximum d'articles
recenties per artikel	commentaires par article
aangepast door	modifié par
is toegekend	est décerné
lid van conferentie	Membre de la Conférence
schrijf recentie	Ajouter commentaire
details ingevuld door	Détails du complété par
toekenning artikel tool gebruikt door	Outil de l'article de prix utilisé par
eindrecentie	eindrecentie
wijs artikel af	pointez sur l'article
markeer belangenverstrengeling	mettre en évidence des conflits d'intérêts
voeg programmacommissie lid toe	Ajouter le membre de Comité de programme
heeft conferentielid	a conferentielid
gelezen door reviewer	lu par relecteur
wijs externe recencent toe	Examinateur d'Amazon, pour pointer vers l'extérieur
lid van programmacommissie	Membre du Comité de Programme
laat virtuele vergadering toe	Laissez la réunion virtuelle
stel maximaal aantal artikelen in	définir le nombre maximal d'éléments dans
artikel gelezen	article lu
toegewezen aan	assignés à
geschreven door	Rédigé par
schrijf artikel	écrire article
toegevoegd door	ajouté par
wijs recencent toe	Ajouter le point à l'examinateur d'Amazon
accepteer artikel	accepter l'article
geaccepteerd door	acceptée par
dien artikel in	Cet article dans
heeft beslissing	décision a
heeft onderwerp	a sujet
begin recentie bieden	début examen offre
vul recentie criteria in	Remplissez les critères d'examen
toekenning artikel afgemaakt door	Article fini par prix
recentie criteria ingevuld door	critères d'examen remplies par
heeft programmacommisie lid	Membre du Comité de programme a
heeft bod	a offert
virtuele vergadering toegelaten door	réunion virtuelle autorisée par
toegewezen door beheerder	attribué par l'administrateur
afgewezen door	rejetée par
co-schrijf artikel	article d'écriture Co
pas bod aan	seul but de
hardcopy verstuurbewijs	d'envoyer sur papier
gelezen door metarecencent	lu par metarecencent
vul conferentie details in	tous les détails de la Conférence en
commissie	Commission
passieve conferentie deelnemer	participant à la Conférence passive
geregistreerde aanvrager	candidats inscrits
betaalde aanvrager	demandeur payé
actieve conferentie deelnemer	participant à la conférence active
uitgever	Editeur
organisatie	Organisation
conferentie bijdrager	Contributeur de la Conférence
eerste auteur	premier auteur
lezing op uitnodiging	Conférence sur invitation
snelcursus	cours intensif
geaccepteerde contributie	frais acceptés
laat betaalde aanvrager	fin demandeur payé
belangrijke data	dates importantes
gewone contributie	cotisation régulière
afgewezen contributie	cotisation rejetés
organisator	Organisateur
track-workshop voorzitter	Président de piste-atelier
oproep tot deelname	appel à participation
coauteur bijdrage	contribution de la co-auteure
informatie voor deelnemers	informations pour les participants
lange synopsis	synopsis long
track	piste
conferentie aankondiging	Annonce de conférence
presentatie	présentation
co-voorzitter	Co-Président
poster	affiche
drukklare contributie	frais imprimable
stuurgroep	Comité directeur
recentie expertise	Examen de compétences
geschreven contributie	contribution écrite
conferentie contributie	Droit d'inscription
