řádný článek	un artículo apropiado
předseda programového výboru	el Presidente del Comité del programa
programový výbor	Comité de programa
autor který není recenzent	el autor no es un revisor
recenzent	Revisor
dokument	documento
osoba s účastí na konferenci	la persona con la participación en la Conferencia
předseda	el Presidente de la
autor	el autor de la
krátký článek	un breve artículo
externí recenzent	Revisor Externo
uživatel	usuario
recenze	Comentarios
administrátor	Administrador
vyjádření zájmu	expresión de interés
článek	Artículo
rozhodnutí	la decisión de la
meta-recenze	meta-comentarios
osoba	la persona
konference	Conferencia
přijetí	la adopción de la
spolupředseda	Co-Presidente de la
člen programového výboru	Miembro del Comité del programa
předseda konference	el Presidente de la Conferencia
spoluautor	coautor
zamítnutí	el rechazo de
preference	preferencias
meta-recenzent	meta-revisor
předmětná oblast	la zona en cuestión
člen konference	Miembro de la Conferencia
přidán člen programového výboru	miembro agregado del Comité del programa
odeslání článku	Enviar un artículo
má vyjádření zájmu	la expresión de interés
přidělen meta-recenzent recenzentovi	asignado al revisor revisor-meta
upravit vyjádření zájmu	Editar la expresión de interés
článek napsal	Artículo escrito por
přidělen recenzent administrátorovi	el revisor se asigna al administrador
nástroj pro přídělení příspěvků spuštěn kým	přídělení herramienta para contribuciones lanzado por
zahájil vyjadřování zájmu recenzentů	expresión de interés lanzó los revisores
zamítnut kým	rechazado por
spoluautor příspěvku	coautor de contribución
podrobnosti vloženy kým	los datos introducidos por
zadání kritérií recenzí kým	Introducir criterios que revisa
přiděleno recenzentovi	asignado a un revisor
označil konflikt zájmu	ArgumentException: The incoming token has expired. Get a new access token from the Authorization Server. : ID=6346.V2_Json.Translate.2393024D
článek přečten recenzentem	ArgumentException: The incoming token has expired. Get a new access token from the Authorization Server. : ID=5005.V2_Json.Translate.237DDB94
přidělen recenzent	ArgumentException: The incoming token has expired. Get a new access token from the Authorization Server. : ID=5107.V2_Json.Translate.24085A12
dokončit přidělení příspěvků konference	para completar la asignación de contribuciones a la Conferencia
má člena konference	tiene un miembro de la Conferencia
vyjádření zájmu upraveno	expresión de interés por
přidělení příspěvků dokončeno kým	la asignación de contribuciones que completaron
má spoluautora	mi coautora
článek přečten meta-recenzentem	artículo leído meta-revisor
má rozhodnutí	la decisión de la
má konflikt zájmu s příspěvkem	tiene un conflicto de intereses con la contribución de la
pojednává o tématu	discute el tema
spustil přidělování článků konference	bajó la asignación de los artículos de la Conferencia
napsal článek	escribió el artículo
recenze napsána kým	Informe escrito por
má člena programového výboru	es miembro del Comité del programa
recenzuje článek	Comentarios sobre el artículo
napsal recenzi	escribió una reseña
uzavřít recenzi	a la conclusión de la revisión
